comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_n,control_mean,control_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_n,treatment_mean,treatment_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,From dysbiosis to neuropathologies: Toxic effects of glyphosate in zebrafish,10.1016/j.ecoenv.2023.115888,https://www.sciencedirect.com/science/article/pii/S0147651323013921,Ecotoxicology and Environmental Safety,bellot_2024,bellot_2024_exp_001,bellot_2024_exp2_001,bellot_2024_exp_001_assay_001,bellot_2024_exp2_001_assay2_002,zebrafish,Danio rerio ,commercial supplier,mixed,glyphosate,analytical,1071–83-6,in paper,organophosphate,0.3,ug/L,2,weeks,not reported ,28.5,celsius,social interaction,sociality,time spent in conspecific zone,time spent in social zone,fig4,bellot_2024_fig4,15,61.03448276,19.77361112,5.105524437,calculated from scatter plot,counted from the scatter plot,16,45.68965517,11.23902458,2.809756146,calculated from scatter plot,counted from the scatter plot,,,,
,,KM,From dysbiosis to neuropathologies: Toxic effects of glyphosate in zebrafish,10.1016/j.ecoenv.2023.115888,https://www.sciencedirect.com/science/article/pii/S0147651323013921,Ecotoxicology and Environmental Safety,bellot_2024,bellot_2024_exp_002,bellot_2024_exp2_002,bellot_2024_exp_002_assay_001,bellot_2024_exp2_002_assay2_002,zebrafish,Danio rerio ,commercial supplier,mixed,glyphosate,analytical,1071–83-6,in paper,organophosphate,3,ug/L,2,weeks,not reported ,28.5,celsius,social interaction,sociality,time spent in conspecific zone,time spent in social zone,fig4,bellot_2024_fig4,15,61.03448276,19.77361112,5.105524437,calculated from scatter plot,counted from the scatter plot,16,45.29454023,15.05223323,3.763058307,calculated from scatter plot,counted from the scatter plot,,,,
,,KM,Diuron metabolites act as endocrine disruptors and alter aggressive behavior in Nile tilapia (Oreochromis niloticus),10.1016/j.chemosphere.2017.10.009,https://www.sciencedirect.com/science/article/pii/S0045653517315801?via%3Dihub,Chemosphere,boscolo_2018,boscolo_2018_exp_001,boscolo_2018_exp2_001,boscolo_2018_exp_001_assay_001,boscolo_2018_exp2_001_assay2_001,Nile tilapia,Oreochromis niloticus,laboratory stock from not specified source,male ,diuron,not reported ,330-54-1,https://commonchemistry.cas.org/detail?cas_rn=330-54-1&search=diuron,urea,100,ng/L,10,days,acetone,27,celsius,aggression,aggression,total frequency of aggressive interactions,frequency of aggressive behaviour,fig2,boscolo_2019_fig2,12,41.88745187,35.5260736,10.25549408,study reports mean and se,exact sample size provided,12,44.31017809,35.34974909,10.20459358,study reports mean and se,exact sample size provided,,,,
,,KM,Diuron metabolites act as endocrine disruptors and alter aggressive behavior in Nile tilapia (Oreochromis niloticus),10.1016/j.chemosphere.2017.10.009,https://www.sciencedirect.com/science/article/pii/S0045653517315801?via%3Dihub,Chemosphere,boscolo_2018,boscolo_2018_exp_002,boscolo_2018_exp2_002,boscolo_2018_exp_002_assay_001,boscolo_2018_exp2_002_assay2_001,Nile tilapia,Oreochromis niloticus,laboratory stock from not specified source,male ,DCPMU,not reported ,3567-62-2,https://commonchemistry.cas.org/detail?cas_rn=3567-62-2&search=DCPMU,urea,100,ng/L,10,days,acetone,27,celsius,aggression,aggression,total frequency of aggressive interactions,frequency of aggressive behaviour,fig2,boscolo_2019_fig2,12,41.88745187,35.5260736,10.25549408,study reports mean and se,exact sample size provided,12,20.77761302,13.70579335,3.956521739,study reports mean and se,exact sample size provided,,,,
,,KM,Diuron metabolites act as endocrine disruptors and alter aggressive behavior in Nile tilapia (Oreochromis niloticus),10.1016/j.chemosphere.2017.10.009,https://www.sciencedirect.com/science/article/pii/S0045653517315801?via%3Dihub,Chemosphere,boscolo_2018,boscolo_2018_exp_003,boscolo_2018_exp2_003,boscolo_2018_exp_003_assay_001,boscolo_2018_exp2_003_assay2_001,Nile tilapia,Oreochromis niloticus,laboratory stock from not specified source,male ,DCA,not reported ,,,urea,100,ng/L,10,days,acetone,27,celsius,aggression,aggression,total frequency of aggressive interactions,frequency of aggressive behaviour,fig2,boscolo_2019_fig2,12,41.88745187,35.5260736,10.25549408,study reports mean and se,exact sample size provided,12,13.57258856,8.953370328,2.584615385,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_001,bridi_2017_exp2_001,bridi_2017_exp_001_assay_001,bridi_2017_exp2_001_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,91.13109661,29.34843046,5.755700754,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_002,bridi_2017_exp2_002,bridi_2017_exp_002_assay_001,bridi_2017_exp2_002_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,93.36942468,35.05506971,6.874864789,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_003,bridi_2017_exp2_003,bridi_2017_exp_003_assay_001,bridi_2017_exp2_003_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,93.52930526,39.94647479,7.834148248,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_004,bridi_2017_exp2_004,bridi_2017_exp_004_assay_001,bridi_2017_exp2_004_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,85.85503758,17.93515195,3.517372683,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_005,bridi_2017_exp2_005,bridi_2017_exp_005_assay_001,bridi_2017_exp2_005_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,86.33467931,37.50077225,7.354506518,study reports mean and se,exact sample size provided,,,,
