Items ,Description,Predefined_options
extractor_initials ,write the initials of the data extractor in capital letters (e.g. KM).,N/A
Study identification information ,,
title,Provide the full title of the eligible study being extracted.,N/A
doi,"Provide the short form doi of the eligible study (e.g., 10.32942/X2231N).",N/A
url,"Provide the full URL linking to the article (e.g., https://ecoevorxiv.org/repository/view/6169/).",N/A
journal,Provide the full name of the journal or the platfrom where the data is reported. ,N/A
year,Provide the year when the study was published.,N/A
study_id,"Use the format ""author_year"" to create a unique identifier for the study (e.g., morrison_2023). If the same author has multiple publications in the same year, add a letter to differentiate them (e.g., morrison_2023a).",N/A
exp_id,"Use the format ""study_name_exp_n"" to create a unique identifier of each exposure group within an eligible study (e.g., morrison_2023_exp_001). When the cohort is unclear between behaviours give the same exposure ID.",N/A
exp2_id,"Use the format ""study_name_exp2_n"" to create a unique identifier of each exposure group within an eligible study (e.g., morrison_2023_exp_001).When the cohort is unclear between behaviours give a new exposure ID.",
assay_id,"Use the format ""study_name_exp_n_assay_n"" to create a unique identifier of each exposure within an eligible study (e.g., morrison_2024_exp_001_assay_001).This assay ID is for the exp_ID.",N/A
assay2_id,"Use the format ""study_name_exp2_n_assay2_n"" to create a unique identifier of each exposure within an eligible study (e.g., morrison_2024_exp2_001_assay2_001).This assay ID is for the exp2_ID.",N/A
Population Attributes,,
species_english,"Provide the ommon name of species in English as reported in the paper. If the paper does not report common name  in English state ""not reported"".",N/A
species_latin,"Provide the  binomial name (i.e., the scientific name) of species investigated in the eligible study.",N/A
source,"Provide the source of species used in the eligible study experiment (e.g., wild collected or commercial supplier).",wild collected
,,commercial supplier
,,labratory stock from wild population
,,labratory stock from commercial supplier 
,,not reported 
,,other 
sex,"Provide the sex of the exposed fish population (e.g., female). If the population is mixed sex state ""mixed"". ",male 
,,female
,,mixed
,,not reported 
,,other 
Experiment Attributes,,
pesticide,Provide the name for the pesticide used in the eligible study.,N/A
pesticide_grade,"Provide the chemical grade of the pesticide used in the eligible study. If the chemical grade is not reported state ""not reported"". ",analytical
,,commercial  
cas_id,"Provide the CAS identification code of the chemical as reported in the eligible study. If the CAS identification number is not reported state ""not reported"".",N/A
pesticide_chemical_class,Provide the chemical class of the pesticide used in the eligible study.,N/A
dosage,"Provide the dosage of the pesticide used in the eligible study. If the dosage of exposure is not reported state ""not reported"".",N/A
dosage_unit ,"Provide the unit of the dosage of the pesticide used in the eligible study. If the dosage of exposure is not reported state ""not reported"".",pg/L
,,ng/L
,,ug/L
,,mg/L
,,g/L
,,nM
,,uM
,,not reported 
,,other 
duration ,"Provide the duration of the pesticide exposure used in the eligible study. If the duration is not reported state ""not reported"".",N/A
duration_unit,"Provide the unit of the duration of pesticide exposure used in the eligible study. If the duration is not reported state ""not reported"".",seconds
,,minutes
,,hours
,,days 
,,weeks
,,months 
,,not reported 
,,other 
control_solvent,Provide the solvent used within the control group. If there is none state “none” and if the solvent is not reported state “not reported”.,N/A
temperature,Provide the temperature of the water during the pesticide exposure.,N/A
Behaviour Attributes,,
behaviour_context_class_note,Provide an explanation of the context the behaviour was assessed in.,N/A
behaviour_measured,Provide the behaviour being assessed in the study.,N/A
behaviour_assay,Provide the assay being used to assess the behaviour. Use the wording as described in the study. ,N/A
behavioural_assay_standardized,Provide the assay being used to assess the behaviour using standardized terminology. This will be developed after extraction.,N/A
behaviour_measured,Provide the behaviour being assessed in the study. ,N/A
behaviour_assay,Provide the assay being used to assess the behaviour. Use the wording as described in the study.  ,N/A
