time_spent_in_zone,group
17.81609195,3g
26.14942529,3g
31.89655172,3g
32.47126437,3g
38.50574713,3g
40.8045977,3g
41.09195402,3g
40.8045977,3g
41.95402299,3g
45.68965517,3g
51.14942529,3g
56.03448276,3g
58.04597701,3g
62.64367816,3g
69.25287356,3g
70.40229885,3g
28.44827586,0.3g
30.74712644,0.3g
29.02298851,0.3g
33.90804598,0.3g
42.24137931,0.3g
43.3908046,0.3g
41.95402299,0.3g
44.82758621,0.3g
52.01149425,0.3g
52.5862069,0.3g
56.03448276,0.3g
57.18390805,0.3g
62.64367816,0.3g
63.2183908,0.3g
47.70114943,0.3g
45.11494253,0.3g
41.66666667,control
43.3908046,control
43.10344828,control
45.68965517,control
43.96551724,control
46.55172414,control
48.85057471,control
50.28735632,control
53.16091954,control
68.10344828,control
78.16091954,control
80.74712644,control
85.05747126,control
93.96551724,control
92.81609195,control
