Average interfish distance ,Group
2.988990314,control
4.009491453,control
4.009491453,control
4.009491453,control
5.941154324,control
5.941154324,control
5.941154324,control
5.941154324,control
5.941154324,control
6.998101932,control
6.998101932,control
6.998101932,control
8.018603071,control
8.018603071,control
9.113621,control
9.113621,control
11.34835,control
3.012761,control
3.012761,control
3.012761,control
3.012761,control
3.976542,treatment 0.3 ug/L
3.976542,treatment 0.3 ug/L
3.976542,treatment 0.3 ug/L
3.976542,treatment 0.3 ug/L
3.976542,treatment 0.3 ug/L
3.976542,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
5.912242,treatment 0.3 ug/L
7.027811,treatment 0.3 ug/L
7.027811,treatment 0.3 ug/L
7.027811,treatment 0.3 ug/L
11.522742,treatment 0.3 ug/L
1.844327,treatment 3 ug/L
1.844327,treatment 3 ug/L
3.022505,treatment 3 ug/L
3.022505,treatment 3 ug/L
3.022505,treatment 3 ug/L
4.266972,treatment 3 ug/L
4.266972,treatment 3 ug/L
4.266972,treatment 3 ug/L
4.266972,treatment 3 ug/L
4.266972,treatment 3 ug/L
4.266972,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.018804,treatment 3 ug/L
6.930139,treatment 3 ug/L
6.930139,treatment 3 ug/L
