average_interfish_distance,group
10.96,control
8.92,control
8.92,control
7.92,control
7.92,control
7.92,control
6.92,control
6.92,control
5.92,control
5.92,control
6,control
4.92,control
4.92,control
4.92,control
4.92,control
4.92,control
3.92,control
3.92,control
3.92,control
2.92,0.3
2.92,0.3
2.92,0.3
2.92,0.3
2.92,0.3
3.92,0.3
3.92,0.3
3.92,0.3
3.92,0.3
3.92,0.3
3.92,0.3
4.96,0.3
4.96,0.3
4.96,0.3
4.96,0.3
4.96,0.3
4.96,0.3
5.92,0.3
5.92,0.3
5.92,0.3
10.92,0.3
6,3
6,3
5.04,3
5.04,3
5.04,3
5.04,3
5.04,3
5.04,3
4,3
4,3
4,3
4,3
4,3
4,3
3.04,3
3.04,3
3.04,3
2.08,3
2.08,3
