id,group,n_fish,n_shoal,n,mean ,se
hawkey_2021_exp_001_assay_001,control,46,15.33333333,46,184.4213398,12.5
hawkey_2021_exp_002_assay_001,control,46,15.33333333,46,184.4213398,12.5
hawkey_2021_exp_003_assay_001,control,46,15.33333333,46,184.4213398,12.5
hawkey_2021_exp_001_assay_002,control,46,15.33333333,46,4.169755824,0.9408
hawkey_2021_exp_002_assay_002,control,46,15.33333333,46,4.169755824,0.9408
hawkey_2021_exp_003_assay_002,control,46,15.33333333,46,4.169755824,0.9408
hawkey_2021_exp_004_assay_001,control,37,12.33333333,37,5.142963907,1.351466667
hawkey_2021_exp_005_assay_001,control,37,12.33333333,37,5.142963907,1.351466667
hawkey_2021_exp_006_assay_001,control,37,12.33333333,37,5.142963907,1.351466667
hawkey_2021_exp_001_assay_001,treatment,47,15.66666667,47,167.6488638,10.43918919
hawkey_2021_exp_002_assay_001,treatment,42,14,42,191.4803442,13.96621622
hawkey_2021_exp_003_assay_001,treatment,32,10.66666667,32,226.6114671,14.30067568
hawkey_2021_exp_001_assay_002,treatment,47,15.66666667,47,6.443355824,1.1312
hawkey_2021_exp_002_assay_002,treatment,42,14,42,6.779355824,1.2432
hawkey_2021_exp_003_assay_002,treatment,32,10.66666667,32,2.344155824,1.6128
hawkey_2021_exp_004_assay_001,treatment,35,11.66666667,35,7.379319462,1.3032
hawkey_2021_exp_005_assay_001,treatment,39,13,39,0.943763907,1.689333333
hawkey_2021_exp_006_assay_001,treatment,23,7.666666667,23,2.19869724,1.287111111
