id,group,n_shoal,n_fish,n,mean,sd,fish_sd,se
hussian_2020_exp2_003,control,10,30,30,4.297142973,5.114495405,5.114495405,0.933774834
hussian_2020_exp2_004,control,10,30,30,4.297142973,5.114495405,5.114495405,0.933774834
hussian_2020_exp2_005,control,10,30,30,33.55949144,62.17238713,62.17238713,11.35107296
hussian_2020_exp2_006,control,10,30,30,33.55949144,62.17238713,62.17238713,11.35107296
hussian_2020_exp2_005,control,10,30,30,4.824534199,4.518711099,4.518711099,0.825
hussian_2020_exp2_006,control,10,30,30,4.824534199,4.518711099,4.518711099,0.825
hussian_2020_exp2_005,control,10,30,30,4.135462423,4.561338203,4.561338203,0.832782609
hussian_2020_exp2_006,control,10,30,30,4.135462423,4.561338203,4.561338203,0.832782609
hussian_2020_exp2_005,control,10,30,30,3.006780196,4.063105517,4.063105517,0.741818182
hussian_2020_exp2_006,control,10,30,30,3.006780196,4.063105517,4.063105517,0.741818182
hussian_2020_exp2_005,control,10,30,30,5.047787824,6.273273288,6.273273288,1.145337763
hussian_2020_exp2_006,control,10,30,30,5.047787824,6.273273288,6.273273288,1.145337763
hussian_2020_exp2_003,treatment,10,30,30,2.798206186,4.690826565,4.690826565,0.856423841
hussian_2020_exp2_004,treatment,10,30,30,2.871229556,2.490868081,2.490868081,0.454768212
hussian_2020_exp2_005,treatment,10,30,30,7.065231879,93.02820811,93.02820811,16.98454936
hussian_2020_exp2_006,treatment,10,30,30,26.26000435,91.17112305,91.17112305,16.64549356
hussian_2020_exp2_005,treatment,10,30,30,4.92358061,3.597672378,3.597672378,0.656842105
hussian_2020_exp2_006,treatment,10,30,30,4.659448291,5.174536793,5.174536793,0.944736842
hussian_2020_exp2_005,treatment,10,30,30,4.520607949,1.153789474,1.153789474,0.210652174
hussian_2020_exp2_006,treatment,10,30,30,4.694709997,1.708656239,1.708656239,0.311956522
hussian_2020_exp2_005,treatment,10,30,30,3.210303504,2.772282313,2.772282313,0.506147186
hussian_2020_exp2_006,treatment,10,30,30,3.00505371,4.068796141,4.068796141,0.742857143
hussian_2020_exp2_005,treatment,10,30,30,3.869802998,3.155318654,3.155318654,0.576079734
hussian_2020_exp2_006,treatment,10,30,30,4.638509769,6.076990874,6.076990874,1.109501661
