value,group
1.336898396,control
10.02673797,control
10.69518717,control
15.70855615,control
15.70855615,control
19.71925134,control
23.72994652,control
27.40641711,control
25.73529412,control
29.07754011,control
27.90775401,control
32.7540107,control
33.42245989,control
32.7540107,control
41.10962567,control
45.45454545,control
46.62433155,control
41.27673797,control
38.60294118,control
42.78074866,control
46.62433155,control
50.46791444,control
55.48128342,control
63.0013369,control
61.3302139,control
65.84224599,control
84.72593583,control
97.09224599,control
99.93315508,control
0.167112299,0.1 PPM
0.167112299,0.1 PPM
-0.501336898,0.1 PPM
1.671122995,0.1 PPM
1.838235294,0.1 PPM
-0.167112299,0.1 PPM
1.671122995,0.1 PPM
-0.167112299,0.1 PPM
3.509358289,0.1 PPM
6.517379679,0.1 PPM
12.03208556,0.1 PPM
11.36363636,0.1 PPM
13.36898396,0.1 PPM
15.87566845,0.1 PPM
17.71390374,0.1 PPM
17.88101604,0.1 PPM
24.39839572,0.1 PPM
28.24197861,0.1 PPM
35.42780749,0.1 PPM
42.27941176,0.1 PPM
43.11497326,0.1 PPM
47.12566845,0.1 PPM
52.80748663,0.1 PPM
54.31149733,0.1 PPM
52.80748663,0.1 PPM
55.14705882,0.1 PPM
53.30882353,0.1 PPM
76.20320856,0.1 PPM
79.37834225,0.1 PPM
98.09491979,0.1 PPM
98.42914439,0.1 PPM
1.671122995,1 PPM
1.002673797,1 PPM
-0.167112299,1 PPM
-0.334224599,1 PPM
-0.334224599,1 PPM
6.35026738,1 PPM
7.185828877,1 PPM
7.687165775,1 PPM
9.35828877,1 PPM
8.188502674,1 PPM
9.35828877,1 PPM
11.19652406,1 PPM
16.37700535,1 PPM
15.54144385,1 PPM
13.87032086,1 PPM
12.70053476,1 PPM
13.20187166,1 PPM
12.03208556,1 PPM
16.54411765,1 PPM
22.05882353,1 PPM
22.05882353,1 PPM
27.74064171,1 PPM
25.23395722,1 PPM
33.58957219,1 PPM
37.26604278,1 PPM
37.09893048,1 PPM
49.13101604,1 PPM
48.96390374,1 PPM
49.29812834,1 PPM
55.64839572,1 PPM
64.67245989,1 PPM
