value,group
1.75315568,control
1.577840112,control
0.87657784,control
0.701262272,control
3.330995792,control
0.175315568,control
2.980364656,control
3.856942496,control
7.538569425,control
4.908835905,control
4.558204769,control
6.837307153,control
2.454417952,control
5.610098177,control
8.239831697,control
8.590462833,control
9.291725105,control
11.04488079,control
12.27208976,control
7.187938289,control
9.817671809,control
16.30434783,control
17.18092567,control
18.58345021,control
19.46002805,control
22.08976157,control
25.7713885,control
37.51753156,control
44.00420757,control
99.92987377,control
4.032258065,0.1 PPM
0.175315568,0.1 PPM
0.175315568,0.1 PPM
3.856942496,0.1 PPM
2.980364656,0.1 PPM
2.62973352,0.1 PPM
5.960729313,0.1 PPM
6.486676017,0.1 PPM
0,0.1 PPM
0,0.1 PPM
0.175315568,0.1 PPM
0,0.1 PPM
2.279102384,0.1 PPM
0.350631136,0.1 PPM
2.103786816,0.1 PPM
3.681626928,0.1 PPM
2.454417952,0.1 PPM
5.434782609,0.1 PPM
11.57082749,0.1 PPM
12.27208976,0.1 PPM
13.84992987,0.1 PPM
15.25245442,0.1 PPM
26.2973352,0.1 PPM
28.40112202,0.1 PPM
29.628331,0.1 PPM
30.50490884,0.1 PPM
42.60168303,0.1 PPM
3.50631136,1 PPM
1.227208976,1 PPM
2.980364656,1 PPM
0.350631136,1 PPM
3.155680224,1 PPM
2.103786816,1 PPM
4.382889201,1 PPM
2.103786816,1 PPM
2.980364656,1 PPM
0.525946704,1 PPM
2.454417952,1 PPM
0.175315568,1 PPM
5.960729313,1 PPM
7.187938289,1 PPM
6.837307153,1 PPM
8.590462833,1 PPM
9.291725105,1 PPM
14.02524544,1 PPM
16.47966339,1 PPM
22.08976157,1 PPM
