value ,group
3.104575163,control
30.55555556,control
32.67973856,control
35.13071895,control
35.78431373,control
47.54901961,control
52.45098039,control
57.51633987,control
58.66013072,control
61.2745098,control
66.50326797,control
68.46405229,control
70.4248366,control
76.96078431,control
75.32679739,control
87.58169935,control
87.58169935,control
86.11111111,control
88.39869281,control
88.5620915,control
91.0130719,control
88.88888889,control
87.90849673,control
99.18300654,control
99.18300654,control
98.20261438,control
95.58823529,control
99.50980392,control
98.85620915,control
95.75163399,control
0.163398693,0.1 PPM
32.18954248,0.1 PPM
34.1503268,0.1 PPM
41.0130719,0.1 PPM
46.24183007,0.1 PPM
46.40522876,0.1 PPM
49.01960784,0.1 PPM
47.38562092,0.1 PPM
46.56862745,0.1 PPM
56.37254902,0.1 PPM
57.02614379,0.1 PPM
52.45098039,0.1 PPM
64.70588235,0.1 PPM
66.17647059,0.1 PPM
64.70588235,0.1 PPM
73.36601307,0.1 PPM
75.49019608,0.1 PPM
72.38562092,0.1 PPM
70.26143791,0.1 PPM
72.22222222,0.1 PPM
75,0.1 PPM
78.92156863,0.1 PPM
86.2745098,0.1 PPM
86.11111111,0.1 PPM
89.05228758,0.1 PPM
97.87581699,0.1 PPM
99.83660131,0.1 PPM
97.38562092,0.1 PPM
98.36601307,0.1 PPM
98.69281046,0.1 PPM
99.83660131,0.1 PPM
0,1 PPM
11.2745098,1 PPM
28.10457516,1 PPM
30.88235294,1 PPM
33.9869281,1 PPM
40.8496732,1 PPM
43.30065359,1 PPM
42.97385621,1 PPM
47.7124183,1 PPM
48.20261438,1 PPM
59.80392157,1 PPM
57.02614379,1 PPM
55.88235294,1 PPM
57.84313725,1 PPM
55.71895425,1 PPM
56.69934641,1 PPM
62.58169935,1 PPM
66.50326797,1 PPM
66.33986928,1 PPM
75.16339869,1 PPM
76.14379085,1 PPM
79.73856209,1 PPM
90.03267974,1 PPM
93.30065359,1 PPM
97.87581699,1 PPM
99.83660131,1 PPM
96.24183007,1 PPM
99.67320261,1 PPM
98.03921569,1 PPM
99.34640523,1 PPM
100,1 PPM
