value,group
0.774834437,control
1.072847682,control
1.19205298,control
1.251655629,control
1.291390728,control
1.887417219,control
1.80794702,control
1.728476821,control
1.728476821,control
1.410596026,control
1.430463576,control
1.569536424,control
1.748344371,control
1.847682119,control
2.125827815,control
2.721854305,control
2.40397351,control
2.582781457,control
2.284768212,control
2.821192053,control
2.900662252,control
3.079470199,control
3.635761589,control
3.655629139,control
4.092715232,control
4.092715232,control
4.80794702,control
4.847682119,control
6.536423841,control
6.913907285,control
0.794701987,0.1 PPM
1.052980132,0.1 PPM
1.092715232,0.1 PPM
1.251655629,0.1 PPM
1.370860927,0.1 PPM
1.609271523,0.1 PPM
1.649006623,0.1 PPM
1.649006623,0.1 PPM
2.940397351,0.1 PPM
2.801324503,0.1 PPM
3.397350993,0.1 PPM
3,0.1 PPM
2.642384106,0.1 PPM
2.642384106,0.1 PPM
2.821192053,0.1 PPM
2.960264901,0.1 PPM
3.258278146,0.1 PPM
3.377483444,0.1 PPM
3.377483444,0.1 PPM
3.61589404,0.1 PPM
3.754966887,0.1 PPM
3.874172185,0.1 PPM
4.251655629,0.1 PPM
4.82781457,0.1 PPM
4.847682119,0.1 PPM
4.847682119,0.1 PPM
5.264900662,0.1 PPM
5.225165563,0.1 PPM
5.086092715,0.1 PPM
5.344370861,0.1 PPM
6.099337748,0.1 PPM
0,1 PPM
0.59602649,1 PPM
1.251655629,1 PPM
1.19205298,1 PPM
1.112582781,1 PPM
1.311258278,1 PPM
1.609271523,1 PPM
1.728476821,1 PPM
1.986754967,1 PPM
2.38410596,1 PPM
2.40397351,1 PPM
2.880794702,1 PPM
3.238410596,1 PPM
2.860927152,1 PPM
3.099337748,1 PPM
3.536423841,1 PPM
3.814569536,1 PPM
3.794701987,1 PPM
4.271523179,1 PPM
4.589403974,1 PPM
4.430463576,1 PPM
4.251655629,1 PPM
4.430463576,1 PPM
4.370860927,1 PPM
4.112582781,1 PPM
5.225165563,1 PPM
5.205298013,1 PPM
4.927152318,1 PPM
5.225165563,1 PPM
7.072847682,1 PPM
7.966887417,1 PPM
11.42384106,1 PPM
