value,group
0,control
9.319213313,control
15.61270802,control
16.58093797,control
19.48562784,control
21.90620272,control
22.26928896,control
23.60060514,control
25.05295008,control
27.35249622,control
26.7473525,control
28.68381241,control
31.34644478,control
33.28290469,control
35.58245083,control
33.76701967,control
32.67776097,control
34.61422088,control
35.58245083,control
37.03479576,control
39.93948563,control
42.84417549,control
42.36006051,control
48.77458396,control
55.18910741,control
56.27836611,control
55.31013616,control
58.33585477,control
63.78214826,control
75.52193646,control
0,0.1 PPM
0,0.1 PPM
0,0.1 PPM
0,0.1 PPM
1.573373676,0.1 PPM
2.057488654,0.1 PPM
1.331316188,0.1 PPM
0,0.1 PPM
0.242057489,0.1 PPM
0,0.1 PPM
5.204236006,0.1 PPM
5.083207262,0.1 PPM
6.535552194,0.1 PPM
11.25567322,0.1 PPM
12.46596067,0.1 PPM
14.16036309,0.1 PPM
17.91225416,0.1 PPM
19.00151286,0.1 PPM
20.81694402,0.1 PPM
23.35854766,0.1 PPM
25.05295008,0.1 PPM
28.19969743,0.1 PPM
30.49924357,0.1 PPM
33.0408472,0.1 PPM
33.16187595,0.1 PPM
40.30257186,0.1 PPM
0,1 PPM
0,1 PPM
0,1 PPM
0,1 PPM
8.229954614,1 PPM
14.40242057,1 PPM
15.73373676,1 PPM
14.64447806,1 PPM
18.39636914,1 PPM
18.15431165,1 PPM
19.84871407,1 PPM
19.84871407,1 PPM
23.4795764,1 PPM
24.5688351,1 PPM
24.20574887,1 PPM
24.32677761,1 PPM
26.7473525,1 PPM
26.7473525,1 PPM
27.11043873,1 PPM
29.28895613,1 PPM
31.58850227,1 PPM
34.00907716,1 PPM
39.09228442,1 PPM
38.12405446,1 PPM
39.57639939,1 PPM
46.59606657,1 PPM
45.50680787,1 PPM
47.68532526,1 PPM
47.44326778,1 PPM
48.0484115,1 PPM
51.43721634,1 PPM
51.43721634,1 PPM
53.2526475,1 PPM
