value,group 
2.922848665,control
3.056379822,control
3.189910979,control
3.367952522,control
3.412462908,control
3.456973294,control
3.664688427,control
3.783382789,control
3.590504451,control
3.976261128,control
4.243323442,control
4.12462908,control
4.302670623,control
4.777448071,control
5.222551929,control
4.807121662,control
5.029673591,control
5.118694362,control
5.59347181,control
5.845697329,control
5.667655786,control
5.296735905,control
5.356083086,control
5.667655786,control
5.534124629,control
5.459940653,control
5.87537092,control
5.87537092,control
6.261127596,control
3.264094955,0.1 PPM 
3.679525223,0.1 PPM 
3.709198813,0.1 PPM 
3.857566766,0.1 PPM 
4.065281899,0.1 PPM 
3.991097923,0.1 PPM 
4.183976261,0.1 PPM 
4.258160237,0.1 PPM 
4.881305638,0.1 PPM 
4.703264095,0.1 PPM 
4.540059347,0.1 PPM 
4.910979228,0.1 PPM 
4.658753709,0.1 PPM 
4.881305638,0.1 PPM 
4.955489614,0.1 PPM 
4.955489614,0.1 PPM 
4.985163205,0.1 PPM 
5.727002967,0.1 PPM 
5.445103858,0.1 PPM 
5.697329377,0.1 PPM 
5.534124629,0.1 PPM 
5.608308605,0.1 PPM 
5.59347181,0.1 PPM 
5.296735905,0.1 PPM 
5.994065282,0.1 PPM 
6.394658754,0.1 PPM 
3.516320475,1 PPM 
3.516320475,1 PPM 
3.21958457,1 PPM 
3.635014837,1 PPM 
3.81305638,1 PPM 
3.575667656,1 PPM 
3.902077151,1 PPM 
3.635014837,1 PPM 
3.115727003,1 PPM 
3.115727003,1 PPM 
4.317507418,1 PPM 
4.71810089,1 PPM 
4.925816024,1 PPM 
4.495548961,1 PPM 
4.243323442,1 PPM 
4.525222552,1 PPM 
4.495548961,1 PPM 
4.792284866,1 PPM 
4.777448071,1 PPM 
4.881305638,1 PPM 
4.910979228,1 PPM 
5.445103858,1 PPM 
5.356083086,1 PPM 
5.370919881,1 PPM 
5.623145401,1 PPM 
6.023738872,1 PPM 
5.919881306,1 PPM 
6.18694362,1 PPM 
6.483679525,1 PPM 
6.75074184,1 PPM 
7.818991098,1 PPM 
9.035608309,1 PPM 
