value,group
2.424242424,control
2.412121212,control
2.303030303,control
2.460606061,control
2.193939394,control
2.23030303,control
2.460606061,control
2.545454545,control
2.545454545,control
2.787878788,control
2.824242424,control
2.993939394,control
3.054545455,control
3.248484848,control
3.248484848,control
3.03030303,control
3.054545455,control
3.078787879,control
3.175757576,control
3.490909091,control
3.696969697,control
3.6,control
3.818181818,control
3.818181818,control
3.975757576,control
4.157575758,control
4.315151515,control
5.03030303,control
2.266666667,0.1 PPM
2.533333333,0.1 PPM
2.715151515,0.1 PPM
2.751515152,0.1 PPM
2.96969697,0.1 PPM
3.175757576,0.1 PPM
2.957575758,0.1 PPM
3.078787879,0.1 PPM
3.454545455,0.1 PPM
3.333333333,0.1 PPM
3.2,0.1 PPM
3.127272727,0.1 PPM
3.127272727,0.1 PPM
3.236363636,0.1 PPM
3.309090909,0.1 PPM
3.345454545,0.1 PPM
3.6,0.1 PPM
3.733333333,0.1 PPM
3.854545455,0.1 PPM
3.951515152,0.1 PPM
3.963636364,0.1 PPM
4.206060606,0.1 PPM
4.242424242,0.1 PPM
4.775757576,0.1 PPM
2.012121212,1 PPM
2.4,1 PPM
2.581818182,1 PPM
2.448484848,1 PPM
2.484848485,1 PPM
2.96969697,1 PPM
2.993939394,1 PPM
2.96969697,1 PPM
2.678787879,1 PPM
3.054545455,1 PPM
3.272727273,1 PPM
3.006060606,1 PPM
3.03030303,1 PPM
3.018181818,1 PPM
3.2,1 PPM
3.296969697,1 PPM
3.454545455,1 PPM
3.575757576,1 PPM
3.575757576,1 PPM
3.709090909,1 PPM
3.939393939,1 PPM
3.83030303,1 PPM
3.915151515,1 PPM
3.915151515,1 PPM
4.375757576,1 PPM
4.63030303,1 PPM
4.751515152,1 PPM
7.054545455,1 PPM
