id,group,shoal_n,fish_n,n,mean,sd,fish_sd,se,mean_n,design_effect,n_effective,sd_shoal,sd_fish
hussian_2020_exp2_003,control,10,30,30,4.297142973,5.114495405,5.114495405,0.933774834,3,2,15,2.952855297,5.114495402
hussian_2020_exp2_004,control,10,30,30,4.297142973,5.114495405,5.114495405,0.933774834,3,2,15,2.952855297,5.114495402
hussian_2020_exp2_005,control,10,30,30,33.55949144,62.17238713,62.17238713,11.35107296,3,2,15,35.89524444,62.17238712
hussian_2020_exp2_006,control,10,30,30,33.55949144,62.17238713,62.17238713,11.35107296,3,2,15,35.89524444,62.17238712
hussian_2020_exp2_005,control,10,30,30,4.824534199,4.518711099,4.518711099,0.825,3,2,15,2.60887907,4.518711099
hussian_2020_exp2_006,control,10,30,30,4.824534199,4.518711099,4.518711099,0.825,3,2,15,2.60887907,4.518711099
hussian_2020_exp2_005,control,10,30,30,4.135462423,4.561338203,4.561338203,0.832782609,3,2,15,2.63348984,4.561338204
hussian_2020_exp2_006,control,10,30,30,4.135462423,4.561338203,4.561338203,0.832782609,3,2,15,2.63348984,4.561338204
hussian_2020_exp2_005,control,10,30,30,3.006780196,4.063105517,4.063105517,0.741818182,3,2,15,2.345835065,4.063105518
hussian_2020_exp2_006,control,10,30,30,3.006780196,4.063105517,4.063105517,0.741818182,3,2,15,2.345835065,4.063105518
hussian_2020_exp2_005,control,10,30,30,5.047787824,6.273273288,6.273273288,1.145337763,3,2,15,3.621876021,6.273273288
hussian_2020_exp2_006,control,10,30,30,5.047787824,6.273273288,6.273273288,1.145337763,3,2,15,3.621876021,6.273273288
hussian_2020_exp2_003,treatment,10,30,30,2.798206186,4.690826565,4.690826565,0.856423841,3,2,15,2.70824998,4.690826565
hussian_2020_exp2_004,treatment,10,30,30,2.871229556,2.490868081,2.490868081,0.454768212,3,2,15,1.438103357,2.490868081
hussian_2020_exp2_005,treatment,10,30,30,7.065231879,93.02820811,93.02820811,16.98454936,3,2,15,53.70986101,93.02820814
hussian_2020_exp2_006,treatment,10,30,30,26.26000435,91.17112305,91.17112305,16.64549356,3,2,15,52.63767243,91.17112304
hussian_2020_exp2_005,treatment,10,30,30,4.92358061,3.597672378,3.597672378,0.656842105,3,2,15,2.077117115,3.597672376
hussian_2020_exp2_006,treatment,10,30,30,4.659448291,5.174536793,5.174536793,0.944736842,3,2,15,2.98752021,5.174536793
hussian_2020_exp2_005,treatment,10,30,30,4.520607949,1.153789474,1.153789474,0.210652174,3,2,15,0.666140664,1.153789475
hussian_2020_exp2_006,treatment,10,30,30,4.694709997,1.708656239,1.708656239,0.311956522,3,2,15,0.98649314,1.708656241
hussian_2020_exp2_005,treatment,10,30,30,3.210303504,2.772282313,2.772282313,0.506147186,3,2,15,1.600577939,2.772282312
hussian_2020_exp2_006,treatment,10,30,30,3.00505371,4.068796141,4.068796141,0.742857143,3,2,15,2.349120548,4.068796142
hussian_2020_exp2_005,treatment,10,30,30,3.869802998,3.155318654,3.155318654,0.576079734,3,2,15,1.821724073,3.155318652
hussian_2020_exp2_006,treatment,10,30,30,4.638509769,6.076990874,6.076990874,1.109501661,3,2,15,3.508552317,6.076990873
