id,group,n_shoal,n_fish,n,mean,se
khalil_2013_exp_001_assay_001,control,1,6,6,1.384735636,0.259080646
khalil_2013_exp_001_assay_002,control,1,6,6,0.727043328,0.056526686
khalil_2013_exp_001_assay_003,control,1,6,6,8.592978583,1.935399303
khalil_2013_exp_001_assay_004,control,1,6,6,5.296682287,1.602752548
khalil_2013_exp_001_assay_005,control,1,6,6,42.39508035,23.66656756
khalil_2013_exp_001_assay_006,control,1,6,6,31.16319629,3.402069087
khalil_2013_exp_001_assay_007,control,1,6,6,4.20843672,1.677455847
khalil_2013_exp_001_assay_008,control,1,6,6,9.20843672,0.929674325
khalil_2013_exp_001_assay_009,control,1,6,6,54.51519615,18.26373931
khalil_2013_exp_001_assay_010,control,1,6,6,56.3948954,7.827316847
khalil_2013_exp_001_assay_001,treatment ,1,6,6,1.292427943,0.197843402
khalil_2013_exp_001_assay_002,treatment ,1,6,6,1.442427943,0.202553959
khalil_2013_exp_001_assay_003,treatment ,1,6,6,6.852237843,1.058421494
khalil_2013_exp_001_assay_004,treatment ,1,6,6,2.704089695,0.468729519
khalil_2013_exp_001_assay_005,treatment ,1,6,6,81.52551513,17.74992567
khalil_2013_exp_001_assay_006,treatment ,1,6,6,43.11971803,5.768725844
khalil_2013_exp_001_assay_007,treatment ,1,6,6,7.1292288,0.363785605
khalil_2013_exp_001_assay_008,treatment ,1,6,6,10.14903078,0.343575294
khalil_2013_exp_001_assay_009,treatment ,1,6,6,68.04903073,8.441224051
khalil_2013_exp_001_assay_010,treatment ,1,6,6,57.89865479,2.916059218
,,,,,,
,,,,,,
