"id","group","n_shoal","n_fish","n","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"khalil_2017_exp_001_assay_001","control",1,4,4,25.16225085,3.271889401,4,2.5,1.6,3.271889401,6.543778802
"khalil_2017_exp_001_assay_002","control",1,4,4,13.73367942,0.829493088,4,2.5,1.6,0.829493088,1.658986176
"khalil_2017_exp_001_assay_003","control",1,4,4,12.87428283,1.579262673,4,2.5,1.6,1.579262673,3.158525346
"khalil_2017_exp_002_assay_001","control",1,4,4,25.16225085,3.271889401,4,2.5,1.6,3.271889401,6.543778802
"khalil_2017_exp_001_assay_004","control",1,4,4,2.628309339,0.462093863,4,2.5,1.6,0.462093863,0.924187726
"khalil_2017_exp_001_assay_005","control",1,4,4,1.717924461,0.202484858,4,2.5,1.6,0.202484858,0.404969716
"khalil_2017_exp_001_assay_006","control",1,4,4,1.81709881,0.208062575,4,2.5,1.6,0.208062575,0.41612515
"khalil_2017_exp_002_assay_002","control",1,4,4,2.628309339,0.462093863,4,2.5,1.6,0.462093863,0.924187726
"khalil_2017_exp_001_assay_007","control",1,4,4,32.75392542,2.643230404,4,2.5,1.6,2.643230404,5.286460808
"khalil_2017_exp_001_assay_008","control",1,4,4,20.17022362,1.149643705,4,2.5,1.6,1.149643705,2.29928741
"khalil_2017_exp_001_assay_009","control",1,4,4,15.16123492,1.679176564,4,2.5,1.6,1.679176564,3.358353128
"khalil_2017_exp_002_assay_003","control",1,4,4,32.75392542,2.643230404,4,2.5,1.6,2.643230404,5.286460808
"khalil_2017_exp_001_assay_010","control",1,4,4,32.75392542,2.643230404,4,2.5,1.6,2.643230404,5.286460808
"khalil_2017_exp_001_assay_011","control",1,4,4,20.17022362,1.149643705,4,2.5,1.6,1.149643705,2.29928741
"khalil_2017_exp_001_assay_012","control",1,4,4,15.16123492,1.679176564,4,2.5,1.6,1.679176564,3.358353128
"khalil_2017_exp_002_assay_004","control",1,4,4,32.75392542,2.643230404,4,2.5,1.6,2.643230404,5.286460808
"khalil_2017_exp_001_assay_001","treatment",1,4,4,21.62279789,5.952380952,4,2.5,1.6,5.952380952,11.904761904
"khalil_2017_exp_001_assay_002","treatment",1,4,4,18.79744909,4.838709677,4,2.5,1.6,4.838709677,9.677419354
"khalil_2017_exp_001_assay_003","treatment",1,4,4,4.424923664,0.368663594,4,2.5,1.6,0.368663594,0.737327188
"khalil_2017_exp_002_assay_001","treatment",1,4,4,7.650730115,2.119815668,4,2.5,1.6,2.119815668,4.239631336
"khalil_2017_exp_001_assay_004","treatment",1,4,4,2.628309339,0.42755716,4,2.5,1.6,0.42755716,0.85511432
"khalil_2017_exp_001_assay_005","treatment",1,4,4,1.717924461,1.038411552,4,2.5,1.6,1.038411552,2.076823104
"khalil_2017_exp_001_assay_006","treatment",1,4,4,1.81709881,0.036101083,4,2.5,1.6,0.036101083,0.072202166
"khalil_2017_exp_002_assay_002","treatment",1,4,4,2.628309339,0.04765343,4,2.5,1.6,0.04765343,0.09530686
"khalil_2017_exp_001_assay_007","treatment",1,4,4,28.27365465,3.327790974,4,2.5,1.6,3.327790974,6.655581948
"khalil_2017_exp_001_assay_008","treatment",1,4,4,20.82053712,3.066270784,4,2.5,1.6,3.066270784,6.132541568
"khalil_2017_exp_001_assay_009","treatment",1,4,4,14.17666886,1.493903405,4,2.5,1.6,1.493903405,2.98780681
"khalil_2017_exp_002_assay_003","treatment",1,4,4,13.0943802,2.258036421,4,2.5,1.6,2.258036421,4.516072842
"khalil_2017_exp_001_assay_010","treatment",1,4,4,28.27365465,3.327790974,4,2.5,1.6,3.327790974,6.655581948
"khalil_2017_exp_001_assay_011","treatment",1,4,4,20.82053712,3.066270784,4,2.5,1.6,3.066270784,6.132541568
"khalil_2017_exp_001_assay_012","treatment",1,4,4,14.17666886,1.493903405,4,2.5,1.6,1.493903405,2.98780681
"khalil_2017_exp_002_assay_004","treatment",1,4,4,13.0943802,2.258036421,4,2.5,1.6,2.258036421,4.516072842
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
