"X","id","n","mean","se","sd"
"control","maclaren_2023_exp_001_assay_003",20,144.69,15.08,67.4398102013937
"control","maclaren_2023_exp_002_assay_003",20,144.69,15.08,67.4398102013937
"control","maclaren_2023_exp_001_assay_004",20,246.38,17.9,80.0512335944925
"control","maclaren_2023_exp_002_assay_004",20,246.38,17.9,80.0512335944925
"control","maclaren_2023_exp_001_assay_005",20,132.23,9.71,43.4244401230459
"control","maclaren_2023_exp_002_assay_005",20,132.23,9.71,43.4244401230459
"control","maclaren_2023_exp_001_assay_006",20,230.46,11.7,52.3239906734951
"control","maclaren_2023_exp_002_assay_006",20,230.46,11.7,52.3239906734951
"control","maclaren_2023_exp_001_assay_007",20,143,12.03,53.7997955386449
"control","maclaren_2023_exp_002_assay_007",20,143,12.03,53.7997955386449
"control","maclaren_2023_exp_001_assay_008",20,240.92,14.69,65.6956771789438
"control","maclaren_2023_exp_002_assay_008",20,240.92,14.69,65.6956771789438
"treatment","maclaren_2023_exp_001_assay_003",20,187.06,34.86,155.898659391285
"treatment","maclaren_2023_exp_002_assay_003",20,193.8,31.66,141.587824335287
"treatment","maclaren_2023_exp_001_assay_004",20,206.72,35.54,158.939711840685
"treatment","maclaren_2023_exp_002_assay_004",20,249.1,33.16,148.296028267786
"treatment","maclaren_2023_exp_001_assay_005",20,140.28,35.52,158.850269121585
"treatment","maclaren_2023_exp_002_assay_005",20,132.25,18.06,80.7667753472924
"treatment","maclaren_2023_exp_001_assay_006",20,183.94,34.71,155.227838998035
"treatment","maclaren_2023_exp_002_assay_006",20,183.94,34.71,155.227838998035
"treatment","maclaren_2023_exp_001_assay_007",20,143.33,28.15,125.890627133238
"treatment","maclaren_2023_exp_002_assay_007",20,178,28.3,126.561447526488
"treatment","maclaren_2023_exp_001_assay_008",20,143.33,28.15,125.890627133238
"treatment","maclaren_2023_exp_002_assay_008",20,178,28.3,126.561447526488
