Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
M82DNB34,journalArticle,2021,"Yang, Changwon; Lim, Whasun; Song, Gwonhwa",Reproductive toxicity due to herbicide exposure in freshwater organisms.,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,,1532-0456,10.1016/j.cbpc.2021.109103,,"Excessively used pesticides in agricultural areas are spilled into aquatic environments, wherein they are suspended or sedimented. Owing to climate change,  herbicides are the fastest growing sector of the pesticide industry and are  detected in surface water, groundwater, and sediments near agricultural areas. In  freshwater, organisms, including mussels, snails, frogs, and fish, are exposed to  various types and concentrations of herbicides. Invertebrates are sensitive to  herbicide exposure because their defense systems are incomplete. At the top of  the food chain in freshwater ecosystems, fish show high bioaccumulation of  herbicides. Herbicide exposure causes reproductive toxicity and population  declines in freshwater organisms and further contamination of fish used for  consumption poses a risk to human health. In addition, it is important to  understand how environmental factors are physiologically processed and assess  their impacts on reproductive parameters, such as gonadosomatic index and steroid  hormone levels. Zebrafish is a good model for examining the effects of herbicides  such as atrazine and glyphosate on embryonic development in freshwater fish. This  review describes the occurrence and role of herbicides in freshwater environments  and their potential implications for the reproduction and embryonic development  of freshwater organisms.",2021-10,01/03/2024 5:20,01/03/2024 5:20,,109103,,,248,,Comp Biochem Physiol C Toxicol Pharmacol,,,,,,,,eng,Copyright © 2021 Elsevier Inc. All rights reserved.,,,,,,Place: United States PMID: 34129918,,,,*Fresh Water; Animals; Aquatic Organisms/drug effects; Atrazine; Freshwater; Glyphosate; Herbicides; Herbicides/*toxicity; Reproduction; Reproduction/*drug effects; Water Pollutants/*toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UE9LSYYQ,journalArticle,2010,"Tierney, Keith B.; Baldwin, David H.; Hara, Toshiaki J.; Ross, Peter S.; Scholz, Nathaniel L.; Kennedy, Christopher J.",Olfactory toxicity in fishes.,"Aquatic toxicology (Amsterdam, Netherlands)",,1879-1514 0166-445X,10.1016/j.aquatox.2009.09.019,,"Olfaction conveys critical environmental information to fishes, enabling activities such as mating, locating food, discriminating kin, avoiding predators  and homing. All of these behaviors can be impaired or lost as a result of  exposure to toxic contaminants in surface waters. Historically, teleost olfaction  studies have focused on behavioral responses to anthropogenic contaminants (e.g.,  avoidance). More recently, there has been a shift towards understanding the  underlying mechanisms and functional significance of contaminant-mediated changes  in fish olfaction. This includes a consideration of how contaminants affect the  olfactory nervous system and, by extension, the downstream physiological and  behavioral processes that together comprise a normal response to naturally  occurring stimuli (e.g., reproductive priming or releasing pheromones). Numerous  studies spanning several species have shown that ecologically relevant exposures  to common pollutants such as metals and pesticides can interfere with fish  olfaction and disrupt life history processes that determine individual survival  and reproductive success. This represents one of the pathways by which toxic  chemicals in aquatic habitats may increasingly contribute to the decline and  at-risk status of many commercially and ecologically important fish stocks.  Despite our emerging understanding of the threats that pollution poses for  chemical communication in aquatic communities, many research challenges remain.  These include: (1) the determination of specific mechanisms of toxicity in the  fish olfactory sensory epithelium; (2) an understanding of the impacts of complex  chemical mixtures; (3) the capacity to assess olfactory toxicity in fish in situ;  (4) the impacts of toxins on olfactory-mediated behaviors that are still poorly  understood for many fish species; and (5) the connections between sublethal  effects on individual fish and the long-term viability of wild populations. This  review summarizes and integrates studies on fish olfaction-contaminant  interactions, including metrics ranging from the molecular to the behavioral, and  highlights directions for future research.",21/01/2010,01/03/2024 5:20,01/03/2024 5:20,,Feb-26,,1,96,,Aquat Toxicol,,,,,,,,eng,2009 Elsevier B.V. All rights reserved.,,,,,,Place: Netherlands PMID: 19931199,,,,"Animals; Behavior, Animal/drug effects; Fishes/*physiology; Hydrogen-Ion Concentration; Metals/toxicity; Pesticides/toxicity; Smell/*drug effects/*physiology; Water Pollutants, Chemical/*toxicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7BP8DP35,journalArticle,2021,"Faria, Melissa; Bedrossiantz, Juliette; Ramírez, Jonathan Ricardo Rosas; Mayol, Marta; García, Gerardo Heredia; Bellot, Marina; Prats, Eva; Garcia-Reyero, Natàlia; Gómez-Canela, Cristian; Gómez-Oliván, Leobardo Manuel; Raldúa, Demetrio",Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety.,Environment international,,1873-6750 0160-4120,10.1016/j.envint.2020.106253,,"Glyphosate is the active ingredient of some of the most highly produced and used herbicides worldwide. The intensive applications of glyphosate-based herbicides  and its half-life in water lead to its presence in many aquatic ecosystems.  Whereas recent studies have reported neurotoxic effects of glyphosate including  autism-related effects, most of them used extremely high (mg/L to g/L)  concentrations, so it is still unclear if chronic, low environmentally relevant  concentrations of this compound (ng/L to μg/L) can induce neurotoxicity. In this  study we analyzed the neurotoxicity of glyphosate in adult zebrafish after  waterborne exposure to environmentally relevant concentrations (0.3 and 3 μg/L)  for two weeks. Our data showed that exposed fish presented a significant  impairment of exploratory and social behaviors consistent with increased anxiety.  The anterior brain of the exposed fish presented a significant increase in  dopamine and serotonin levels, as well as in the DOPAC/dopamine and homovanillic  acid/dopamine turnover ratios. Moreover, the expression of genes involved in the  dopaminergic system, as th1, th2, comtb, and scl6a3 was downregulated. Finally,  the brain of exposed fish presented a significant increase in the catalase and  superoxide dismutase activities, with a concomitant decrease of glutathione  stores. These changes in the antioxidant defense system are consistent with the  observed increase in oxidative stress, reflected by the increase in the levels of  lipid peroxidation in the brain. The presented results show that current  glyphosate concentrations commonly found in many aquatic ecosystems may have  detrimental consequences on fish survival by decreasing exploration of the  environment or altering social interactions. Furthermore, as zebrafish is also a  vertebrate model widely used in human neurobehavioral studies, these results are  relevant not only for environmental risk assessment, but also for understanding  the risk of chronic low-dose exposures on human health.",2021-01,01/03/2024 5:20,01/03/2024 5:20,,106253,,,146,,Environ Int,,,,,,,,eng,Copyright © 2020 The Authors. Published by Elsevier Ltd.. All rights reserved.,,,,,,Place: Netherlands PMID: 33220538,,,,"*Herbicides/toxicity; *Water Pollutants, Chemical/toxicity; Animals; Anxiety/chemically induced; Behavioral impairment; Dopaminergic system; Ecosystem; Glycine/analogs & derivatives; Glyphosate; Humans; Neurotoxicity; Oxidative stress; Oxidative Stress; Zebrafish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9SSZTK4,journalArticle,2021,"Yang, Changwon; Lim, Whasun; Song, Gwonhwa",Immunotoxicological effects of insecticides in exposed fishes.,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,,1532-0456,10.1016/j.cbpc.2021.109064,,"Biologically active compounds used in agriculture that develop near aquatic environments easily spill into rivers or lakes. As a result, insecticides,  herbicides and fungicides are observed worldwide in aquatic environments and  accumulated in aquatic organism. Many insecticides, including organochlorine and  organophosphate, have long been banned long ago because of their high persistence  and non-target toxicity. However, previous studies have shown that persistent  pesticides remain in aquatic organisms. The immune system is the first defense  mechanism against exposure to persistent organic pollutants or pesticides that  have been released into the aquatic environment. Many insecticides have been  reported to cause immunotoxicity, which is represented by alteration of  phagocytic and lysozyme activity. Recent studies show that immunotoxicity by  insecticides exerts a more complex mechanism in fish. Insecticides induce  immunotoxic effects, such as the release of inflammatory cytokines from head  kidney macrophages and inhibition of immune cell proliferation in fish, which can  lead to death in severe cases. Even currently used pesticides, such as  pyrethroid, with low bioaccumulation have been shown to induce  immunotoxicological effects in fish when exposed continuously. Therefore, this  review describes the types and bioaccumulation of insecticides that cause  immunotoxicity and detailed immunotoxicological mechanisms in fish tissues.",2021-09,01/03/2024 5:20,01/03/2024 5:20,,109064,,,247,,Comp Biochem Physiol C Toxicol Pharmacol,,,,,,,,eng,Copyright © 2021 Elsevier Inc. All rights reserved.,,,,,,Place: United States PMID: 33905824,,,,"Animals; Bioaccumulation/*immunology; Chlorpyrifos; Fishes/*immunology; Immunotoxicity; Insecticides; Insecticides/*toxicity; Pesticides; Pyrethroid; Water Pollutants, Chemical/*toxicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THXGTE99,journalArticle,2017,"Bridi, Daiane; Altenhofen, Stefani; Gonzalez, Jonas Brum; Reolon, Gustavo Kellermann; Bonan, Carla Denise",Glyphosate and Roundup(®) alter morphology and behavior in zebrafish.,Toxicology,,1879-3185 0300-483X,10.1016/j.tox.2017.10.007,,"Glyphosate has become the most widely used herbicide in the world, due to the wide scale adoption of transgenic glyphosate resistant crops after its  introduction in 1996. Glyphosate may be used alone, but it is commonly applied as  an active ingredient of the herbicide Roundup(®). This pesticide contains several  adjuvants, which may promote an unknown toxicity. The indiscriminate application  poses numerous problems, both for the health of the applicators and consumers,  and for the environment, contaminating the soil, water and leading to the death  of plants and animals. Zebrafish (Danio rerio) is quickly gaining popularity in  behavioral research, because of physiological similarity to mammals, sensitivity  to pharmacological factors, robust performance, low cost, short spawning  intervals, external fertilization, transparency of embryos through larval stages,  and rapid development. The aim of this study was evaluate the effects of  glyphosate and Roundup(®) on behavioral and morphological parameters in zebrafish  larvae and adults. Zebrafish larvae at 3days post-fertilization and adults were  exposed to glyphosate (0.01, 0.065, and 0.5mg/L) or Roundup(®) (0.01, 0.065, and  0.5mg/L) for 96h. Immediately after the exposure, we performed the analysis of  locomotor activity, aversive behavior, and morphology for the larvae and  exploratory behavior, aggression and inhibitory avoidance memory for adult  zebrafish. In zebrafish larvae, there were significant differences in the  locomotor activity and aversive behavior after glyphosate or Roundup(®) exposure  when compared to the control group. Our findings demonstrated that exposure to  glyphosate at the concentration of 0.5mg/L, Roundup(®) at 0.065 or 0.5mg/L  reduced the distance traveled, the mean speed and the line crossings in adult  zebrafish. A decreased ocular distance was observed for larvae exposed at 0.5mg/L  of glyphosate. We verified that at 0.5mg/L of Roundup(®)-treated adult zebrafish  demonstrated a significant impairment in memory. Both glyphosate and Roundup(®)  reduced aggressive behavior. Our data suggest that there are small differences  between the effects induced by glyphosate and Roundup(®), altering morphological  and behavioral parameters in zebrafish, suggesting common mechanisms of toxicity  and cellular response.",01/12/2017,01/03/2024 5:20,01/03/2024 5:20,,32-39,,,392,,Toxicology,,,,,,,,eng,Copyright © 2017 Elsevier B.V. All rights reserved.,,,,,,Place: Ireland PMID: 29032223,,,,"Aggression/drug effects; Animals; Behavior; Behavior, Animal/*drug effects; Embryo, Nonmammalian/*drug effects; Female; Glycine/*analogs & derivatives/toxicity; Glyphosate; Herbicides/*toxicity; Larva/drug effects; Male; Memory; Memory/drug effects; Roundup(®); Toxicity; Zebrafish; Zebrafish/*physiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DW9FB5Y,journalArticle,2014,"Vandegehuchte, Michiel B.; Janssen, Colin R.",Epigenetics in an ecotoxicological context.,Mutation research. Genetic toxicology and environmental mutagenesis,,1879-3592 1383-5718,10.1016/j.mrgentox.2013.08.008,,"Epigenetics can play a role in interactions between chemicals and exposed species, between species and abiotic ecosystem components or between species of  the same or another population in a community. Technological progress and  advanced insights into epigenetic processes have led to the description of  epigenetic features (mainly DNA methylation) in many ecologically relevant  species: algae, plants, several invertebrates and fish. Epigenetic changes in  plants, insects and cladocerans have been reported to be induced by various  environmental stress factors including nutrition or water deficiency, grazing,  light or temperature alterations, social environment, and dissolved organic  matter concentrations. As regards chemicals, studies in rats and mice exposed to  specific pesticides, hydrocarbons, dioxins, and endocrine disrupting chemicals  demonstrated the induction of epigenetic changes, suggesting the need for further  research with these substances in an ecotoxicological context. In fish and  plants, exposure to polyaromatic hydrocarbons, metals, and soluble fractions of  solid waste affected the epigenetic status. A novel concept in ecotoxicological  epigenetics is the induction of transgenerational stress resistance upon chemical  exposure, as demonstrated in rice exposed to metals. Evaluating epigenetics in  ecotoxicological field studies is a second relatively new approach. A cryptic  lineage of earthworms had developed arsenic tolerance in the field, concurrent  with specific DNA methylation patterns. Flatfish caught in the framework of  environmental monitoring had developed tumours, exhibiting specific DNA  methylation patterns. Two main potential implications of epigenetics in an  ecotoxicological context are (1) the possibility of transgenerationally  inherited, chemical stress-induced epigenetic changes with associated phenotypes  and (2) epigenetically induced adaptation to stress upon long-term chemical  exposure. Key knowledge gaps are concerned with the causality of the relation  between epigenetic and phenotypic changes, the persistence of transgenerational  effects, the implications at population level and the costs of tolerance.  Epigenetic changes following exposure to multiple stressors constitute another  promising area of further research.",2014-04,01/03/2024 5:20,01/03/2024 5:20,,36-45,,,764-765,,Mutat Res Genet Toxicol Environ Mutagen,,,,,,,,eng,Copyright © 2013 Elsevier B.V. All rights reserved.,,,,,,Place: Netherlands PMID: 24004878,,,,"*DNA Methylation; *Ecosystem; *Epigenesis, Genetic; Animals; Chemicals; DNA methylation; Ecotoxicology; Environmental Pollutants/*toxicity; Epigenetic changes; Epigenomics; Fishes/genetics; Insecticide Resistance/*genetics; Invertebrates/genetics; Pesticides/toxicity; Phenotype; Plants/genetics; Stress ecology; Transgenerational stress resistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRNEKK5A,journalArticle,2019,"Leung, Ka Yin; Wang, Qiyao; Yang, Zhiyun; Siame, Bupe A.",Edwardsiella piscicida: A versatile emerging pathogen of fish.,Virulence,,2150-5608 2150-5594,10.1080/21505594.2019.1621648,,"Edwardsiella piscicida is an Enterobacteriaceae that is abundant in water and causes food and waterborne infections in fish, animals, and humans. The bacterium  causes Edwardsiellosis in farmed fish and can lead to severe economic losses in  aquaculture worldwide. E. piscicida is an intracellular pathogen that can also  cause systemic infection. Type III and type VI secretion systems are the  bacterium's most lethal weapons against host defenses. It also possesses  multi-antibiotic resistant genes and is selected and enriched in the environment  due to the overuse of antibiotics. Therefore, the bacterium has great potential  to contribute to the evolution of the resistome. All these properties have made  this bacterium a perfect model to study bacteria virulence mechanisms and the  spread of antimicrobial genes in the environment. We summarize recent advance in  E. piscicida biology and provide insights into future research in virulence  mechanisms, vaccine development and novel therapeutics.",2019-12,01/03/2024 5:20,01/03/2024 5:20,,555-567,,1,10,,Virulence,,,,,,,,eng,,,,,,,Place: United States PMID: 31122125  PMCID: PMC6592360,,,,"*Host-Pathogen Interactions; Animals; Aquaculture; Bacterial Proteins/genetics; Drug Resistance, Multiple, Bacterial; Edwardsiella/genetics/*pathogenicity; Enterobacteriaceae Infections/microbiology/*veterinary; Fish Diseases/*microbiology; Fishes/*microbiology; Humans; intracellular and systemic infection; resistome; T3SS/T6SS and effectors; Type III Secretion Systems/genetics; Type VI Secretion Systems/genetics; Virulence; Virulence Factors/genetics; virulence mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8DJIUYD,journalArticle,2022,"Zaluski, Amanda B.; Wiprich, Melissa T.; de Almeida, Luiza F.; de Azevedo, Andressa P.; Bonan, Carla D.; Vianna, Monica R. M.","Atrazine and Diuron Effects on Survival, Embryo Development, and Behavior in Larvae and Adult Zebrafish.",Frontiers in pharmacology,,1663-9812,10.3389/fphar.2022.841826,,"Atrazine and Diuron are widely used herbicides. The use of pesticides contaminates the aquatic environment, threatening biodiversity and non-target  organisms such as fish. In this study, we investigated the effects of acute  exposure for 96 h hours to atrazine and diuron commercial formulations in  zebrafish (Danio rerio, wild-type AB) embryos and larvae and adult stages. We  observed a significant concentration-dependent survival decrease and hatching  delays in animals exposed to both herbicides and in the frequency of  malformations compared to the control groups. Morphological defects included  cardiac edema, tail reduction, and head malformation. At 7 days  post-fertilization (dpf), atrazine exposure resulted in a reduction in the head  length at 2, 2.5, and 5 mg/L and increased the ocular distance at 1, 2, 2.5, and  5 mg/L atrazine when compared to controls. At the same age, diuron increased the  ocular distance in animals exposed to diuron (1.0 and 1.5 mg/L) and no effects  were observed on the head length. We also evaluated a behavioral repertoire in  larvae at 7 dpf, and there were no significant differences in distance traveled,  mean speed, time in movement, and thigmotaxis for atrazine and diuron when  animals were individually placed in a new environment. The cognitive ability of  the larvae was tested at 7 dpf for avoidance and optomotor responses, and neither  atrazine nor diuron had significant impacts when treated groups were compared to  their corresponding controls. Adults' behavior was evaluated 7 and 8 days after  the end of the acute herbicide exposure. Exploration of a new environment and  associated anxiety-like parameters, social interaction, and aggressiveness were  not altered. Our results highlight the need for further studies on the sublethal  effects of both herbicides and the consideration of the effects of commercial  formulas vs. isolated active ingredients. It also emphasizes the need to take  sublethal effects into consideration when establishing the environmental limits  of residues.",2022,01/03/2024 5:20,01/03/2024 5:20,,841826,,,13,,Front Pharmacol,,,,,,,,eng,"Copyright © 2022 Zaluski, Wiprich, de Almeida, de Azevedo, Bonan and Vianna.",,,,,,Place: Switzerland PMID: 35444550  PMCID: PMC9014172,,,,atrazine; cognition; diuron; exploratory behavior; social interaction; survival; teratogenesis; zebrafish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GG9PYYXR,journalArticle,2022,"Mello, Danielle F.; Bergemann, Christina M.; Fisher, Kinsey; Chitrakar, Rojin; Bijwadia, Shefali R.; Wang, Yang; Caldwell, Alexis; Baugh, Larry Ryan; Meyer, Joel N.",Rotenone Modulates Caenorhabditis elegans Immunometabolism and Pathogen Susceptibility.,Frontiers in immunology,,1664-3224,10.3389/fimmu.2022.840272,,"Mitochondria are central players in host immunometabolism as they function not only as metabolic hubs but also as signaling platforms regulating innate  immunity. Environmental exposures to mitochondrial toxicants occur widely and are  increasingly frequent. Exposures to these mitotoxicants may pose a serious threat  to organismal health and the onset of diseases by disrupting immunometabolic  pathways. In this study, we investigated whether the Complex I inhibitor rotenone  could alter C. elegans immunometabolism and disease susceptibility. C. elegans  embryos were exposed to rotenone (0.5 µM) or DMSO (0.125%) until they reached the  L4 larval stage. Inhibition of mitochondrial respiration by rotenone and  disruption of mitochondrial metabolism were evidenced by rotenone-induced  detrimental effects on mitochondrial efficiency and nematode growth and  development. Next, through transcriptomic analysis, we investigated if this  specific but mild mitochondrial stress that we detected would lead to the  modulation of immunometabolic pathways. We found 179 differentially expressed  genes (DEG), which were mostly involved in detoxification, energy metabolism, and  pathogen defense. Interestingly, among the down-regulated DEG, most of the known  genes were involved in immune defense, and most of these were identified as  commonly upregulated during P. aeruginosa infection. Furthermore, rotenone  increased susceptibility to the pathogen Pseudomonas aeruginosa (PA14). However,  it increased resistance to Salmonella enterica (SL1344). To shed light on  potential mechanisms related to these divergent effects on pathogen resistance,  we assessed the activation of the mitochondrial unfolded protein response  (UPR(mt)), a well-known immunometabolic pathway in C. elegans which links  mitochondria and immunity and provides resistance to pathogen infection. The  UPR(mt) pathway was activated in rotenone-treated nematodes further exposed for  24 h to the pathogenic bacteria P. aeruginosa and S. enterica or the common  bacterial food source Escherichia coli (OP50). However, P. aeruginosa alone  suppressed UPR(mt) activation and rotenone treatment rescued its activation only  to the level of DMSO-exposed nematodes fed with E. coli. Module-weighted  annotation bioinformatics analysis was also consistent with UPR(mt) activation in  rotenone-exposed nematodes consistent with the UPR being involved in the  increased resistance to S. enterica. Together, our results demonstrate that the  mitotoxicant rotenone can disrupt C. elegans immunometabolism in ways likely  protective against some pathogen species but sensitizing against others.",2022,01/03/2024 5:20,01/03/2024 5:20,,840272,,,13,,Front Immunol,,,,,,,,eng,"Copyright © 2022 Mello, Bergemann, Fisher, Chitrakar, Bijwadia, Wang, Caldwell, Baugh and Meyer.",,,,,,Place: Switzerland PMID: 35273616  PMCID: PMC8902048,,,,*Caenorhabditis elegans Proteins; *Caenorhabditis elegans/metabolism; Animals; Dimethyl Sulfoxide/metabolism; Escherichia coli/metabolism; immunotoxicity; innate immunity; invertebrate; metabolism; mitochondrial toxicants; mitoimmunity; pesticides; Pseudomonas aeruginosa/physiology; Rotenone/toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5LPR89D,journalArticle,1997,"Hati, A. K.",Urban malaria vector biology.,The Indian journal of medical research,,0971-5916,,,"One of the main reasons for the set-back in the urban malaria control programme is the peculiar biobehaviour of the principal urban malaria vector Anopheles  stephensi. Certain relevant facts such as incrimination as the vector of malaria,  sibling or biological species, resting habitat, manlanding behaviour, seasonal  prevalence, blood meal analysis, longevity, parity status, daily survival and  mortality rates of adults, breeding habitats and vertical distribution of larvae  of An. stephensi have been discussed. Determination of density of the vector  using various parameters and their relation to malaria endemicity in an urban  situation have been reviewed. An. stephensi has become resistant to DDT, HCH,  malathion and propoxur in many places in India. Hence for control source  reduction, use of predators such as fish and biolarvicides such as Bacillus  thuringiensis var israelensis H14 and B. sphaericus, personal protection, i.e.,  use of appropriate clothing, bed nets, indigenous repellents, etc., information,  education and communication (IEC) are to be stressed.",1997-08,01/03/2024 5:20,01/03/2024 5:20,,149-163,,,106,,Indian J Med Res,,,,,,,,eng,,,,,,,Place: India PMID: 9291684,,,,Adult; Animals; Anopheles/parasitology/*physiology; Humans; India/epidemiology; Insect Vectors/parasitology/*physiology; Malaria/*epidemiology/parasitology/prevention & control/transmission; Plasmodium/physiology; Urban Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
