"","filename","variable","group_id","mean","sd","n","r","se","error_type","plot_type"
"1","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Control",41.8874518733448,35.526073598507,12,NA,10.2554940776742,"se","mean_error"
"2","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-Diuron",44.3101780901363,35.3497490924588,12,NA,10.2045935771584,"se","mean_error"
"3","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-DCA",20.7776130233044,13.7057933468494,12,NA,3.95652173913043,"se","mean_error"
"4","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-DCPMU",13.5725885616869,8.95337032835604,12,NA,2.58461538461538,"se","mean_error"
"5","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Control",122.107016348629,34.7185613991868,36,NA,5.78642689986447,"se","mean_error"
"6","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Glyphosate 0.01 mg/L",91.0636890566235,36.3449511494343,36,NA,6.05749185823905,"se","mean_error"
"7","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Glyphosate 0.065 mg/L",93.2211519102429,42.8173397102923,36,NA,7.13622328504871,"se","mean_error"
"8","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Glyphosate 0.5 mg/L",93.3871105912905,47.2982240985786,36,NA,7.8830373497631,"se","mean_error"
"9","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Roundup 0.01 mg/L",85.6790971801245,21.92240182323,36,NA,3.65373363720499,"se","mean_error"
"10","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Roundup 0.065 mg/L",86.7398585586679,43.1376293940975,36,NA,7.18960489901625,"se","mean_error"
"11","bridi_2017_fig6a.jpg","Time spent close to stimulus (s)","Treatment-Roundup 0.5 mg/L",94.5187753346526,21.2152275708677,36,NA,3.53587126181128,"se","mean_error"
"12","bridi_2017_fig6b.jpg","Number of entries","Control",39.4858436546351,18.8042737585107,26,NA,3.68782149359949,"se","mean_error"
"13","bridi_2017_fig6b.jpg","Number of entries","Treatment - Glyphosate 0.01 mg/L",27.7557133257301,10.6687459925229,26,NA,2.09231323082458,"se","mean_error"
"14","bridi_2017_fig6b.jpg","Number of entries","Treatment - Glyphosate 0.065 mg/L",24.8235416766023,12.7349285844835,26,NA,2.4975249752497,"se","mean_error"
"15","bridi_2017_fig6b.jpg","Number of entries","Treatment - Glyphosate 0.5 mg/L",21.9990956116367,6.16783568199852,26,NA,1.20961209612094,"se","mean_error"
"16","bridi_2017_fig6b.jpg","Number of entries","Treatment - Roundup 0.01 mg/L",24.8335686802302,9.47732855738409,26,NA,1.85865704810891,"se","mean_error"
"17","bridi_2017_fig6b.jpg","Number of entries","Treatment - Roundup 0.065 mg/L",23.4381955844892,6.69100031573949,26,NA,1.3122131221312,"se","mean_error"
"18","bridi_2017_fig6b.jpg","Number of entries","Treatment - Roundup 0.5 mg/L",24.7084875674994,5.89354491248657,26,NA,1.15581925050017,"se","mean_error"
"19","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Control",41.8874518733448,35.526073598507,12,NA,10.2554940776742,"se","mean_error"
"20","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-Diuron",44.3101780901363,35.3497490924588,12,NA,10.2045935771584,"se","mean_error"
"21","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-DCA",20.7776130233044,13.7057933468494,12,NA,3.95652173913043,"se","mean_error"
"22","boscolo_2018_fig2.jpg","Total frequency of aggressive interactions, 20 minutes","Treatment-DCPMU",13.5725885616869,8.95337032835604,12,NA,2.58461538461538,"se","mean_error"
"23","chung_2023_fig6c.jpg","Male confrontation distance (cm)","Control",16.5992051343284,4.96957238383324,10,NA,1.57151677299856,"se","mean_error"
"24","chung_2023_fig6c.jpg","Male confrontation distance (cm)","Treatment 0.1 ppm",13.4650111097566,4.91522988854119,10,NA,1.55433216711257,"se","mean_error"
"25","chung_2023_fig6c.jpg","Male confrontation distance (cm)","Treatment 0.5 ppm",12.3161621639817,4.60349269997963,10,NA,1.45575221238938,"se","mean_error"
"26","chung_2023_fig6c.jpg","Male confrontation distance (cm)","Treatment 1 ppm",12.3789322812898,4.82737076441633,10,NA,1.52654867256637,"se","mean_error"
