"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7ETMQ23L","thesis","2021","Torres Reyes, Erika Amparo","Actividad larvicida y efecto residual de piperidinas e insecticidas organofosforados en las proteínas de Aedes aegypti (Díptera: Culicidae)","","","","","http://hdl.handle.net/11634/32506","En esta investigación se determinó la actividad la susceptibilidad y resistencia de las larvas en tercer instar del mosquito Aedes aegypti de la cepa Piedecuesta (colectada en campo), y la cepa Rockefeller a los insecticidas malatión, clorpirifos, y temefos, y a 16 derivados piperidínicos. A ambas cepas se le cuantificaron las proteínas totales y las colinesterasas. A las larvas previamente expuestas a una concentración sub-letal de los insecticidas, se les determinó la actividad colinérgica residual, y el tipo de inhibición causada sobre la AChE. Los resultados mostraron la cepa silvestre fue altamente resistente a malatión y clorpirifos, y que catorce de las piperidinas evaluadas son una alternativa promisoria para controlar las poblaciones de larvas por su elevada toxicidad, comportándose como inhibidores colinérgicos de tipo mixto. ; The purpose of this research was to determine the activity, susceptibility, and resistance of larvae on third instar of mosquito Aedes aegypti to insecticides known as Malathion, Chlorpyrifos, and Temephos, as well as to 16 piperidine derivates. To accomplish the purpose of this study, Piedecuesta strain (collected in the field) and Rockefeller strain were used. In both cases, the total proteins and cholinesterase rates were quantified. In the case of the larvae that had been previously exposed to sublethal concentration of the insecticides, residual cholinergic activity was determined, as well as the type of inhibition caused by the AChE. The results of the research showed that the wild-type strain was highly resistant to Malathion and Chlorpyrifos; it was also registered that 14 of the tested piperidines, by acting as mixed-type cholinergic inhibitors, are a promising alternative to control the populations of larvae due to their high toxicity. ; Magister en Ciencias y Tecnologías Ambientales ; http://www.ustabuca.edu.co/ustabmanga/presentacion ; Maestría","2021","2024-03-01 05:47:59","2024-03-01 05:47:59","","","","","","","","","","","","","Universidad Santo Tomás ; Maestría Ciencias y Tecnologías Ambientales ; Facultad de Química Ambiental","","spa","","","","","","","","","","","Acetilcolinesterasa; Acetylcholinesterase; Aedes aegypti; Compuestos organofosforados; Enzimas - Análisis; Enzymatic activity; Expresión enzimática; Insecticidas; Insectos vectores; Larvas de insectos; Mosquitos; Organofosforados; Organophosphate; Piperidinas; Piperidines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ9IXUVJ","thesis","","Sandahl, Jason","Biochemical and physiological indicators of behavioral impairment in salmonids exposed to chlorpyrifos and copper","","","","","https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/0g354j38w","The purpose of this work was to determine if environmentally-relevant concentrations of chlorpyrifos and copper, two commonly detected chemicals in Western surface waters, can negatively impact the biological health of salmonids. Both compounds are highly neurotoxic to fish, but each with distinct biological target sites and mechanisms of action. We used common biochemical and physiological indicators of toxicity, and correlated these effects with potentially significant behavioral alterations. For chlorpyrifos, the mechanism of toxic action is the inhibition of acetylcholinesterase (AChE) throughout the peripheral and central nervous system. Here, we conducted biochemical assays of AChE activity in brain and muscle tissues after exposing steelhead trout (Oncorhynchus mykiss) and coho salmon (0. kisutch) to chlorpyrifos for 96 hours. We then correlated the AChE inhibition with behavioral impairment in swimming and feeding activities. In juvenile steelhead and coho exposed to 0.6-2.5 μg/L chlorpyrifos, AChE activity was inhibited between ~10-65%. This biochemical indicator was significantly correlated with changes in behavioral patterns. Spontaneous swimming rates were reduced ~30-80% in the exposed fish, and strikes at food items (brine shrimp) were reduced ~10-70%. For copper and some other neurotoxicants, the olfactory nervous system is a sensitive target site in fish. The highly-developed olfactory system in salmonids is particularly susceptible to toxic insult by dissolved chemicals since receptor neurons are in direct contact with the aquatic environment. Here, we used electrophysiological techniques to record odor-evoked responses from the sensory epithelium and the olfactory bulb as direct measures of olfactory function in juvenile coho salmon. In fish exposed to copper, chlorpyrifos, or esfenvalerate for 7 days, field potentials recorded from the sensory epithelium and the olfactory bulb showed reduced or obscured olfactory responses to two classes of odorants, which activate non-overlapping populations ...","","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","Oregon State University","","English [eng]","","","","","","","","","","","Chlorpyrifos -- Environmental aspects; Copper -- Environmental aspects; Salmonidae -- Effect of pesticides on; Salmonidae -- Effect of pollution on","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEXYIQHK","thesis","1997","THES","Farmers Attitudes Towards Information Sources And Their Subsequent Crop Protection Behaviour","","","","","https://oro.open.ac.uk/62960/","The literature contains many studies of the various factors that could contribute towards the use of pesticide by farmers. However, not all of these factors have been investigated. This research looked into the links between information sources and the use of pesticides; and focused particularly on the attitudes and behaviour of farmers towards both these aspects. A review of several models proposed to explain attitudes and behaviour was undertaken and Fishbein and Ajzen’s model was chosen to investigate farmers attitudes and behaviour towards information sources and pesticide use. The first, preliminary, survey of farmers in West Sussex produced an unexpected result: that they did not apply pesticides as many times as they had indicated at the beginning of the growing season. Systems analysis using the Failures methodology identified areas where anomalies had occurred. It also showed that systems of crop protection were dynamic.","1997","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JB4RGMVF","thesis","2022","Widodo, Muhammad Wahyu; Rezania Asyfiradayati, SKM., M.PH","Hubungan Penggunaan Pestisida Dan Alat Pelindung Diri Dengan Keluhan Kesehatan Subjektif Pada Petani Di Dataran Rendah Desa Majasto, Kecamatan Tawangsari, Kabupaten Sukoharjo","","","","","http://eprints.ums.ac.id/106665/","The agricultural sector needs special attention to the health of its workers. Health risk factors in this sector really need comprehensive handling. The health problems faced in the agricultural sector are very triggering for workers who cannot be separated from the use of pesticides. Many farmers behave unsafely and do not comply with the procedures for using pesticides, so they are at high risk of experiencing subjective health complaints such as headaches, difficulty breathing, nausea, vomiting, diarrhea, blurred vision and itching of the skin, so it is important to conduct this research. The purpose of this study was to determine the relationship between pesticide use and subjective health complaints among farmers in the lowlands of Majasto Village, Tawangsari District, Sukoharjo Regency. The type of research used is quantitative with a correlation-analytic observational research design with a cross-sectional study approach. The sampling technique in this study was carried out by purposive sampling with a total sample of 64 respondents. Statistical test using the fisher exact correlation test. The conclusion of this study shows that there is a relationship between the use of pesticides and the incidence of subjective health complaints in farmers with a p-value (0.000 <0.05) while there is no relationship between the use of PPE and subjective health complaints in farmers with a p-value (1,000 > 0.05). it is advisable to use pesticides to adjust the dosage for the use of agar contained on the pesticide packaging label and it is advisable to use PPE completely and use it according to the recommendations.","2022","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","en","","","","","","","","","","","RA0421 Public health. Hygiene. Preventive Medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWTDH8I3","journalArticle","2019","Volz, Sina","Olfactory toxicity in zebrafish : Assessing the effects of three commonly used pesticides and cadmium on the olfactory system of Danio rerio ...","","","","","https://dx.doi.org/10.18154/rwth-2019-11854","Dissertation, RWTH Aachen University, 2019; Aachen 1 Online-Ressource (XVIII, 184 Seiten) : Illustrationen, Diagramme (2019). = Dissertation, RWTH Aachen University, 2019 ... : Fish are highly dependent on olfaction since a variety of indispensable behaviors are mediated via this sensory modality. Situated in cavities at the dorsal part of the cranium, the fish olfactory epithelium (OE), which contains the olfactory sensory neurons (OSNs) responsible for odorant detection, is in almost direct contact to the ambient water and thus readily accessible for both odorants and dissolved contaminants. In the last decades, an increasing number of studies demonstrated that numerous pollutants, among them metals and pesticides, are able to impair olfaction in environmentally relevant concentrations, thereby disrupting pivotal behaviors. However, the toxic mechanisms underlying olfactory dysfunction largely remain unknown and despite the paramount significance of olfaction for fish, olfactory endpoints have not yet been incorporated into the environmental risk assessment of chemicals. The objective of the present Ph.D. thesis was to investigate the impact of three commonly used pesticides ...","2019","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","en","","","","","","","Publisher: RWTH Aachen University","","","","570; aquatic toxiology; behavior; olfaction; pesticides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMF7VNLV","thesis","2003","Cole, Russell David","The nematode Caenorhabditis elegans as a model of organophosphate induced mammalian neurotoxicity","","","","","http://hdl.handle.net/10724/21010","Research has shown a number of basic similarities between the nervous systems of the nematode Caenorhabditis elegans and higher animals including mammals. The purpose of this study was to investigate the toxicity of a chemical class known to be neurotoxic in C. elegans and compare this toxicity to that seen in mammals. The behavioral response of C. elegans to 15 organophosphate (OP) pesticides was characterized using computer automated tracking. Toxicity was ranked and compared to the ranked toxicity of the same compounds in rats and mice. Toxic mechanism was also examined through cholinesterase activity assays performed on worms exposed to 8 of the 15 OPs. A significant correlation was found between rank order of toxicity in C. elegans and rats and mice. Cholinesterase inhibition by some OPs was also confirmed in C. elegans. Specific comparisons and implications concerning C. elegans’ potential as a mammalian neurotoxicity model are discussed. ; MS ; Environmental Health Science ; Toxicology ; Phillip L. Williams ; Phillip L. Williams ; Cham E. Dallas ; Jeffrey W. Fisher","2003","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","uga","","eng","","","","","","","","","","","Behavior; Biological Model; Caenorhabditis elegans; Cholinesterase; Mice; Neurotoxicity; Organophosphate; Rats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKTLB6CT","thesis","2021","Войтко, Христина Володимирівна; Voitko, Khrystyna","Дослідження впливу підкислювачів на збудників хвороб хліба ; Study of oxidants impact on bread disease agents","","","","","http://elartu.tntu.edu.ua/handle/lib/36888","Встановлено, що кількість споро утворюючих бактерій виявляється більше у борошні першого ґатунку порівняно з вищим. Зокрема, у борошні вищого гатунку, в середньому виділяли аеробних бацил 21,7 ± 2,3 КУО/г, у той же час у борошні першого ґатунку кількість бацил була в 2 – 6 разів більша. Проте, у всіх ґатунках борошна від різних виробників кількість аеробних бацил не перевищувала допустиму межу в 200 клітин / г. Встановлено, що з органічних кислот найкраще проявляють активність відносно картопляної палички – це оцтова і молочна кислоти, дещо нижчу пропіонова і лимонна кислоти. Серед досліджених органічних кислот найактивніша відносно Penicillium spp. була пропіонова кислота, так як у 1,42 % концентрації вона затримувала розвиток гриба. Дана концентрація в 1,4 раза нижча, порівняно з мінімальною інгібуючою концентрацією молочної і оцтової кислот. Додавання органічних кислот до борошна під час виробництва пшеничного хліба, в середньому підвищує титровану кислотність готового виробу на 1 град. Зокрема кислотність у досліних зразках була на верхній межі нормативного значення і становила 3,5±0,1 град. Саме із кислотністю середовища хліба повязана його стійкість до збудників картопляної хвороби.Усі дослідні взірці хліба відповідали задовільним вимогам за основними параметрами органолептики, такими як зовнішній вигляд, колір і консистенція, тобто не відрізнялися від контрольного зразка. За параметрами запах і смак виявлено, дещо кисліший присмак у всіх дослідних зразках хліба, порівнюючи з контрольним хлібом. Введення органічних кислот у рецептурний склад пшеничного хліба значно гальмує розвиток спороутворюючих бацил під час зберігання готового хліба, які вважаються збудниками картопляної хвороби. За фізико-хімічними показниками (вологість, пористість) дослідні зразки хліба суттєво не відрізнявся, проти контрольного зразка і дані величини були в межах нормативного значення. Водночас, крихкуватість дослідних зразків, була, в середноьму, на 1,4 раза менша, ніж у хлібі-контролі. Це вказує на те, що вироби з вмістом ...","2021","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","uk","","","","","","","","","","","181; 664; organic acids; pathogens of bread diseases; technology of bread with acids; wheat bread; збудники хвороб хліба; органічні кислоти; пшеничний хліб; технологія хліба з кислотами; харчові технології","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZCYT6YP","thesis","2009","陳怡璇","以底泥環境模擬槽進行含氯芳香族化合物之降解 ; Dechlorination of Chlorinated Aromatics by Modified Permeable Column-Simulated Aquarium Box System","","","","","https://ir.cnu.edu.tw/handle/310902800/22874","本研究採集台灣台南縣二仁溪南萣橋上下游流域之2處底泥與河 水，建立底泥環境模擬箱以模擬環境中含氯芳香族化合物之脫氯情形。 研究分為三部份，第一部份實驗為改良式通透性管柱( Modified Permeable Column, MPC )之初步測試，在MPC中添加HCB、2,3,4- 三氯聯苯( 2,3,4-trichlorobiphenyls,2,3,4-CBp )及2,3,4,5-四氯聯苯(2,3,4, -tetrachlorobiphenyl,2,3,4,5-TeCB)，置放在模擬箱中進行培養。60天後 發現HCB有脫氯作用發生，並產生QCB, 1,2,3,5- TeCB, 1,2,4-TCB 和 1,3,5-TCB等脫氯產物。2,3,4-CBp的濃度則有明顯降低並有外移情形。 至於添加2,3,4,5-CBp的管柱中，2,3,4,5-CBp濃度只有些微下降，並且 也有外移現象。 第二部份實驗為模擬表層底泥之含氯芳香族脫氯狀況測試，在玻璃 杯中添加含六氯苯( Hexachlorobenzene,HCB )、1,2,3,4-四氯苯( 1,2,3,4- tetrachlorobiphenyl,1,2,3,4- TeCB)之底泥，置放在模擬箱中進行培養。經 過13個月後發現1cm~4cm深度之土壤層在有添加YE之組別中HCB 濃度比率明顯低於無添加YE之組別HCB，並產生QCB, 1,2,3,5- TeCB, 1,2,4-TCB 和 1,3,5-TCB等產物。1,2,3,4- TeCB之玻璃杯實驗中1cm~ 4cm土壤層在經過4個月後，添加YE組別之1,2,3,4-TeCB濃度比率明 顯降低，並產生1,2,4-TCB 之脫氯產物。無添加YE之1,2,3,4- TeCB濃 度比率還是很高，產物出現的濃度比率也很低。 第三部份實驗為利用MPC測試HCB及其脫氯產物的移動，在MPC 最內層中置入含HCB 5ppm之底泥，中外層則置入無污染之底泥置放在 模擬箱中培養，經過30天後內層底泥即有脫氯作用發生，90天後HCB 濃度已降至1ppm以下，然而在培養其間HCB有些微擴散至管柱中層 (M/B)~管柱外層(O/L)的部份。脫氯的產物有QCB,1,2,3,5-TeCB, 1,2,4- TCB和1,3,5-TCB，至於產物則沒有明顯外移或殘留在中外層底泥的現 象。綜合以上結果顯示，二仁溪底泥中固有之微生物具有HCB和2,3,4- CBp之脫氯作用能力，而對於2,3,4,5-CBp則脫氯活性並不顯著，顯示 脫氯作用是具有專一性的，然而HCB和2,3,4-CBp分別屬於氯苯類及多 氯聯苯，其結構並不相同，但皆能在天然底泥中進行降解，說明不分種 類含氯污染化合物環境復育是極具可能性的，因此仍須投入更多嘗試， 設法提升並改善多氯聯苯等含氯芳香族的自然降解效率，建立有效且確 實可行之環境污染的復育策略。 ; The main objective of this study was to determine the environmental dechlorination of hexachlorobenzene (HCB) in a simulated anaerobic condition within an aquarium box contained natural river sediments and waters. Three successive experiments were conducted, the first experiment was the primary test of Modified Permeable Column-Simulated Aquarium Box system (MPC-SAB), the second experiment was a test of Cup-SAB system, and the third one was the application of MPC-SAB system in the evaluation of HCB dechlorination and the movement of HCB and its dechlorination products. In the first experiment, sediment samples used in the Modified Permeable Column-Simulated Aquarium Box system (MPC-SAB). were amended with 5 ppm of HCB, 2,3,4-CBp or 2,3,4,5-CBp, individually. After 60 days of incubation, the results showed that HCB was ...","2009","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","zh_TW ; en_US","","","","","","","","","","","Dechlorination; Hexachlorobenzene; Modified Permeable Column (MPC); Polychlorinated biphenyls; Simulated Aquarium Box (SAB); 六氯苯; 多氯聯苯; 改良式通透性管柱; 模擬箱底泥環境; 脫氯作用","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XUHBD6E6","thesis","2005","蔡正偉; Tsai, Jeng-Wei","以生物能量及生理為基礎之觀點探討砷毒性對 吳郭魚之毒理動力/動態及作用模態 ; Bioenergetics- and Physiologically-Based Toxicokinetics/Toxicodynamics and Mode of Action of Arsenic Toxicity to Tilapia Oreochromis mossambicus","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56068","本論文提出以生理學及生物能量學為基礎之研究架構探討砷在吳郭魚 (Oreochromis mossambicus)之內部影響濃度(internal effect concentration, IEC)所產生之急性與慢性毒之關係，本研究以毒理動力及動態模擬探討吳郭魚對砷之暴露、累積、作用模態(mode of action, MOA)與所引起毒性之關係。本研究之7天生物累積試驗結果顯示吳郭魚主要器官之生物濃縮因子(bioconcentration factor, BCF)皆大於1 (1.04~3.05)，代表該魚種暴露於含砷水域時具有累積砷之潛力。砷對吳郭魚之急性毒以不同暴露時間下外部半數致死濃度(external median lethal concentration, LC50)表示，本研究結果顯示96小時LC50及LC50起始值分別為 28.68 (95% CI: 24.92 ~ 32.44) 及12.04 µg mL-1。 本研究以關鍵體內濃度(critical body residue, CBR)、關鍵濃度曲線面積(critical area under the curve, CAUC)及損害評估模式(damage assessment model, DAM)等三種以毒理機制為基礎的急性毒模式對吳郭魚暴露於砷之急性毒資料，包括LC50及內部半數致死濃度 (internal median lethal concentration, CL,50)之描述及預測能力進行評估，進而依據模式理論推論砷對吳郭魚之毒性作用模態。研究結果顯示砷對吳郭魚之急性毒作用方式可以DAM模式描述如下：當砷進入魚體後與標的器官內之受體進行可逆之結合，當體內累積損害超過門檻值時將導致生理機能失衡進而導致個體之死亡；而吳郭魚對砷毒性之調節可經由受損組織之修復及吸收與排除速率之調節來進行。因此，本研究建議採用DAM模式進行砷對水域生態系之影響評估。 本研究以生理學為基礎之毒理動力(physiologically based toxicokinetic, PBTK) 模式探討砷在各器官之生物累積機制，其後並利用此模式預測在不同暴露濃度下砷在吳郭魚體內之毒理動力行為。本研究並以IEC為基礎之希爾方程模式(Hill equation model)結合DAM模式建立以標的器官濃度為基礎之劑量-反應關係，並進而依此預測死亡率與暴露時間之關係。研究結果顯示，吳郭魚之鰓對砷毒性較 為敏感性可有效作為評估砷毒性之替代器官。 本研究並提出以生物能量學為基礎之架構探討慢性暴露狀態下砷對吳郭魚的成長抑制及作用模態。我們以28天的成長暴露試驗進行水體砷濃度與成長抑制程度關係之量化分析。本研究結合以生物能量學為基礎之個體成長模式及動態能量支出模式(dynamic energy budgets, DEB)探討砷之慢性成長毒性。本研究結果顯示吳郭魚之比生長速率(specific growth rate, SGR)與水體砷濃度成反比，我們的成長試驗結果顯示各暴露濃度下所量測到之SGR值分別為0 µg mL-1時為0.76 % d-1、1 µg mL-1為 0.54 % d-1、2 µg mL-1為0.26 % d-1 及 4 µg mL-1為0.017 % d-1。根據DEB理論，本研究指出在食物來源充足之狀態下，砷對吳郭魚成長抑制之作用模態導因於攝食率降低而導致成長率的下降。因此，本研究所建立之以生物能量學及毒性作用模態為基礎之成長模式可以描繪不同暴露條件下吳郭魚從出生至成熟之成長曲線，研究結果顯示在無污染的狀況下吳郭魚之最大成熟體重為1100.82 g，而當魚體暴露於1 µg mL-1、2 µg mL-1及4 µg mL-1時其所相對應之值分別為924.00 g、421.51 g 及352.13 g。 本論文所建構之以生理學、生物能量學及IEC為基礎之評估架構可成功描述不同暴露條件下砷在吳郭魚體內之毒理動力、毒理動態及毒性作用模態。因此，在生態毒理學的研究過程中加入這些因子的考量不僅將促進我們對化學物質毒性的了解，同時亦有助於我們建立更正確的評估模式以減低生態風險評估過程造成疏失的機會，未來並可應用於環境品質規範的制定以保護日益惡化的養殖生態系統。 ; This dissertation proposes a physiologically and bioenergetics based algorithm to relate acute and chronic metal toxicities to the internal effect concentration (IEC) of arsenic (As) in tilapia Oreochromis mossambicus. The relationships among As exposure, uptake, ...","2005","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","en-US ; en_US","","","","","","","","","","","Arsenic; Bioenergetics; Ecotoxicology; Internal effect concentration; Mode of action; Tilapia; Toxicodynamics; Toxicokinetics; 作用模態; 內部有效濃度; 吳郭魚; 毒理動力; 毒理動態; 生態毒理學; 生物能量; 砷","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUC2I6VE","thesis","2004","鄭惠文; Cheng, Hui-Wen","利用固相萃取與液相層析/質譜/質譜儀分析水中的雌素酮、天然動情激素、乙炔動情激素與雌素醇之方法開發 ; Development of analyzing estrone, 17β-estradiol, 17","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/59808","近年來人類漸漸開始重視殘存在環境中具有賀爾蒙效應的微量化學物質，此次分析的目標化合物雌素酮（E1）、天然動情激素（E2）、乙炔動情激素（EE2）及雌素醇（E3）皆屬此類物質。上述化合物雖然已有一些分析方法被發展出來，但仍有釵h可改進的空間！ 本研究利用固相萃取結合液相層析/質譜/質譜儀（LC/MS/MS）來進行分析。固相萃取採用J. T. Baker的PolarPlus C18 圓盤型吸附劑（disk），水樣萃取後以10毫升40％甲醇/60％水進行淨化，接著再利用15毫升50％甲醇/50％二氯甲烷進行沖提，收集之沖提液以減壓離心濃縮至近乾，萃取物在上機分析前以20微升的甲醇進行再溶解，注入4微升進行分析。液相層析管柱為C18矽管柱，動相為10 mM甲基嗎啡琳水溶液（pH值約為9.6）/乙腈，三連式四極質譜儀採電灑游離（ESI）的介面，以選擇性反應監測（SRM）模式偵測各待測物之負離子。定量分析方面，本研究採用同位素稀釋法（isotope-dilution technique）來定量，此種定量方法可以排除一些微小的操作差異或儀器變動對定量造成之影響。 各待測物（溶於一公升之去離子水中）在固相萃取時的萃取效率接近100％，但當水樣濃度達200 ng/L時，雌素酮在最後300毫升的萃取過程中發生31.5％之破出（breakthrough），其餘之待測物皆未有破出之情形發生，淨化步驟造成的損失率約為1~3％，沖提效率為88~95％，濃縮過程的回收率為89~112％。 儀器偵測極限方面，E1、E2、EE2及E3的偵測極限（detection limit；平均值 ± 標準差）分別為49 ± 31 pg、70 ± 33 pg、95 ± 83 pg及82 ± 39 pg；定量極限（limit of quantification）為200 pg。 ; Endocrine disrupting compounds (EDCs) have brought attention because their potential ecological and health effects. We analyzed Estrone, estriol, 17β-estradiol, and 17 ; 摘要 III Abstract IV 目錄 VI 圖目錄 VIII 表目錄 IX 第一章 緒論 - 1 - 第一節 研究背景 - 1 - 第二節 研究目的 - 2 - 第二章 文獻探討 - 5 - 第一節 E1、E2、EE2、E3的介紹 - 5 - 第二節 E1、E2、EE2、E3的生態效應 - 8 - 第三節 雌激性化合物的檢測分析方法 - 9 - 第四節 液相層析質譜質譜儀的機制 - 12 - 第三章 研究方法與材料 - 15 - 第一節 試劑及儀器 - 15 - 第二節 最佳化儀器分析條件的尋找 - 17 - 第三節 樣品前處理 - 19 - 第四節 樣品分析 - 20 - 第五節 品保/品管（QA/QC） - 21 - 第六節 資料分析 - 22 - 第四章 結果與討論 - 23 - 第一節 儀器分析 - 23 - 第二節 固相萃取 - 26 - 第三節 檢量線之建立 - 31 - 第四節 儀器偵測極限 - 34 - 第五章 結論 - 35 - 參考文獻 - 37 -","2004","2024-03-01 05:48:00","2024-03-01 05:48:00","","","","","","","","","","","","","","","zh-TW ; en_US","","","","","","","","","","","LC/MS/MS; solid-phase extraction; steroid estrogen; 固相萃取; 液相層析/質譜/質譜儀; 類固醇雌激素","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
