key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2
rayyan-1227192404,Hippocampal proteomic analysis reveals the disturbance of synaptogenesis and neurotransmission induced by developmental exposure to organophosphate flame retardant triphenyl phosphate,2021,NA,NA,Journal of Hazardous Materials,03043894 (ISSN),404,NA,,"Zhong, X. and Yu, Y. and Wang, C. and Zhu, Q. and Wu, J. and Ke, W. and Ji, D. and Niu, C. and Yang, X. and Wei, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095953032&doi=10.1016%2fj.jhazmat.2020.124111&partnerID=40&md5=84db21e554385360aa34e83a4884b631,English,Elsevier B.V.,"[""Guangdong Provincial Key Laboratory of Food, Nutrition and Health, Department of Toxicology, School of Public Health, Sun Yat-sen University, Guangzhou, 510080, China"", ""Key Laboratory of Modern Toxicology of Shenzhen, Shenzhen Medical Key Subject of Health Toxicology, Shenzhen Center for Disease Control and Prevention, Shenzhen, 518172, China""]","With the spread of organophosphorus flame retardants (OPFRs), the environmental and health risks they induce are attracting attention. Triphenyl phosphate (TPHP) is a popular alternative to brominated flame retardant and halogenated OPFRs. Neurodevelopmental toxicity is TPHP's primary adverse effect, whereas the biomarkers and the modes of action have yet to be elucidated. In the present study, 0.5, 5, and 50 mg/kg of TPHP were orally administered to mice from postnatal day 10 (P10) to P70. The behavioral tests showed a compromised learning and memory capability. Proteomic analysis of the hippocampus exposed to 0.5 or 50 mg/kg of TPHP identified 531 differentially expressed proteins that were mainly involved in axon guidance, synaptic function, neurotransmitter transport, exocytosis, and energy metabolism. Immunoblot and immunofluorescence analysis showed that exposure to TPHP reduced the protein levels of TUBB3 and SYP in the synapses of hippocampal neurons. TPHP exposure also downregulated the gene expression of neurotransmitter receptors including Grins, Htr1α, and Adra1α in a dose-dependent fashion. Moreover, the calcium-dependent synaptic exocytosis governed by synaptic vesicle proteins STX1A and SYT1 was inhibited in the TPHP-treated hippocampus. Our results reveal that TPHP exposure causes abnormal learning and memory behaviors by disturbing synaptogenesis and neurotransmission. © 2020","Export Date: 01 March 2024; Cited By: 34; Correspondence Address: Y. Wei; Department of Toxicology, School of Public Health, Sun Yat-sen University, Guangzhou, No. 74 Zhongshan Rd. 2, 510080, China; email: weiyh9@mail.sysu.edu.cn; CODEN: JHMAD",10.1016/j.jhazmat.2020.124111,"Learning and memory;Neurotoxicity;Organophosphate flame retardant (OPFR);Proteomic profile;Triphenyl phosphate (TPHP);Animals;Flame Retardants;Hippocampus;Mice;Organophosphates;Proteomics;Synaptic Transmission;Synaptotagmin I;Zebrafish;Hippocampus hippocampus;Brain;Gene expression;Health risks;Mammals;Metabolism;Neurophysiology;Proteins;5 hydroxytryptamine receptor 1A;alpha 1 adrenergic receptor;flame retardant;Grins receptor;membrane protein;neurotransmitter receptor;organophosphate;synaptophysin;syntaxin 1A;triphenyl phosphate;TUBB3 protein;unclassified drug;synaptotagmin I;Syt1 protein, mouse;Brominated flame retardants;Environmental and health risks;Hippocampal neurons;Immunofluorescence analysis;Organophosphate flame retardants;Organophosphorus flame retardants;Triphenyl phosphate;chemical compound;gene expression;induced response;protein;proteomics;toxicity;adverse event;animal experiment;animal model;animal tissue;Article;axon guidance;brain nerve cell;controlled study;down regulation;energy metabolism;environmental exposure;exocytosis;gene expression regulation;hippocampus;immunoblotting;immunofluorescence;immunohistochemistry;LD50;learning disorder;liquid chromatography-mass spectrometry;male;memory disorder;mouse;neurotoxicity;neurotransmission;nonhuman;novel object recognition test;protein expression;real time polymerase chain reaction;signal transduction;synaptogenesis;TMT labeling;Y-maze test;animal;synaptic transmission;zebra fish;Flame retardants;Proteome",NA,NA,hippocampal proteomic analysis reveals the disturbance of synaptogenesis and neurotransmission induced by developmental exposure to organophosphate flame retardant triphenyl phosphate
rayyan-1227192406,Tests in a semi-natural environment suggest that bait and switch strategy could be used to control invasive common carp,2020,NA,NA,Management of Biological Invasions,19898649 (ISSN),11,3,428-440,"Hundt, P.J. and Amberg, J. and Sauey, B. and Vacura, K. and Bajer, P.G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090540430&doi=10.3391%2fmbi.2020.11.3.06&partnerID=40&md5=216685052799e297c2f11cd22a93e6fb,English,Regional Euro-Asian Biological Invasions Centre,"[""University of Minnesota, Department of Fisheries, Wildlife, and Conservation Biology, 2003 Upper Buford Circle, St. Paul, 55108, MN, United States"", ""Minnesota Aquatic Invasive Species Research Center (MAISRC), 2003 Upper Buford Circle, St. Paul, 55108, MN, United States"", ""U.S. Geological Survey, Upper Midwest Environmental Sciences Center, La Crosse, WI, United States""]","Common Carp (Cyprinus carpio Linnaeus, 1758), is a highly invasive species that has had profound effects on biodiversity and ecosystem services. Many Carp management methods have been applied including physical removal, pesticide treatments of whole lakes, and water drawdowns. Herein, we tested key elements of a potential “bait and switch” approach in which corn could be used to induce feeding aggregations of Carp and then switched for corn pellets with a pesticide Antimycin-A (ANT-A) to selectively target the Carp. First, laboratory experiments were used to determine if addition of lethal concentrations of ANT-A to corn pellets deterred Carp from eating corn-based food pellets. Second, a pond experiment tested if a corn-based bait containing ANT-A functioned as a species-specific Carp management tool in a semi-natural environment with three common native fishes: White Sucker (Catostomus commersonii Lacepède, 1803), Yellow Perch (Perca flavescens, Mitchill, 1814), and Bluegill (Lepomis macrochirus Rafinesque, 1819). The use of baited sites by Carp and native species was monitored using passive integrated transponder (PIT) tags. Mortality of each species and presence of corn in their digestive tracts was also monitored. Our laboratory experiment showed that presence of ANT-A did not deter Carp from consuming the pellets. The pond experiment showed that only Carp perished in significant numbers once toxic bait was applied. Further, only Carp increased their use of baited sites once baiting began, and only Carp had corn in their digestive tracts. Overall, our results indicate that corn might function as a species-specific Carp attractant in systems of North American Midwest and that corn-based bait can be used to effectively conceal a lethal dose of ANT-A. Further research is necessary to refine this potential management tool, specifically investigating the behavioral and social dynamics of Carp aggregating at sites baited with corn to enhance the temporal and spatial specificity of pesticide application. © Hundt et al.","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: P.J. Hundt; University of Minnesota, Department of Fisheries, Wildlife, and Conservation Biology, St. Paul, 2003 Upper Buford Circle, 55108, United States; email: hundt002@umn.edu; P.J. Hundt; Minnesota Aquatic Invasive Species Research Center (MAISRC), St. Paul, 2003 Upper Buford Circle, 55108, United States; email: hundt002@umn.edu",10.3391/mbi.2020.11.3.06,Antimycin-A;Corn-based bait;Cyprinus carpio;Invasive species;Management;Pond,NA,NA,tests in a seminatural environment suggest that bait and switch strategy could be used to control invasive common carp
rayyan-1227192407,"Physico-chemical bases of resistance in maize against shoot fly, Atherigona naqvii Steyskal during spring season in north India",2020,NA,NA,Euphytica,00142336 (ISSN),216,10,,"Goyal, S. and Jindal, J. and Kaur, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091457479&doi=10.1007%2fs10681-020-02665-z&partnerID=40&md5=201961058ed9fc1f67c46c5b5dd6d8bf,English,Springer Science+Business Media B.V.,"[""Department of Entomology, Punjab Agricultural University, Ludhiana, 141 004, India"", ""Department of Plant Breeding and Genetics, Punjab Agricultural University, Ludhiana, 141 004, India"", ""Department of Biochemistry, Punjab Agricultural University, Ludhiana, 141 004, India""]","Host plant resistance is one of the most promising alternatives to insecticides to manage the shoot fly, Atherigona naqvii Steyskal, which is a major biotic constraint to spring sown maize in northern India. In present studies, Nineteen maize inbreds selected from diverse sources were characterized for resistance traits against shoot fly under its natural infestation using moistened fishmeal. Though the antixenosis to shoot fly for oviposition was not observed in the test genotypes. But, the presence of significant variation in the deadhearts incidence revealed the existence of relative amount of resistance among the test genotypes. The Tolerance (measured in the terms of less proportion of deadhearts out of total shoot fly incidence (leaf injury + deadhearts)) and Antibiosis (in terms of larval and pupal weight, duration and survival) were recognized as key mechanisms of this resistance. Tolerance to shoot fly was significantly more in resistant inbreds, SO1SHYQBBB13B, HK12-6-2-4, DMSC 28, CM 143 and Winpop 8 (29.46–36.56%) in comparison to the susceptible genotypes SE 563 and LM 16 (46.31–47.44%). The correlation and stepwise regression analyses revealed that the more seedling vigor, less leaf area, less number of leaves and thin stem had significant impact on the shoot fly deadhearts incidence and provided resistance against this pest. The total soluble sugars (TSS), proteins and amino acids were significantly higher in the susceptible inbreds; whereas, total phenols and tannins; and activities of defensive enzymes viz. phenylalanine ammonia lyase (PAL) and polyphenol oxidase (PPO) were significantly higher in resistant inbreds. Further, the stepwise regression revealed that the larval period, per cent pupation, pupal weight female, pupal weight male and adult emergence of shoot fly were significantly influenced by PAL activity, which explained 71.5, 82.9, 47.0, 29.8 and 39.9% of their total variation, respectively. PPO activity significantly influenced the pupal period (R2 = 59.7%) whereas, the larval weight was significantly influenced by amino acids (R2 = 56.9%), proteins (R2 = 10.2%) and TSS (R2 = 7.7%). So, the correlation and regression analyses revealed that these physico-chemical characters of the maize inbreds can be utilized as reliable markers traits to identify resistant sources to develop shoot fly resistant maize hybrids. © 2020, Springer Nature B.V.","Export Date: 01 March 2024; Cited By: 0; Correspondence Address: S. Goyal; Department of Entomology, Punjab Agricultural University, Ludhiana, 141 004, India; email: sunitgoyal96@gmail.com; CODEN: EUPHA",10.1007/s10681-020-02665-z,Atherigona naqvii;Host plant resistance;Phenylalanine ammonia lyase;Polyphenol oxidase;Seedling vigour;Shoot fly;Spring maize;India;Seasons,NA,NA,physicochemical bases of resistance in maize against shoot fly atherigona naqvii steyskal during spring season in north india
rayyan-1227192409,"Indiscriminate feeding of commercial entomopathogenic nematodes caused death of Aedes aegypti larvae: potential for vector control of chikungunya, dengue and yellow fever",2020,NA,NA,Biocontrol Science and Technology,09583157 (ISSN),30,8,840-854,"Ansari, M.A. and Hussain, M.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087125178&doi=10.1080%2f09583157.2020.1776215&partnerID=40&md5=37a235325d3f7794bbdcf43e1ba69481,English,Taylor and Francis Ltd.,"Institute of Life Science 1, Swansea University, Swansea, United Kingdom","Aedes aegypti, is a major vector of several human diseases such as dengue, yellow fever, chikungunya and Zika virus. Multiple strategies are adopted for its control including eradication of mosquito breeding sites by improving water storage and solid waste disposal as well as treating breeding sites with chemical insecticides. However, continuous use of insecticides has resulted in development of insecticide resistance in Ae. aegypti. This study explores the potential biocontrol of Ae. aegypti by the use of commercial entomopathogenic nematodes, namely Heterorhabditis bacteriophora, H. downesi, H. megidis, Steinernema carpocapsae, S. feltiae and S. kraussei. The pathogenic effect of nematodes (concentrations 10, 250, 500 and 1,000 infective juveniles (IJs)) was assessed against third instar Ae. aegypti in multi-well culture plates for 3 days. The evaluated nematode species were pathogenic to Ae. aegypti, however, their virulence varied significantly. Heterorhabditis bacteriophora and S. carpocapsae were most virulent causing 90-100% mortality at 100 IJs per larva, whereas H. megidis and S. kraussei showed least virulence causing 40-60% mortality. Heterorhabditis downesi and S. feltiae had intermediate virulence. Third instar Ae. aegypti indiscriminately overfeed nematodes triggering melanisation but ingested nematodes overcome the defence system resulting in killing the larvae and reproduced within them. Some of the nematodes were melanised, suggesting a strong humoral defence response by Aedes, nevertheless, with variable degree of melanisation. The melanisation did not stop nematode from multiplying and killing Aedes larvae and thus, they have potential to be developed into a novel strategy for Ae. aegypti control. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: M.A. Ansari; Institute of Life Science 1, Swansea University, Swansea, Singleton Park, SA2 8PP, United Kingdom; email: m.a.ansari@swansea.ac.uk; CODEN: BSTCE",10.1080/09583157.2020.1776215,Aedes aegypti;entomopathogenic nematodes;Heterorhabditis;ingestion;mosquito;Steinernema;Heterorhabditis bacteriophora;Heterorhabditis downesi;Heterorhabditis megidis;Nematoda;Steinernema carpocapsae;Steinernema feltiae;Steinernema kraussei;Zika virus;cause of death;chikungunya;dengue fever;disease control;disease vector;entomopathogenic organism;feeding;larva;nematode;potential biocontrol agent;yellow fever;Zika virus disease;Cause of Death;Q Fever;Fever;Aedes,NA,NA,indiscriminate feeding of commercial entomopathogenic nematodes caused death of aedes aegypti larvae potential for vector control of chikungunya dengue and yellow fever
rayyan-1227192410,"Monitoring the composition, authenticity and quality dynamics of commercially available Nigerian fat-filled milk powders under inclement conditions using NIRS, chemometrics, packaging and microbiological parameters",2021,NA,NA,Food Chemistry,03088146 (ISSN),339,NA,,"Ejeahalaka, K.K. and Mclaughlin, P. and On, S.L.W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089554928&doi=10.1016%2fj.foodchem.2020.127844&partnerID=40&md5=4ff395a756eabc5632c45182bd0ebf33,English,Elsevier Ltd,"[""Department of Wine, Food and Molecular Biosciences, Lincoln University, P O Box 7647, Canterbury, New Zealand"", ""Eurofins Laboratory Services, Christchurch, New Zealand""]","Fat-filled milk powders (FMP) are inexpensive milk alternatives predominantly exported to developing countries to satisfy growing demands for dairy proteins. Harsh climatic and sanitary conditions, poor border controls and relatively long periods for distribution and storage enhance the inherent vulnerability of FMP to fraud and stability. Rapid, low-cost methods are needed for extensive routine authentication of FMP products. This study investigated, for the first time, the sample integrity and the quality dynamics of 7 Nigerian FMP brands stored for 7 weeks at 40 °C. The prominent melamine and urea absorption peaks were absent, but protein contents were below the permitted limit. The peak absorbance of the O[sbnd]H functional group increased while the tryptophan contents decreased with storage time. Multiclass analyses differentiated the fresh FMP brands from one another, and from those that were aged. Robust interval-PLS predictions obtained for storage time may be excellent indicators of FMP freshness and stability. © 2020 Elsevier Ltd","Export Date: 01 March 2024; Cited By: 5; Correspondence Address: S.L.W. On; Department of Wine, Food and Molecular Biosciences, Lincoln University, Canterbury, P O Box 7647, New Zealand; email: stephen.on@lincoln.ac.nz; CODEN: FOCHD",10.1016/j.foodchem.2020.127844,"Fat-filled milk powder;Interval PLS;Multiclass SIMCA screening;Near infrared spectroscopy;PCA;Animals;Chromatography, Gas;Chromatography, High Pressure Liquid;Fatty Acids;Food Microbiology;Food Packaging;Least-Squares Analysis;Milk;Nigeria;Powders;Principal Component Analysis;Salmonella;Temperature;Triazines;Urea;Amino acids;Authentication;Developing countries;Food storage;Proteins;amino acid;functional group;melamine;milk fat;milk protein;tryptophan;urea;fatty acid;triazine derivative;Absorption peaks;Border control;Growing demand;Inclement conditions;Low cost methods;Micro-biological parameters;Multiclass analysis;Protein contents;absorption;Article;chemometrics;comparative study;controlled study;Cronobacter sakazakii;fatty acid analysis;food packaging;food quality;microbiological parameters;milk powder;near infrared spectroscopy;Nigerian;nutritional value;pattern recognition;animal;chemistry;food control;gas chromatography;high performance liquid chromatography;isolation and purification;least square analysis;microbiology;milk;powder;principal component analysis;procedures;temperature;Dairies;Milk Ejection",NA,NA,monitoring the composition authenticity and quality dynamics of commercially available nigerian fatfilled milk powders under inclement conditions using nirs chemometrics packaging and microbiological parameters
rayyan-1227192411,Fluorescent protein-based reporters reveal stress response of intracellular Salmonella enterica at level of single bacterial cells,2021,NA,NA,Cellular Microbiology,14625814 (ISSN),23,3,,"Schulte, M. and Olschewski, K. and Hensel, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097597197&doi=10.1111%2fcmi.13293&partnerID=40&md5=06e1c8cd3d85e4d5c7564102d02079e4,English,Blackwell Publishing Ltd,"Abteilung Mikrobiologie, CellNanOs – Center of Cellular Nanoanalytics Osnabrück, Universität Osnabrück, Osnabrück, Germany","Intracellular bacteria such as Salmonella enterica are confronted with a broad array of defence mechanisms of their mammalian host cells. The ability to sense host cell-imposed damages, and to mount efficient stress responses are crucial for survival and proliferation of intracellular pathogens. The various combinations of host defence mechanisms acting on intracellular bacteria and their individual response also explain the occurrence of distinct subpopulations of intracellular S. enterica such as dormant or persisting, slowly or rapidly replicating cells. Here we describe a set of fluorescence protein (FP)-based reporter strains that were used to monitor the expression of cytoplasmic or periplasmic stress response systems of single bacterial cells. This is mediated by a fast-maturing FP as reporter for induction of stress response genes. We evaluated slower maturing FPs for a second function, that is, the analysis of the status of intracellular proliferation of pathogens. The combination of two FPs allows, at level of single bacterial cells, the interrogation of stress response and intracellular proliferation. Application of these reporters to S. enterica allowed us to detect and quantify distinct intracellular subpopulations with different levels of stress response and proliferation. © 2020 The Authors. Cellular Microbiology published by John Wiley & Sons Ltd","Export Date: 01 March 2024; Cited By: 11; Correspondence Address: M. Hensel; Abteilung Mikrobiologie, CellNanOs – Center of Cellular Nanoanalytics Osnabrück, Universität Osnabrück, Osnabrück, Germany; email: michael.hensel@uni-osnabrueck.de; CODEN: CEMIF",10.1111/cmi.13293,"antimicrobial activity;cytosolic stress response;flow cytometry;fluorescent proteins;intracellular pathogen;periplasmic stress response;Salmonella-containing vacuole;stress response;Animals;Cell Proliferation;Dithiothreitol;Epithelial Cells;Gene Expression Regulation, Bacterial;Genes, Bacterial;Genes, Reporter;HeLa Cells;Humans;Hydrogen Peroxide;Luminescent Proteins;Macrophages;Mice;Paraquat;Polymyxin B;RAW 264.7 Cells;Salmonella typhimurium;Single-Cell Analysis;Stress, Physiological;Type III Secretion Systems;dithiothreitol;hydrogen peroxide;paraquat;photoprotein;polymyxin B;article;bacterial cell;cell proliferation;cell vacuole;fluorescence;gene expression;infectious agent;nonhuman;periplasm;Salmonella enterica;stress;animal;bacterial gene;drug effect;epithelium cell;gene expression regulation;genetics;growth, development and aging;HeLa cell line;human;macrophage;metabolism;microbiology;mouse;physiological stress;physiology;RAW 264.7 cell line;reporter gene;Salmonella enterica serovar Typhimurium;single cell analysis;type III secretion system",NA,NA,fluorescent proteinbased reporters reveal stress response of intracellular salmonella enterica at level of single bacterial cells
rayyan-1227192412,"Piscidin, Fish Antimicrobial Peptide: Structure, Classification, Properties, Mechanism, Gene Regulation and Therapeutical Importance",2021,NA,NA,International Journal of Peptide Research and Therapeutics,15733149 (ISSN),27,1,91-107,"Raju, S.V. and Sarkar, P. and Kumar, P. and Arockiaraj, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084308316&doi=10.1007%2fs10989-020-10068-w&partnerID=40&md5=1b507d218be3f6536ddac129643861bb,English,Springer Science and Business Media B.V.,"SRM Research Institute, SRM Institute of Science and Technology, Kattankulathur, Chennai, 603 203, Tamil Nadu, India","Antimicrobial peptides (AMPs) are short molecules produced by almost all organisms. Fish AMPs contain innate immune components as their primary immune molecules. The fish AMPs include piscidins, hepcidins, defensins, cathelicidins and histone-derived peptides. Piscidin is potent and broad-spectrum; this peptide was conserved among Acanthopterygii superorder and is therapeutically important among other AMPs. It was present mainly in the tissues of gills, muscle, head-kidney, skin and intestine of teleost. Piscidin AMP family includes piscidin, moronecidin, pleurocidin, epinecidin, gaduscidin, misgurin, dicentracin, chrysophsin and myxinidin. This review reports the structural properties of various piscidin and their mode of action as it is important to know their mechanism how the peptide involved in antimicrobial activity. In addition, the gene expression of piscidin which influenced the immune responses, their pharmaceutical importance and biological applications were described. Overall, the review explains a broad spectrum of knowledge on piscidin, its classes and types, structure, cytotoxicity, membrane permeabilization, properties and therapeutical implications. © 2020, Springer Nature B.V.","Export Date: 01 March 2024; Cited By: 41; Correspondence Address: J. Arockiaraj; SRM Research Institute, SRM Institute of Science and Technology, Chennai, Kattankulathur, 603 203, India; email: jesuaraj@hotmail.com; CODEN: IJPRF",10.1007/s10989-020-10068-w,"Fish antimicrobial peptide;Gene expression;Mode of action;Piscidin;Structure;chrysophsin;dicentracin;epinecidin 1;gaduscidin;misgurin;moronecidin;myxindin;piscidin;piscidin 1;piscidin 2;piscidin 3;piscidin 4;piscidin 5;piscidin 6;piscidin 7;pleurocidin;polypeptide antibiotic agent;unclassified drug;Acanthocephalus lucii;Aeromonas salmonicida;amino acid sequence;antibacterial activity;antibiofilm activity;antifungal activity;antimicrobial activity;antineoplastic activity;antiparasitic activity;antiviral activity;bactericidal activity;chemical structure;chemotaxis;Chondracanthus goldsmidi;circular dichroism;classification;Cryptocaryon irritans;cytotoxicity;down regulation;Edwardsiella tarda;Ergasilus;fungicidal activity;gene control;gene expression;human;immunomodulation;Iridovirus;Lymphocystis iridovirus;membrane permeability;nonhuman;nuclear magnetic resonance spectroscopy;parasite;Red seabream iridovirus;Review;Streptococcus iniae;teleost;upregulation;Vibrio anguillarum;wound healing;Genes, Regulator;C-Peptide",NA,NA,piscidin fish antimicrobial peptide structure classification properties mechanism gene regulation and therapeutical importance
rayyan-1227192413,A rare case of aluminum phosphide poisoning survival: Role of early and aggressive supportive therapy,2021,NA,NA,"Journal, Indian Academy of Clinical Medicine",09723560 (ISSN),22,1,63-68,"Babu, R. and Raghavi, B. and Manpreet, K. and Rohtagi, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115421146&partnerID=40&md5=288d2ec7e8803a5cd48e8e72559dc4d7,English,Indian Academy of Clinical Medicine,"ICU Intensivist, Department of Internal Medicine, Jaipur Golden Hospital, Sector 5, Rohini, Delhi, 110 085, India","Aluminium phosphide is a cheap, effective and commonly used pesticide but a major cause of suicidal deaths in rural areas. Released phosphine gas causes rapid cell hypoxia due to inhibition of oxidative phosphorylation leading to circulatory failure along with formation of highly reactive hydroxyl radicals. The diagnosis of aluminium phosphide poisoning is based on history, and foul garlicky or decaying fish odor. However, in gastric aspirate or breath, silver nitrate impregnated paper test is done, for confirming the diagnosis. There is no antidote available, so treatment is totally supportive. In our case the patient was treated immediately with all essential measures with close monitoring. The patient survived and was discharged in a stable condition. © 2021, Indian Academy of Clinical Medicine. All rights reserved.","Export Date: 01 March 2024; Cited By: 1; Correspondence Address: R. Babu; Department of Internal Medicine, Jaipur Golden Hospital, Rohini, Delhi, Sector 5, 110 085, India; email: singh.rb@gmail.com",,Aluminium phosphide;Dextrose insulin infusion;Glutathione;KMnO4 gastric lavage;Phosphine gas;Survival;acetylcysteine;aluminum phosphide;antidote;bicarbonate;ceftriaxone;creatine kinase;gluconate calcium;glutathione;hydroxyl radical;inotropic agent;insulin;noradrenalin;permanganate potassium;phosphine;trimetazidine;ursodeoxycholic acid;vasopressin;adolescent;Article;blood pressure;breathing rate;carbon dioxide tension;cardioversion;case report;central venous pressure;clinical article;echocardiography;electron spin resonance;fluid therapy;gastric suction;heart muscle ischemia;human;hypocalcemia;hypoxia;injury;insulin infusion;leukocytosis;liver disease;lung edema;lung wedge pressure;magnesium blood level;male;myocarditis;noninvasive ventilation;oxidative injury;oxygen saturation;oxygen tension;pulse oximetry;self poisoning;shock;ST segment elevation;stomach lavage;suicide;thorax radiography;urine volume;Poisoning;Poisons;Aggression,NA,NA,a rare case of aluminum phosphide poisoning survival role of early and aggressive supportive therapy
rayyan-1227192414,Nf-κb—an important player in xenoestrogen signaling in immune cells,2021,NA,NA,Cells,20734409 (ISSN),10,7,,"Nowak, K. and Jabłońska, E. and Ratajczak-Wrona, W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114070711&doi=10.3390%2fcells10071799&partnerID=40&md5=e775ad6c7bdbea57b4b3aa176c31e677,English,MDPI,"Department of Immunology, Medical University of Bialystok, Waszyngtona 15A, Bialystok, 15-269, Poland","The proper functioning of the immune system is critical for an effective defense against pathogenic factors such as bacteria and viruses. All the cellular processes taking place in an organism are strictly regulated by an intracellular network of signaling pathways. In the case of immune cells, the NF-κB pathway is considered the key signaling pathway as it regulates the expression of more than 200 genes. The transcription factor NF-κB is sensitive to exogenous factors, such as xenoestrogens (XEs), which are compounds mimicking the action of endogenous estrogens and are widely distributed in the environment. Moreover, XE-induced modulation of signaling pathways may be crucial for the proper development of the immune system. In this review, we summarize the effects of XEs on the NF-κB signaling pathway. Based on our analysis, we constructed a model of XE-induced signaling in immune cells and found that in most cases XEs activate NF-κB. Our analysis indicated that the indirect impact of XEs on NF-κB in immune cells is related to the modulation of estrogen signaling and other pathways such as MAPK and JAK/STAT. We also summarize the role of these aspects of signaling in the development and further functioning of the immune system in this paper. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: K. Nowak; Department of Immunology, Medical University of Bialystok, Bialystok, Waszyngtona 15A, 15-269, Poland; email: karolina.nowak@umb.edu.pl",10.3390/cells10071799,"Endocrine disrupting chemicals;NF-κB;Xenoestrogen signaling;Xenoestrogens;2,3,7,8 tetrachlorodibenzo para dioxin;4,4' isopropylidenediphenol;atrazine;butyl paraben;CD27 antigen;CD5 antigen;cellacefate;chlorphenotane;dioxin;estrogen derivative;estrogen receptor beta;ethyl paraben;gamma interferon;glutamine;glycoprotein Ib;I kappa B kinase alpha;I kappa B kinase beta;immunoglobulin enhancer binding protein;interleukin 1beta;interleukin 6;Janus kinase 2;mitogen activated protein kinase 1;mitogen activated protein kinase 3;monocyte chemotactic protein 1;natural products and their synthetic derivatives;nitric oxide;pregnancy specific beta1 glycoprotein;proline;propyl paraben;reactive nitrogen species;reactive oxygen metabolite;serine;STAT1 protein;stress activated protein kinase;synaptotagmin I;threonine;toll like receptor;triclosan;tumor necrosis factor;unclassified drug;xenoestrogen;asthma;attention deficit disorder;carp;CD4+ T lymphocyte;dendritic cell;disease exacerbation;estrogen signaling;gene expression;human;immunocompetent cell;JAK-STAT signaling;MAPK signaling;mast cell;monocyte;natural killer T cell;neutrophil;NF kB signaling;peripheral blood mononuclear cell;phosphorylation;RAW 264.7 cell line;Review;Th1 cell;Th2 cell;xenoestrogen signaling",NA,NA,nfκban important player in xenoestrogen signaling in immune cells
rayyan-1227192415,Epidemiological analysis of single center of acute poisoning cases based on poisoning treatment platform,2021,NA,NA,Medicine (United States),00257974 (ISSN),100,27,,"Jun-Hua, S. and Jin-Song, Z. and Li, Q. and Lei, W. and Bao-Feng, Z. and Jia, L. and Ying, L. and Jian-Rong, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110967833&doi=10.1097%2fMD.0000000000026444&partnerID=40&md5=c8dbb6a95cde9e612608517f874cb436,English,Lippincott Williams and Wilkins,"[""The Second Affiliated Hospital of Nantong University, China"", ""The First Affiliated Hospital with Nanjing Medical University, China""]","To studied epidemiological characteristics of 493 cases of acute poisoning in Nantong city, Jiangsu province. Based on the analysis platform of poisoning treatment, adopted single center and prospective investigation method, analyzed data of acute poisoning patients from May 2015 to December 2018 in the second affiliated hospital of Nantong University. Among 493 patients with acute poisoning, men 227 (46.04%), women 266 (53.96%). Age ranged from 12 to 89years old, average age 41.6 years. In the occupational distribution, farmers were 30.02%; 351 cases (71.20%) visited the hospital within 6hours after exposure. Oral exposure poisoning 415 cases (84.18%). Pesticide poisoning accounted for 45.45% of deaths. Using the poisoning treatment platform to analyze the clinical characteristic had accurately and reliably in Nantong. The fatality rate of pesticide poisoning in cases of acute poisoning is high. Management of highly toxic pesticides should be continued and effective health education on pesticide use should be carried out.  Copyright © 2021 the Author(s).","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: W. Lei; Department of Neurosurgery, The Second Affiliated Hospital of Nantong University, Nantong, No. 6 Hai Er Xiang Bei Lu, Jiangsu, China; email: wangleilei2339@163.com; CODEN: MEDIA",10.1097/MD.0000000000026444,"Acute poisoning;Epidemiology;Poisoning treatment platform;Prospective;Acute Disease;Adolescent;Adult;Aged;Aged, 80 and over;Child;Disease Management;Female;Humans;Incidence;Male;Middle Aged;Occupational Exposure;Pesticides;Poisoning;Prospective Studies;Seasons;Young Adult;abamectin;antidote;carbamic acid;chlorphenamidine;glucocorticoid;herbicide;organochlorine derivative;organophosphorus compound;pesticide;pyrethroid;rodenticide;administrative personnel;adolescent;adult;age distribution;aged;agricultural worker;Article;blood purification;child;commercial phenomena;construction worker;driver;drug use;female;fisherman;health education;home care;human;industrial worker;intoxication;major clinical study;male;mortality rate;occupational exposure;pensioner;prospective study;stomach lavage;student;teacher;university hospital;acute disease;adverse event;disease management;epidemiology;incidence;middle aged;season;therapy;very elderly;young adult;Poisons",NA,NA,epidemiological analysis of single center of acute poisoning cases based on poisoning treatment platform
