key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2
rayyan-1227187189,"Association of size, climatic factors, and mercury body burdens with movement behavior in American alligators",2024,1,1,,489697,921,NA,,"Kojima L.V., Kohl M.T., Rainwater T.R., Parrott B.B., Tuberville T.D.",,,Elsevier B.V.,,"Animal movement behavior provides insight into organismal and ecological function. These functions are often disturbed by anthropogenic influences, such as urbanization and habitat fragmentation, yet the effects of long-term exposures to environmental contaminants on movement have yet to be examined. The long lifespans and broad diets of crocodilians often lead to bioaccumulation of persistent contaminants and confer a marked vulnerability to consequent physiological effects. In this study, we investigate the relationships between blood concentrations of mercury (Hg), a widespread contaminant with well characterized neurotoxicity, and movement patterns in free living, naturally exposed American alligators (Alligator mississippiensis). We sampled adult male alligators from two former nuclear cooling reservoirs with different Hg contamination histories and placed GPS transmitters on a subset of individuals from each reservoir (13 total). Data collected over the ensuing two years were analyzed using a linear mixed effects framework combined with AICc model selection to resolve the relationships linking seasonal alligator movement (daily activity (s) and daily distance (m)) and home range to climate conditions, individual traits, and blood Hg concentrations (mg/kg; wet weight). We found that climate conditions, alligator size (snout-vent-length), and blood Hg concentrations all influence alligator daily activity but do not contribute to alligator daily movement (distance). Furthermore, we found that blood Hg concentrations were strongly correlated with seasonal home range size where individuals with elevated Hg had larger home ranges in spring, fall, and winter. These findings provide insight into how climate, anthropogenic contaminants, and individual traits relate to alligator movement patterns across seasons. © 2024 The Authors",,10.1016/j.scitotenv.2024.170859,,38365032,NA,association of size climatic factors and mercury body burdens with movement behavior in american alligators
rayyan-1227187190,The effects of plastic additives on swimming activity and startle response in marine amphipod Echinogammarus marinus,2024,1,1,,489697,918,NA,,"Green-Ojo B., Tan H., Botelho M.T., Obanya H., Grinsted L., Parker M.O., Ford A.T.",,,Elsevier B.V.,,"Plastic additives are widely used in plastic production and are found in the environment owing to their widespread applications. Among these additives, N-butyl benzenesulfonamide (NBBS) and triphenyl phosphate (TPHP) are under international watchlist for evaluation, with limited studies on amphipods. Di-ethylhexyl phthalate (DEHP) and dibutyl phthalate (DBP) are banned in some countries and categorised as substances of very high concern. This study aimed to investigate the effects of NBBS, TPHP, DEHP and DBP on the swimming activity of a coastal intertidal marine amphipod, Echinogammarus marinus. Furthermore, this study is the first to quantify startle response in E. marinus in response to light stimuli. Amphipods were exposed to 0, 0.5, 5, 50 and 500 μg/l concentrations of all test compounds. Swimming activity and startle responses were assessed by video tracking and analysis using an 8-min alternating dark and light protocol after exposure on days 7 and 14. We observed an overall compound and light effect on the swimming activity of E. marinus. A significant decrease in swimming distance was found in 500 μg/l NBBS and TPHP. We observed that the startle response in E. marinus had a latency period of >2 s and animals were assessed at 1 s and the sum of the first 5 s. There was a clear startle response in E. marinus during dark to light transition, evident with increased swimming distance. NBBS exposure significantly increased startle response at environmental concentrations, while significant effects were only seen in 500 μg/l TPHP at 5 s. We found no significant effects of DEHP and DBP on swimming behaviour at the concentrations assessed. The findings of this study affirm the necessity for a continuous review of plastic additives to combat adverse behavioural effects that may be transferable to the population levels. © 2024",,10.1016/j.scitotenv.2024.170793,Military Personnel,38336051,NA,the effects of plastic additives on swimming activity and startle response in marine amphipod echinogammarus marinus
rayyan-1227187191,Sub-chronic exposure to paroxetine disrupts ecologically relevant behaviours in fish,2024,1,1,,489697,917,NA,,"Ferreira C.S.S., Venâncio C., Almeida M., Lopes I., Kille P., Oliveira M.",,,Elsevier B.V.,,"The functional conservation of important selective serotonin reuptake inhibitor (SSRI) targets in non-target organisms raises concerns about their potential adverse effects on the ecosystems. Although the environmental levels of SSRIs like paroxetine (PAR) have risen, the knowledge regarding the effects of long-term exposure to PAR is limited. This study investigated the impact of sub-chronic exposure (21 days) to two sub-lethal concentrations of PAR (40 and 400 μg/L) on the behaviour of adult zebrafish in different scenarios: basal activity (under dark and light conditions), stress response (evoked by sudden light transitions) and stress response recovery. A new framework was employed for the integrative study of fish's swimming performance based on their innate ability to respond to light shifts. Several swimming-associated parameters (e.g., total swimming distance, time of inactivity, swimming angles) and thigmotaxis were monitored for an integrated analysis in each scenario. Data revealed reduced swimming activity, impaired behavioural response to stress and alterations in stress recovery of PAR-exposed fish. An anxiolytic effect was particularly noticeable in fish basal swimming activity in the dark at 400 μg/L and in the behavioural response to stress (from dark to light) and stress recovery (from light to dark) for organisms exposed to 40 μg/L. The detected PAR-induced behavioural modifications suggest a disruption of brain glucocorticoid signalling that may have implications at the individual level (e.g., changing behavioural responses to predators), with potential repercussions on the population and community levels. Therefore, the applied protocol proved sensitive in detecting behavioural changes induced by PAR. © 2024 The Authors",,10.1016/j.scitotenv.2024.170405,Paroxetine,38280602,NA,subchronic exposure to paroxetine disrupts ecologically relevant behaviours in fish
rayyan-1227187192,Cross-Species Extrapolation of Biological Data to Guide the Environmental Safety Assessment of Pharmaceuticals—The State of the Art and Future Priorities,2024,1,1,,7307268,43,3,,"Margiotta-Casaluci L., Owen S.F., Winter M.J.",,,John Wiley and Sons Inc,,"The extrapolation of biological data across species is a key aspect of biomedical research and drug development. In this context, comparative biology considerations are applied with the goal of understanding human disease and guiding the development of effective and safe medicines. However, the widespread occurrence of pharmaceuticals in the environment and the need to assess the risk posed to wildlife have prompted a renewed interest in the extrapolation of pharmacological and toxicological data across the entire tree of life. To address this challenge, a biological “read-across” approach, based on the use of mammalian data to inform toxicity predictions in wildlife species, has been proposed as an effective way to streamline the environmental safety assessment of pharmaceuticals. Yet, how effective has this approach been, and are we any closer to being able to accurately predict environmental risk based on known human risk? We discuss the main theoretical and experimental advancements achieved in the last 10 years of research in this field. We propose that a better understanding of the functional conservation of drug targets across species and of the quantitative relationship between target modulation and adverse effects should be considered as future research priorities. This pharmacodynamic focus should be complemented with the application of higher-throughput experimental and computational approaches to accelerate the prediction of internal exposure dynamics. The translation of comparative (eco)toxicology research into real-world applications, however, relies on the (limited) availability of experts with the skill set needed to navigate the complexity of the problem; hence, we also call for synergistic multistakeholder efforts to support and strengthen comparative toxicology research and education at a global level. Environ Toxicol Chem 2024;43:513–525. © 2023 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. © 2023 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC.",,10.1002/etc.5634,,37067359,NA,crossspecies extrapolation of biological data to guide the environmental safety assessment of pharmaceuticalsthe state of the art and future priorities
rayyan-1227187193,Predicting the Accumulation of Ionizable Pharmaceuticals and Personal Care Products in Aquatic and Terrestrial Organisms,2024,1,1,,7307268,43,3,,"Carter L.J., Armitage J.M., Brooks B.W., Nichols J.W., Trapp S.",,,John Wiley and Sons Inc,,"The extent to which chemicals bioaccumulate in aquatic and terrestrial organisms represents a fundamental consideration for chemicals management efforts intended to protect public health and the environment from pollution and waste. Many chemicals, including most pharmaceuticals and personal care products (PPCPs), are ionizable across environmentally relevant pH gradients, which can affect their fate in aquatic and terrestrial systems. Existing mathematical models describe the accumulation of neutral organic chemicals and weak acids and bases in both fish and plants. Further model development is hampered, however, by a lack of mechanistic insights for PPCPs that are predominantly or permanently ionized. Targeted experiments across environmentally realistic conditions are needed to address the following questions: (1) What are the partitioning and sorption behaviors of strongly ionizing chemicals among species? (2) How does membrane permeability of ions influence bioaccumulation of PPCPs? (3) To what extent are salts and associated complexes with PPCPs influencing bioaccumulation? (4) How do biotransformation and other elimination processes vary within and among species? (5) Are bioaccumulation modeling efforts currently focused on chemicals and species with key data gaps and risk profiles? Answering these questions promises to address key sources of uncertainty for bioaccumulation modeling of ionizable PPCPs and related contaminants. Environ Toxicol Chem 2024;43:502–512. © 2022 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. © 2022 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC.",,10.1002/etc.5451,,35920339,NA,predicting the accumulation of ionizable pharmaceuticals and personal care products in aquatic and terrestrial organisms
rayyan-1227187194,Pesticides exposure and compromised fitness in wild birds: Focusing on the reproductive endocrine disruption,2024,1,1,,483575,199,NA,,Mohanty B.,,,Academic Press Inc.,,"Exposure of pesticides to wildlife species, especially on the aspect of endocrine disruption is of great concern. Wildlife species are more at risk to harmful exposures to the pesticides in their natural habitat through diet and several other means. Species at a higher tropic level in the food chain are more susceptible to the deleterious effects due to sequential biomagnifications of the pesticides/metabolites. Pesticides directly affect fitness of the species in the wild causing reproductive endocrine disruption impairing the hormones of the gonads and thyroid glands as reproduction is under the influence of cross regulations of these hormones. This review presents a comprehensive compilation of important literatures on the impact of the current use pesticides in disruption of both the hypothalamic-pituitary-gonadal and hypothalamic-pituitary-thyroid axes particularly in birds addressing impacts on the reproductive impairments and overall fitness. In addition to the epidemiological studies, laboratory investigations those provide supportive evidences of the probable mechanisms of disruption in the wild also have been incorporated in this review. To accurately predict the endocrine-disruption of the pesticides as well as to delineate the risk associated with potential cumulative effects, studies are to be more focused on the environmentally realistic exposure dose, mixture pesticide exposures and transgenerational effects. In addition, strategic screening/appropriate methodologies have to be developed to reveal the endocrine disruption potential of the contemporary use pesticides. Demand for adequate quantitative structure-activity relationships and insilico molecular docking studies for timely validation have been highlighted. © 2024",,10.1016/j.pestbp.2024.105800,Pesticides,NA,NA,pesticides exposure and compromised fitness in wild birds focusing on the reproductive endocrine disruption
rayyan-1227187195,Understanding pharmaceutical exposure and the potential for effects in marine biota: A survey of bonefish (Albula vulpes) across the Caribbean Basin,2024,1,1,,456535,349,NA,,"Castillo N.A., James W.R., Santos R.O., Rezek R., Cerveny D., Boucek R.E., Adams A.J., Goldberg T., Campbell L., Perez A.U., Schmitter-Soto J.J., Lewis J.P., Fick J., Brodin T., Rehage J.S.",,,Elsevier Ltd,,"Most research on pharmaceutical presence in the environment to date has focused on smaller scale assessments of freshwater and riverine systems, relying mainly on assays of water samples, while studies in marine ecosystems and of exposed biota are sparse. This study investigated the pharmaceutical burden in bonefish (Albula vulpes), an important recreational and artisanal fishery, to quantify pharmaceutical exposure throughout the Caribbean Basin. We sampled 74 bonefish from five regions, and analyzed them for 102 pharmaceuticals. We assessed the influence of sampling region on the number of pharmaceuticals, pharmaceutical assemblage, and risk of pharmacological effects. To evaluate the risk of pharmacological effects at the scale of the individual, we proposed a metric based on the human therapeutic plasma concentration (HTPC), comparing measured concentrations to a threshold of 1/3 the HTPC for each pharmaceutical. Every bonefish had at least one pharmaceutical, with an average of 4.9 and a maximum of 16 pharmaceuticals in one individual. At least one pharmaceutical was detected in exceedance of the 1/3 HTPC threshold in 39% of bonefish, with an average of 0.6 and a maximum of 11 pharmaceuticals exceeding in a Key West individual. The number of pharmaceuticals (49 detected in total) differed across regions, but the risk of pharmacological effects did not (23 pharmaceuticals exceeded the 1/3 HTPC threshold). The most common pharmaceuticals were venlafaxine (43 bonefish), atenolol (36), naloxone (27), codeine (27), and trimethoprim (24). Findings suggest that pharmaceutical detections and concentration may be independent, emphasizing the need to monitor risk to biota regardless of exposure diversity, and to focus on risk quantified at the individual level. This study supports the widespread presence of pharmaceuticals in marine systems and shows the utility of applying the HTPC to assess the potential for pharmacological effects, and thus quantify impact of exposure at large spatial scales. © 2023 Elsevier Ltd",,10.1016/j.chemosphere.2023.140949,Caribbean Region;Military Personnel,38096990,NA,understanding pharmaceutical exposure and the potential for effects in marine biota a survey of bonefish albula vulpes across the caribbean basin
rayyan-1227187196,"Effects of antidepressant exposure on aquatic communities assessed by a combination of morphological identification, functional measurements, environmental DNA metabarcoding and bioassays",2024,1,1,,456535,349,NA,,"Schuijt L.M., van Smeden J., van Drimmelen C.K.E., Buijse L.L., Wu D., Boerwinkel M.-C., Belgers D.J.M., Matser A.M., Roessink I., Heikamp-de Jong I., Beentjes K.K., Trimbos K.B., Smidt H., Van den Brink P.J.",,,Elsevier Ltd,,"The antidepressant fluoxetine is frequently detected in aquatic ecosystems, yet the effects on aquatic communities and ecosystems are still largely unknown. Therefore the aim of this study is to assess the effects of the long-term application of fluoxetine on key components of aquatic ecosystems including macroinvertebrate-, zooplankton-, phytoplankton- and microbial communities and organic matter decomposition by using traditional and non-traditional assessment methods. For this, we exposed 18 outdoor mesocosms (water volume of 1530 L and 10 cm of sediment) to five different concentrations of fluoxetine (0.2, 2, 20 and 200 μg/L) for eight weeks, followed by an eight-week recovery period. We quantified population and community effects by morphological identification, environmental DNA metabarcoding, in vitro and in vivo bioassays and measured organic matter decomposition as a measure of ecosystem functioning. We found effects of fluoxetine on bacterial, algal, zooplankton and macroinvertebrate communities and decomposition rates, mainly for the highest (200 μg/L) treatment. Treatment-related decreases in abundances were found for damselfly larvae (NOEC of 0.2 μg/L) and Sphaeriidae bivalves (NOEC of 20 μg/L), whereas Asellus aquaticus increased in abundance (NOEC <0.2 μg/L). Fluoxetine decreased photosynthetic activity and primary production of the suspended algae community. eDNA assessment provided additional insights by revealing that the algae belonging to the class Cryptophyceae and certain cyanobacteria taxa were the most negatively responding taxa to fluoxetine. Our results, together with results of others, suggest that fluoxetine can alter community structure and ecosystem functioning and that some impacts of fluoxetine on certain taxa can already be observed at environmentally realistic concentrations. © 2023 The Authors",,10.1016/j.chemosphere.2023.140706,DNA (Cytosine-5-)-Methyltransferase;Biological Assay;Antidepressive Agents,37992907,NA,effects of antidepressant exposure on aquatic communities assessed by a combination of morphological identification functional measurements environmental dna metabarcoding and bioassays
rayyan-1227187197,Time is of the essence: The importance of considering biological rhythms in an increasingly polluted world,2024,1,1,,15449173,22,1,,"Thoré E.S.J., Aulsebrook A.E., Brand J.A., Almeida R.A., Brodin T., Bertram M.G.",,,Public Library of Science,,"Biological rhythms have a crucial role in shaping the biology and ecology of organisms. Light pollution is known to disrupt these rhythms, and evidence is emerging that chemical pollutants can cause similar disruption. Conversely, biological rhythms can influence the effects and toxicity of chemicals. Thus, by drawing insights from the extensive study of biological rhythms in biomedical and light pollution research, we can greatly improve our understanding of chemical pollution. This Essay advocates for the integration of biological rhythmicity into chemical pollution research to gain a more comprehensive understanding of how chemical pollutants affect wildlife and ecosystems. Despite historical barriers, recent experimental and technological advancements now facilitate the integration of biological rhythms into ecotoxicology, offering unprecedented, high-resolution data across spatiotemporal scales. Recognizing the importance of biological rhythms will be essential for understanding, predicting, and mitigating the complex ecological repercussions of chemical pollution. Copyright: © 2024 Thoré et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,10.1371/journal.pbio.3002478,,38289905,NA,time is of the essence the importance of considering biological rhythms in an increasingly polluted world
rayyan-1227187198,Impact of environmentally relevant concentrations of fluoxetine on zebrafish larvae: From gene to behavior,2023,1,1,,456535,345,NA,,"Correia D., Bellot M., Prats E., Gómez-Canela C., Moro H., Raldúa D., Domingues I., Oliveira M., Faria M.",,,Elsevier Ltd,,"Fluoxetine is widely prescribed for the treatment of depressive states, acting at the level of the central nervous system, consequently affecting non-target organisms. This study aimed to investigate the influence of environmentally relevant fluoxetine concentrations (1–1000 ng/L) on Danio rerio development, assessing both embryotoxicity and behavior, antioxidant defense, gene expression and neurotransmitter levels at larval stage. Exposure to fluoxetine during early development was found to be able to accelerate embryo hatching in embryos exposed to 1, 10 and 100 ng/L, reduce larval size in 1000 ng/L, and increase heart rate in 10, 100 and 1000 ng/L exposed larvae. Behavioral impairments (decreased startle response and increased larvae locomotor activity) were associated with effects on monoaminergic systems, detected through the downregulation of key genes (vmat2, mao, tph1a and th2). In addition, altered levels of neurochemicals belonging to the serotonergic and dopaminergic systems (increased levels of tryptophan and norepinephrine) highlighted the sensitivity of early life stages of zebrafish to low concentrations of fluoxetine, inducing effects that may compromise larval survival. The obtained data support the necessity to test low concentrations of SSRIs in environmental risk assessment and the use of biomarkers at different levels of biological organization for a better understanding of modes of action. © 2023 The Authors",,10.1016/j.chemosphere.2023.140468,Fluoxetine,37852383,NA,impact of environmentally relevant concentrations of fluoxetine on zebrafish larvae from gene to behavior
