key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2
rayyan-1227193758,Effects of mating disruption treatments on navel orangeworm (Lepidoptera: Pyralidae) sexual communication and damage in almonds and pistachios,2008,NA,NA,Journal of Economic Entomology,00220493 (ISSN),101,5,1633-1642,"Higbee, B.S. and Burks, C.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-54449099259&doi=10.1603%2f0022-0493%282008%29101%5b1633%3aEOMDTO%5d2.0.CO%3b2&partnerID=40&md5=e1344fe4b7edf546f8038d7ae0e49b8e,English,,"[""Paramount Farming Company, Bakersfield, CA 93308, 33141 E Lerdo Highway, United States"", ""San Joaquin Valley Agricultural Sciences Center, USDA-ARS, Parlier, CA 93648, 9611 S. Riverbend Ave., United States""]","Two experiments in 2003 examined the effects of different ways of dispensing the principal sex pheromone component on sexual communication among and crop damage by the navel orangeworm, Amyelois tramitella (Walker) (Lepidoptera: Pyralidae) in Nonpareil almonds and pistachios. A third experiment in 2004 compared the effect on navel orangeworm damage to several almond varieties using one of these dispensing systems by itself or with phosmet, phosmet alone, and an untreated control. Additional data are presented estimating release rates from timed aerosol release devices (PuffersNOW, Suterra LLC, Bend, OR) and hand-applied membrane dispensers. In 2003, puffers placed peripherally around 16-ha blocks, evenly spaced Puffers, and hand-applied dispensers reduced males captured in virgin-baited traps by ≥95% and mating in sentinel females by &69%, with evenly placed Puffers showing greater reduction of males captured and females mated compared with the other dispensing systems. Mating disruption with gridded Puffers or hand-applied devices in almonds resulted in an ≈37% reduction of navel orangeworm damage (not significant), whereas peripheral Puffers resulted in a 16% reduction of navel orangeworm damage to almonds. In pistachios neither peripheral nor gridded Puffers reduced navel orangeworm damage, whereas insecticide reduced damage by 56%. In 2004, Puffers alone, insecticide alone, and both in combination significantly reduced navel orangeworm damage in Nonpareil almonds. In other, later harvested varieties, the insecticide treatments reduced damage, whereas the mating disruption treatment alone did not. We discuss application of these findings to management of navel orangeworm in these two crops.","Export Date: 01 March 2024; Cited By: 43; Correspondence Address: C.S. Burks; San Joaquin Valley Agricultural Sciences Center, USDA-ARS, Parlier, CA 93648, 9611 S. Riverbend Ave., United States; email: charles.burks@ars.usda.gov; CODEN: JEENA",10.1603/0022-0493(2008)101[1633:EOMDTO]2.0.CO;2,"Almonds;Amyelois transitella;Mating disruption;Pistachios;Animal Communication;Animals;Female;Male;Moths;Pest Control, Biological;Pistacia;Prunus;Sex Attractants;Sexual Behavior, Animal;Amyelois;Lepidoptera;Pistacia vera;Prunus dulcis;Pyralidae;Tetraodontidae;sex pheromone;animal;animal communication;article;biological pest control;comparative study;drug effect;evaluation;female;male;methodology;moth;parasitology;pistachio;sexual behavior",NA,NA,effects of mating disruption treatments on navel orangeworm lepidoptera pyralidae sexual communication and damage in almonds and pistachios
rayyan-1227193765,Chemical screening study,2010,NA,NA,Engineer,00137758 (ISSN),NA,NA,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650880579&partnerID=40&md5=ef83dc4d91f417ea1a9fa84deb2cf40d,English,,,"Europe is aggressively working to eliminate potentially dangerous chemicals from the environment, but new regulations could be costly and time consuming. European officials have turned to Duane Huggett, an assistant professor of biology at the University of North Texas, to develop a new, more-efficient screening process for potentially hazardous chemicals. At issue is whether a chemical will move up a food chain. The pesticide DDT, used widely in the 1940s and 1950s, is a prime example of a chemical that magnified in the food chain, possibly poisoning wildlife and the environment and endangering human health. The experiment accurately predicts whether chemicals will move up the food chain, but it is expensive, time consuming and uses a lot of fish. Some 3,000 to 10,000 different chemicals will eventually need to be tested to meet European requirements. Huggett will work with UNT graduate students to determine whether the test period or number of fish can be scaled back and whether computer modeling could provide similar results.",Export Date: 01 March 2024; Cited By: 0; CODEN: ENGIA,,Astatine;Chemicals;Chemical screening;Computer modeling;Food chain;Graduate students;Hazardous chemicals;Human health;Screening process;University of North Texas;Chemical contamination,NA,NA,chemical screening study
rayyan-1227193767,Sublethal effects of the organic antifoulant Mexel®432 on osmoregulation and xenobiotic detoxification in the flatfish Solea senegalensis,2010,NA,NA,Chemosphere,00456535 (ISSN),79,1,78-85,"López-Galindo, C. and Vargas-Chacoff, L. and Nebot, E. and Casanueva, J.F. and Rubio, D. and Solé, M. and Mancera, J.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249093489&doi=10.1016%2fj.chemosphere.2009.12.054&partnerID=40&md5=934de53165e688a30c702a1ce1199542,English,Elsevier Ltd,"[""Departamento de Tecnologías del Medio Ambiente, Facultad de Ciencias del Mar y Ambientales, Universidad de Cádiz, Puerto Real, 11510 Cádiz, Spain"", ""Departamento de Biología, Facultad de Ciencias del Mar y Ambientales, Universidad de Cádiz, Puerto Real, 11510 Cádiz, Spain"", ""Instituto de Zoología, Facultad de Ciencias, Universidad Austral de Chile, Valdivia, Casilla 567, Chile"", ""Departamento de Máquinas y Motores Térmicos, Facultad de Ciencias Náuticas, Universidad de Cádiz, Puerto Real, 11510 Cádiz, Spain"", ""Institut de Ciencies del Mar, CSIC, 08003 Barcelona, Passeig Maritin la Barceloneta, 37-49, Spain""]","Mexel®432 is an anionic surfactant used as biocide in the cooling water system of power plants for biofouling reduction. Refrigeration waters from power plants do not usually follow, prior to their discharge to sea, any treatment aimed to eliminate biocides and this can have negative consequences on the aquatic fauna nearby. The effects of different concentrations of the antifoulant Mexel®432 (0.5, 1 and 2 mg L-1) on osmoregulation (osmolality and Na+/K+-ATPase activity) and stress parameters (cortisol, glucose, and lactate) were assessed in juveniles of the flatfish Solea senegalensis. Gill histopathology and alterations due to oxidative stress (increased lipid peroxidation, LPO, levels) at branchial and hepatic levels were also considered. Other parameters tested were the antioxidant enzymes (catalase, CAT; glutathione peroxidase, GPX; and glutathione reductase, GR), xenobiotic metabolism defenses involved in detoxification (carboxylesterase, CbE; 7-ethoxyresorufin O-deethylase, EROD; and glutathione S-transferase, GST) and the neurotransmitter acetylcholinesterase (AChE) activity. Significant variations in osmoregulatory parameters, histological lesions and decreased branchial Na+/K+-ATPase activity were observed in exposed fish. Other gill biomarkers presented little or no significant variations in relation to controls. In contrast, hepatic parameters, such as CAT activity, were inhibited while EROD activity was initially elevated but after longer exposures it recovered basal values. These results suggested that under our experimental protocol exists toxic associated to Mexel®432 exposures. © 2009 Elsevier Ltd. All rights reserved.","Export Date: 01 March 2024; Cited By: 22; Correspondence Address: J.M. Mancera; Departamento de Biología, Facultad de Ciencias del Mar y Ambientales, Universidad de Cádiz, Puerto Real, 11510 Cádiz, Spain; email: juanmiguel.mancera@uca.es; CODEN: CMSHA",10.1016/j.chemosphere.2009.12.054,Histopathology;Mexel®432;Osmoregulation;Oxidative stress;S. senegalensis;Xenobiotic metabolism;Pleuronectiformes;Solea senegalensis;Anionic surfactants;Biocides;Cooling water;Detoxification;Metabolism;Peptides;Power plants;Water cooling systems;acetylcholinesterase;adenosine triphosphatase (potassium sodium);adenosine triphosphatase (potassium);anionic surfactant;antifouling agent;carboxylesterase;catalase;ethoxyresorufin deethylase;glucose;glutathione peroxidase;glutathione reductase;glutathione transferase;hydrocortisone;lactic acid;lipid peroxidase;Experimental protocols;Glutathione peroxidase;Glutathione reductase;Glutathione S-transferases;biofouling;detoxification;fish;histopathology;metabolism;osmoregulation;oxidation;pesticide;sublethal effect;surfactant;xenobiotics;animal tissue;article;concentration (parameters);enzyme activity;enzyme inhibition;flatfish;gill;juvenile animal;lethality;lipid peroxidation;liver level;nonhuman;oxidative stress;toxicity testing;xenobiotic metabolism;Osmosis;Xenobiotics,NA,NA,sublethal effects of the organic antifoulant mexel®432 on osmoregulation and xenobiotic detoxification in the flatfish solea senegalensis
rayyan-1227193771,"Responding to Pfiesteria piscicida (the fish killer): Phantomatic ontologies, indeterminacy, and responsibility in toxic microbiology",2010,NA,NA,Social Studies of Science,14603659 (ISSN),40,2,275-306,"Schrader, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949325277&doi=10.1177%2f0306312709344902&partnerID=40&md5=389dbbb97f8f9ccfd7357747e29c7b36,English,,"Sarah Lawrence College, Bronxville, NY 10708, Sheffield 24, 1 Mead Way, United States","Based on an analysis of an ongoing scientific-political controversy over the toxicity of a fish-killing microorganism, this paper explores the relationship between responsibility and nonhuman contributions to agency in experimental practices. Research into the insidious effects of the dinoflagellates Pfiesteria piscicida (the fish killer) that thrive in waters over-enriched with nutrients, has received considerable attention by both the media and government agencies concerned with public and environmental health. After nearly two decades of research, the question of whether Pfiesteria can be regarded the 'causative agent' of massive fish kills in the estuaries of the US mid-Atlantic could not be scientifically settled. In contrast to policymakers, who attribute the absence of a scientific consensus to gaps in scientific knowledge and uncertainties regarding the identity and behavior of the potentially toxic dinoflagellates, I propose that an inseparable entanglement of Pfiesteria's identities and their toxic activities challenges conventional notions of causality that seek to establish a connection between independent events in linear time. Building on Karen Barad's framework of agential realism, I argue for a move from epistemological uncertainties to ontological indeterminacies that follow from Pfiesteria's contributions to agency, as the condition for responsible and objective science. In tracking discrepant experimental enactments of Pfiesteria that have been mobilized as evidence for and against their toxicity, I investigate how criteria for what counts as evidence get built into the experimental apparatuses and suggest that the joint possibilities of causality and responsibility vary with the temporalities of the objects enacted. This discussion seeks to highlight a thorough entanglement of epistemic/ontological concerns with the ecological/political relevance of particular experiments. Finally, I introduce a new kind of scientific object that - borrowing from Derrida - I call phantomatic. Phantoms don't emerge as such, but appear as traces and are associated with specific matters of concern. © The Author(s), 2010.","Export Date: 01 March 2024; Cited By: 90; Correspondence Address: A. Schrader; Sarah Lawrence College, Bronxville, NY 10708, Sheffield 24, 1 Mead Way, United States; email: astridschrader@gmail.com",10.1177/0306312709344902,"Causality;Indeterminacy;Intra-activities;Iterability;Material agency;Phantomatic ontologies;Responsibility;Temporality;Toxic dinoflagellates;Animals;Fish Diseases;Fishes;Knowledge;Pfiesteria piscicida;Protozoan Infections, Animal;Social Responsibility;Toxins, Biological;Uncertainty;Water;toxin;water;animal;animal parasitosis;article;fish;fish disease;knowledge;mortality;parasitology;pathogenicity;Pfiesteria;social behavior;uncertainty",NA,NA,responding to pfiesteria piscicida the fish killer phantomatic ontologies indeterminacy and responsibility in toxic microbiology
rayyan-1227193780,Selective predation by larval Agabus (Coleoptera: Dytiscidae) on mosquitoes: Support for conservation-based mosquito suppression in constructed wetlands,2009,NA,NA,Freshwater Biology,13652427 (ISSN),54,9,2003-2014,"Culler, L.E. and Lamp, W.O.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349141424&doi=10.1111%2fj.1365-2427.2009.02230.x&partnerID=40&md5=dc74d1da5a3e1dd67fde8e1282157476,English,,"[""Department of Biological Sciences, Hanover, NH 03755, Dartmouth College, United States"", ""Department of Entomology, University of Maryland, College Park, MD, United States""]","1. Wetland insect predators can structure aquatic prey communities via selective predation, but receive considerably less attention than vertebrate predators. We conducted laboratory experiments to test selective predation by two species of larval dytiscid beetles (Agabus; Coleoptera: Dytiscidae) and the potential contribution of these beetles to suppression of mosquito populations in constructed wetlands. 2. Agabus consumed copepods, ostracods and mosquito larvae in no-choice tests. When offered a choice, 76% of all prey consumed were mosquito larvae, indicating selective predation. Subsequent experiments revealed this preference was due to ease of capture of mosquito larvae over alternative prey. 3. Cannibalism and intraguild predation were common within and between species of Agabus, which may reduce the overall impact of the observed selective predation. 4. Agabus larvae selectively preyed on mosquito larvae over alternative prey, which is not characteristic of some fish used as biological control agents for mosquitoes. Predator exclusion or similar experiments in the field could document how these results translate into a natural setting. 5. The findings of this study suggest developing mosquito suppression strategies focused on conservation of native wetland predators. These strategies are preferable to introducing non-native generalist predators, or applying pesticides. © 2009 Blackwell Publishing Ltd.","Export Date: 01 March 2024; Cited By: 50; Correspondence Address: L. E. Culler; Department of Biological Sciences, Hanover, NH 03755, Dartmouth College, United States; email: lauren.e.culler@dartmouth.edu; CODEN: FWBLA",10.1111/j.1365-2427.2009.02230.x,Constructed wetlands;Dytiscidae;Mosquitoes;Predation;Prey selection;Agabus;Coleoptera;Copepoda;Hexapoda;Ostracoda;Vertebrata;Culicidae;Prednisolone,NA,NA,selective predation by larval agabus coleoptera dytiscidae on mosquitoes support for conservationbased mosquito suppression in constructed wetlands
rayyan-1227193782,Conversion from use of organophosphate insecticides to codling moth mating disruption in California pear orchards,2008,NA,NA,Acta Horticulturae,05677572 (ISSN); 978-906605611-4 (ISBN),800,NA,955-959,"Varela, L.G. and Elkins, R.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350711706&doi=10.17660%2factahortic.2008.800.130&partnerID=40&md5=3573d45460457c606af537d027797fac,English,International Society for Horticultural Science,"[""University of California, Cooperative Extension, Statewide Integrated Pest Management Program, Santa Rosa, CA 95403, United States"", ""University of California, Cooperative Extension, Lakeport, CA 95453, United States""]","Beginning in 1996, pear growers in California made a rapid transition from organophosphate insecticides to a mating disruption-based codling moth (Cydia pomonella) control program. In the former program, there were three or more applications of organophosphate per year for the control of codling moth. The latter program relies on applying codling moth pheromone dispensers (hand-applied dispensers or aerosol puffers) and selective insecticides to supplement mating disruption when needed. The reduction in use of broad-spectrum insecticides resulted in a decrease of pear psylla (Cacopsylla pyricola) and two-spotted spider mites (Tetranychus urticae) populations with a decrease in pesticide use for these pests. However, there have been sporadic increases of the following secondary pests: oblique-banded leafroller (Choristoneura rosaceana), western boxelder bug (Boisea rubrolienata), consperse sting bugs (Euschistus conspersus), pear rust mite (Epitrimerus pyri), pear sawfly (Caliroea cerasi), and katydids (Phaneroptera nana and Scuderria furcata). We detailed the shift in insecticide use for the ten years of the program. Operating costs for each of the ten years studied in orchards under the mating disruption program declined compared to the conventional insecticide program. Savings were minimal during the first two years of transitioning into mating disruption program, but became significant beginning in the third year. From the third year on, savings were $247 to $511/ha per year. Fluctuations in savings were due to variability in insecticide applications for psylla, mites, and secondary pests.",Export Date: 01 March 2024; Cited By: 5; Conference name: 10th International Pear Symposium; Conference date: 22 May 2007 through 26 May 2007,10.17660/actahortic.2008.800.130,Area wide pest control;Checkmate CM;Cydia pomonella;Isomate-C;Mating disruption;Pheromone confusion;Pheromone dispensers;Suterra puffer CM;Acari;Araneae;Boisea;Boisea rubrolineata;Cacopsylla pyri;Cacopsylla pyricola;Caliroa cerasi;Choristoneura rosaceana;Euschistus conspersus;Hexapoda;Lepidoptera;Lueheia;Phaneroptera nana;Psylla;Pyrus;Tetranychidae;Tetranychus urticae;Tetraodontidae;Tettigoniidae;California;Organophosphates;Insecticides,NA,NA,conversion from use of organophosphate insecticides to codling moth mating disruption in california pear orchards
rayyan-1227193784,"Acute toxicity and histopathological alterations of Roundup® herbicide on ""cachama blanca"" (Piaractus brachypomus)",2008,NA,NA,Pesquisa Veterinaria Brasileira,16785150 (ISSN),28,11,547-554,"Ramírez-Duarte, W.F. and Rondón-Barragán, I.S. and Eslava-Mocha, P.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-65749116385&doi=10.1590%2fS0100-736X2008001100002&partnerID=40&md5=2d65afa3a4c6e46456529dee3dae9ca2,English,,"Instituto de Acuicultura, Universidad de los Llanos, Apartado Aéreo 110, Villavicencio, Meta, Km 4 vía Puerto López, vereda Barcelona, Colombia","Acute toxicity of the glyphosate -N (phosphonomethyl) glycine- herbicide, Roundup®, in juveniles of cachama blanca, (Piaractus brachypomus), was evaluated and the histopathological lesions were assessed. The 96 h lethal concentration 50 was 97.47mg.L-1 (P<0.05). In the gill, necrotic and proliferative lesions were detected. In the liver, congestion, degenerative foci, hyaline droplets and lipidic vacuolization of the hepatocytes were observed. In the stomach mild hyperplasia of mucous cells was detected, which was also observed in the skin. In this latter tissue, a large increase in the thickness of the epidermis with necrotic lesions, infiltration of leukocytes and melanin pigment were observed. In the brain, degenerative foci of neuronal bodies in the telencephalon associated with gliosis and infiltration of eosinophilic granule cells/mast cells were shown. In conclusion, gills, liver, skin and brain are susceptible to Roundup®. Moreover, effects on the central nervous system could affect olfaction as well as individual and group behavior, the reproductive performance of the fish and hence have repercussions at the population level. © 2009 Colégio Brasileiro de Patologia Animal.","Export Date: 01 March 2024; Cited By: 37; Correspondence Address: W.F. Ramírez-Duarte; Instituto de Acuicultura, Universidad de los Llanos, Apartado Aéreo 110, Villavicencio, Meta, Km 4 vía Puerto López, vereda Barcelona, Colombia; email: wramirezduarte@yahoo.com.mx",10.1590/S0100-736X2008001100002,Acute toxicity;Glyphosate;Histopathology;Piaractus brachypomus;Roundup<sup>®</sup>,NA,NA,acute toxicity and histopathological alterations of roundup® herbicide on cachama blanca piaractus brachypomus
rayyan-1227193786,"The effect of sublethal concentration of decis 2.5 EC pesticide on learning and memory processes in common carp, Cyprinus Carpio (actinopterygii: Cypriniformes: Cyprinidae)",2010,NA,NA,Acta Ichthyologica et Piscatoria,01371592 (ISSN),40,2,145-154,"Dziaman, R. and Sitarek, M. and Kłyszejko, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651060108&doi=10.3750%2fAIP2010.40.2.07&partnerID=40&md5=d868b11af2c8da77b83c699821b098c9,English,Pensoft Publishers,"Division of Fish Physiology and Pathology, Faculty of Food Sciences and Fisheries, West Pomeranian University of Technology, Poland","Background. Animals acquire new skills due to conditioned responses resulting from a sequence of neutral and unconditioned stimuli affecting their bodies; there is a constant time interval between the stimuli. Both stimuli become associated after a number of repetitions and animal bodies start to respond to the initially neutral stimulus as to the unconditioned one. The aim of this study was to determine whether exposure of fish to a pyrethroid-deltamethrin (an active ingredient in Decis 2.5 EC pesticide that disturbs the proper operation of the nervous system) affects the ability to learn in common carp. Materials and Methods. Production of new types of behaviour was triggered in fish by using the unconditioned stimulus (an irritating electric impulse) and the conditioned stimulus (light). The experiment was performed in a tank divided into two compartments where fish could swim freely from one compartment to another. The ability to learn was assessed on the basis of the following types of behaviour evoked in response to the conditioned stimulus: Locomotor agitation, preference to occupy or avoid certain areas in the tank, an escape response, etc. Results. In fish exposed to 0.35 μg · L-1 deltamethrin (for common carp concentration 10 times lower than lethal) for 35 min the ability to produce and remember the conditioned defence response was reduced and time interval since presenting the conditioned stimulus till occurring the initial signs of the conditioned response was prolonged. Conclusion. The classical conditioning method revealed that sublethal concentration of deltamethrin restricted ability to learn and retain information in common carp, despite absence of observable intoxication symptoms.","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: R. Dziaman; Zaklad Fizjologii i Patologii Ryb, Wydział Nauk o Zywności i Rybactwa, Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, 71-550 Szczecin, Ul. Kazimierza Królewicza 4, Poland; email: rodziaman@zut.edu.pl",10.3750/AIP2010.40.2.07,Common carp;Deltamethrin;Learning and memory processes;Actinopterygii;Animalia;Cyprinidae;Cypriniformes;Cyprinus carpio;Pesticides,NA,NA,the effect of sublethal concentration of decis 25 ec pesticide on learning and memory processes in common carp cyprinus carpio actinopterygii cypriniformes cyprinidae
rayyan-1227193787,Mating disruption and Cydia pomonella granulosis virus for control of codling moth in pear,2008,NA,NA,Acta Horticulturae,05677572 (ISSN); 978-906605611-4 (ISBN),800,NA,947-953,"VanBuskirk, P.D. and Hilton, R.J. and Benbow, J. and Basile, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-71449111985&doi=10.17660%2factahortic.2008.800.129&partnerID=40&md5=5e1badc27a8c49cd8bc2eb4c2a3b2da9,English,International Society for Horticultural Science,"Oregon State University, Southern Oregon Research and Extension Center, Central Point, OR, United States","Studies initiated in 2003 with two Cydia pomonella granulosis virus (CpGV) products, Cyd-X and Carpovirusine, showed that frequent applications of CpGV gave 80-90% control of codling moth, Cydia pomonella, in a Research Center orchard where the codling moth population was high. An on-farm trial indicated that CpGV worked well in combination with mating disruption (MD) in an orchard where the codling moth population was low. During 2004 and 2005 replicated trials with CpGV were conducted in high pressure blocks with and without mating disruption to try and determine the effect of each tactic by itself and in combination. The addition of CpGV always resulted in a significant reduction of successful codling moth entries but stings, or unsuccessful entries, were increased as the CpGV must be ingested by the codling moth larvae to be effective. The 2004 trial showed that CpGV could be as effective as conventional insecticides when applied twice as often. When results from blocks with and without MD were compared it appeared that most of the codling moth control in the combination program came from the CpGV applications.",Export Date: 01 March 2024; Cited By: 2; Conference name: 10th International Pear Symposium; Conference date: 22 May 2007 through 26 May 2007,10.17660/actahortic.2008.800.129,Integrated pest management;IPM;Microbial insecticide;Organic production;Pyrus communis;Cydia pomonella;Cydia pomonella granulovirus;Hexapoda;Lepidoptera;Pyrus,NA,NA,mating disruption and cydia pomonella granulosis virus for control of codling moth in pear
rayyan-1227193791,Risk assessment of toxaphene and its breakdown products: Time for a change?,2008,NA,NA,Critical Reviews in Toxicology,15476898 (ISSN),38,9,805-815,"Lamb IV, J.C. and Neal, B.H. and Goodman, J.I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-54349094066&doi=10.1080%2f10408440802237698&partnerID=40&md5=8e0bbbcc924e2d9bee544fe8fb96a50d,English,,"[""Weinberg Group, Washington, DC, United States"", ""Michigan State University, East Lansing, MI, United States"", ""Michigan State University, 8440 Life Sciences Building, East Lansing, MI 48824, United States""]","Technical toxaphene (TT) was last used in commerce in about 1982. Any environmental exposure to toxaphene in this century is to environmentally degraded forms of toxaphene, termed weathered toxaphene. Several hundred chlorinated bornane congeners have been identified in technical toxaphene. The degradation of technical toxaphene to weathered toxaphene can result in various congener mixtures, but the primary mode of degradation is dechlorination. The U.S. Environmental Protection Agency (EPA) presently estimates the risk of exposure to toxaphene by relying upon rat and mouse toxicology studies performed on technical toxaphene. No adjustment is made for the dechlorination of toxaphene in the environment. The European Union (EU), however, has modeled toxaphene risks from eating fish with chlorinated bornane residues through a series of studies on toxaphene degraded by either ultraviolet light, or biodegradation in fish. The EU risk assessment relies upon rat liver studies in vivo and mouse in vitro studies on the inhibition of gap junction intercellular communication (GJIC). This article reviews the current state of knowledge of technical and weathered toxaphene toxicology. We discuss the various current methods and opportunities to advance the risk assessment of weathered toxaphene beyond the existing U.S. EPA assessment of technical toxaphene. Copyright © 2008 Informa UK Ltd.","Export Date: 01 March 2024; Cited By: 10; Correspondence Address: J. I. Goodman; Michigan State University, 8440 Life Sciences Building, East Lansing, MI 48824, United States; email: goodman3@msu.edu; CODEN: CRTXB",10.1080/10408440802237698,"Animals;Carcinogenicity Tests;Dose-Response Relationship, Drug;Environmental Pollutants;Humans;Insecticides;Mutagenicity Tests;Pesticide Residues;Risk Assessment;Toxaphene;Rattus;campheclor;carcinogenicity;gap junction;kidney tumor;liver tumor;mutagenicity;review;risk assessment;synthesis",NA,NA,risk assessment of toxaphene and its breakdown products time for a change
