key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1227304720,Environmentally relevant concentrations of bifenthrin affect the expression of estrogen and glucocorticoid receptors in brains of female western mosquitofish,2019,1,1,,0166445X,209,,,"Ligocki I.Y., Munson A., Farrar V., Viernes R., Sih A., Connon R.E., Calisi R.M.",,,Elsevier B.V.,,"In recent decades, pyrethroid pesticides have been deemed a safer alternative to previously used pesticides. While some evidence supports this assumption in mammals and birds, exposure to certain pyrethroids can affect concentrations of hormones vital to reproduction in fish. Thus, we hypothesized that pyrethroid exposure impacts fish reproductive behavior and the expression of genes associated with reproduction. We tested our hypothesis by examining effects of the widely used pyrethroid pesticide, bifenthrin, on the reproductive behaviors of the broadly distributed livebearing western mosquitofish, Gambusia affinis. We exposed sexually mature female fish to one of five environmentally relevant concentrations of bifenthrin and conducted behavioral assays to assess reproductive, social, and space use behaviors before and after exposure. We did not detect changes in behaviors measured in response to bifenthrin. However, exposure was associated with increased expression of an estrogen receptor gene (ER-α) and glucocorticoid receptor (GR) in brain tissue at bifenthrin concentrations at concentrations of 5.90 and 24.82 ng/L, and 5.90 and 12.21 ng/L, respectively. Our study supports the perspective that the use of multiple endpoints through integrative approaches is essential for understanding the cumulative impact of pollutants. Integrating physiological, morphological, and behavioral investigations of nonlethal concentrations of pollutants like bifenthrin may heighten our potential to predict their impact on individuals, populations, and communities. © 2018 Elsevier B.V.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Rhiannon""=>""Maybe""} | USER-NOTES: {""Rhiannon""=>[""Control group?""]}",10.1016/j.aquatox.2018.12.001,"Brain;Receptors, Glucocorticoid;Glucocorticoids;Estrogens",30769158,NA
rayyan-1227304741,Environmentally Realistic Waterborne Atrazine Exposure Affects Behavior in Poecilia latipinna,2023,1,1,,20734441,15,2,,MacLaren R.D.,,,MDPI,,"The present study examined the effects of environmentally realistic exposure to atrazine (ATZ) on the behavior of sailfin mollies, Poecilia latipinna. ATZ is one of the most commonly used pesticides in the US and a known endocrine disrupting chemical (EDC). The behavior of sailfin mollies is well documented in the scientific literature. Moreover, they are ecologically important indicators of environmental health, widely distributed among the mangroves along the Gulf Coast of the Southeastern US where significant amounts of ATZ are introduced via runoff and storm water drainage from coastal households, businesses, and farms. Four sets of experiments designed to assess ATZ’s impact on various aspects of male and female reproductive behavior, aggression, anxiety, and boldness were conducted following 12 weeks of exposure to 1 or 15 ppb water-borne ATZ, along with a no-exposure control group. Results indicated that the behavior of ATZ-exposed individuals differed from those of controls: ATZ exposure affected which stimulus fish (a male vs. a female) subject females preferred to associate with while also affecting female strength of preference for males of larger body size and their sexual receptivity to conspecific males in general. ATZ-exposed males also showed reduced overall responsiveness to conspecific stimuli and directed significantly less aggression toward their mirror image compared with controls. Finally, ATZ exposure affected multiple aspects of male and female behavior that are often used as proxies for boldness and anxiety. Overall, ATZ exposure resulted in alterations across a variety of behaviors attributed to sexual receptivity, mate choice and motivation to mate, aggression, as well as boldness and anxiety. These ATZ-induced behavioral changes may adversely affect the long-term health of natural populations exposed to similar, environmentally realistic concentrations and add to a growing body of empirical data demonstrating substantial fitness consequences of exposure to sublethal concentrations of this known EDC. © 2023 by the author.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""} | USER-NOTES: {""Rhiannon""=>[""Adult fish?""]}",10.3390/w15020306,"",NA,NA
rayyan-1227304763,"Mechanistic revealing of reproductive behavior impairment in male guppy (Poecilia reticulata) induced by environmentally realistic 2,2′-dithiobis-pyridine exposure",2022,1,1,,456535,286,,,"Li X., Wang J., Ba W., Zhang S., Lin Z., Gao M., Tian H., Ru S.",,,Elsevier Ltd,,"Although (PS)2, the primary degradation product of emerging antifouling biocides metal pyrithiones (MePTs), can disrupt the reproductive behavior of fish at an environmentally relevant ng/L level, the underlying mechanism is still largely unknown. This study exposed sexually mature male guppy (Poecilia reticulata) to 20, 200, and 2000 ng/L (PS)2 to explore the compromised effect of (PS)2 on reproductive behavior through a realistic competing scenario. The results showed that (PS)2 suppressed male guppies' sexual interest to stimulus females, reduced their competitive behavior frequencies toward rival males, and decreased their mating time and frequency. (PS)2 exposure did not affect male guppies' secondary sexual characteristics or induce estrogenic activity. Whole-brain transcriptome sequencing identified 1070 differentially expressed genes (DEGs) with 872 up-regulated genes, which were functionally enriched into Gene Ontology terms pertaining to extracellular matrix (ECM) and extracellular region. KEGG enrichment for the DEGs uncovered that the activations of ECM-receptor interaction and focal adhesion pathways could be the underlying molecular mechanism implicated in the (PS)2 induced reproductive behavior impairment. This work would deliver a substantial contribution to the understanding of the ecological safety of MePTs biocides. © 2021","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""} | RAYYAN-LABELS: need to look into chemical | USER-NOTES: {""Rhiannon""=>[""Unsure if drug is true pesticide""]}",10.1016/j.chemosphere.2021.131839,Reproductive Behavior;Pyridines,34403901,NA
rayyan-1227304811,"Risky business: Changes in boldness behavior in male Siamese fighting fish, Betta splendens, following exposure to an antiandrogen",2018,1,1,,2697491,235,,,"Dzieweczynski T.L., Portrais K.B., Stevens M.A., Kane J.L., Lawrence J.M.",,,Elsevier Ltd,,"Components of boldness, such as activity level and locomotion, influence an individual's ability to avoid predators and acquire resources, generating fitness consequences. The presence of endocrine disrupting chemicals (EDCs) in the aquatic environment may affect fitness by changing morphology or altering behaviors like courtship and exploration. Most research on EDC-generated behavioral effects has focused on estrogen mimics and reproductive endpoints. Far fewer studies have examined the effects of other types of EDCs or measured non-reproductive behaviors. EDCs with antiandrogenic properties are present in waterways yet we know little about their effects on exposed individuals although they may produce effects similar to those caused by estrogen mimics because they act on the same hormonal pathway. To examine the effects of antiandrogens on boldness, this study exposed male Siamese fighting fish, Betta splendens, to a high or low dose of one of two antiandrogens, vinclozolin or flutamide, and observed behavior in three boldness assays, both before and after exposure. Overall, antiandrogen exposure increased boldness behavior, especially following exposure to the higher dose. Whether or not antiandrogen exposure influenced boldness, as well as the nature and intensity of the effect, was assay-dependent. This demonstrates the importance of studying EDC effects in a range of contexts and, at least within this species, suggests that antiandrogenic compounds may generate distinct physiological effects in different situations. How and why the behavioral effects differ from those caused by exposure to an estrogen mimic, as well as the potential consequences of increased activity levels, are discussed. Exposure to an antiandrogen, regardless of dose, produced elevated activity levels and altered shoaling and exploration in male Siamese fighting fish. These modifications may have fitness consequences. © 2018 Elsevier Ltd","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Rhiannon""=>""Maybe""} | USER-NOTES: {""Rhiannon""=>[""Unsure if control group is used""]}",10.1016/j.envpol.2018.01.029,Androgen Antagonists,29366512,NA
rayyan-1227304924,Efeitos tóxicos e genotóxicos do herbicida Roundup Transorb® em Guppy (Poecilia reticulata) submetido a tratamento agudo ; Toxic effects and genotoxicity of Roundup Transorb® in Guppy(Poecilia reticulata) submitted to acute treatment,2012,NA,NA,,,,,,"SOUZA FILHO, José de",http://repositorio.bc.ufg.br/tede/handle/tde/1259,por,Universidade Federal de Goiás ; BR ; UFG ; Mestrado em Biologia ; Ciências Biolóicas,,"The effects of toxic, mutagenic and genotoxic on target organs and the fish genome has been the subject of many studies, especially those that seek to establish these bodies and responses of genes to environmental stimuli. Histopathological studies, mutagenic, genotoxic and Poecilia reticulata (Guppy) were motivated by the scarcity of data in the literature concerning the effects of the formulation of the herbicide Roundup Transorb®. With everything, we sought to ascertain the effects produced by this formulation that is widely used in the Midwest of the country. This study aimed to evaluate the toxicity and mutagenic and genotoxic herbicide R. Transorb® in liver, gill and erythrocytes of the guppy, calculating and applying the LC50 test micronucleus (MN) and Comet assay (AC). The toxicity bioassays were performed to calculate the LC50;12-96h, to evaluate the effects of sublethal concentrations of herbicide subjected to acute treatment. We used 36 adult fish, weighing on average 0.496 g ± 0.28 g to calculate the LC50 and 75 adult fish also carry the MN and AC. During exposure to the herbicide was observed fish behavior at all concentrations and controlled chemical and physical changes of water. The erythrocytes were obtained by centrifugation of the gills being added to precipitate fetal calf serum, and then dripped on the slides to make the smear and electrophoresis. For the analysis of plates, 75.000 cells were counted and stipulate the frequency of occurrence of Nuclear Morphological Changes (AMNs) and AC were analyzed for 100 cells per specimen. The LC50; 12, 24, 48, 72 e 96h of R. Transorb® were 11:24, 8:55, 6.5, 6.10 and 5.65μl/L, respectively, indicating that this species is very sensitive to the herbicide studied in relation to other tropical species analyzed. These factors may be related to different formulations of herbicides and their respective surfactants. It was found that the mortality rate of fish poisoned by the herbicide increased as exposure concentrations increased. The values of LC50,12-96h show a downward trend over time, suggesting that during periods of reduced exposure will require greater amounts of herbicide to cause mortality of 50% of the population of animals. Animals exposed to the herbicide showed behavioral changes varied, such as aggressiveness, irritability, loss of the escape reflex, darkening of the body surface and banging against the wall of the aquarium. In addition, R. Transorb® hitológicas induced liver changes appreciably impairing the normal functioning of this organ. In MN and EC was possible to detect significant genotoxic and mutagenic effects in erythrocytes and gill cells, occurring gradual increase in the number of cells with AMNs and ADN damage under higher concentrations,indicating concentration-dependent effect. This herbicide has acute toxicity to guppy, promoting behavioral changes, possibly acting in a manner damaging to the liver but also in the nervous system and gill. These results also suggest that the formulation of this herbicide has genotoxic and mutagenic in erythrocytes and gill cells detected by the MN and AC. Therefore, it confirms the high risk of herbicide to the environment, its contamination may present a strong threat to populations of fish and other organisms both vertebrates and invertebrates and human health. ; Os efeitos de substâncias tóxicas, mutagênicas e genotóxica sobre órgãos-alvos e o genoma de peixes tem sido objeto de muitos estudos, sobretudo daqueles que buscam estabelecer respostas destes órgãos e dos genes aos estímulos ambientais. Estudos histopatológicos, mutagênicos, genotóxicos e em Poecilia reticulata (Guppy) foram motivados pela escassez de dados na literatura referente aos efeitos provocados pela formulação do herbicida Roundup Transorb®. Com tudo, pretendeu-se conhecer os efeitos produzidos por essa formulação que é bastante utilizada no Centro-Oeste do país. O presente trabalho teve como objetivo avaliar a ação tóxica, mutagênica e genotóxica do herbicida R. Transorb® em fígado, brânquia e eritrócito do guppy, calculando a CL50 e aplicando Teste de Micronúcleo (MN) e Ensaio Cometa (EC). Os bioensaios de toxicidade foram realizados para calcular a CL50,12-96h, avaliar os efeitos das concentrações subletais do herbicida submetido a tratamento agudo. Utilizou-se 36 peixes adultos, pesando em média 0,496g ± 0,28g para cálculo da CL50 e 75 peixes também adultos para realizar o MN e EC. Durante a exposição ao herbicida observou-se o comportamento dos peixes em todas as concentrações e controlada as variações químicas e físicas da água. Os eritrócitos foram obtidos pela centrifugação das brânquias sendo adicionado soro fetal bovino ao precipitado, e posteriormente gotejado sobre as lâminas para realizar o esfregaço e eletroforese. Para a análise das lâminas, foram contadas 75.000 células e estipulada a frequência de ocorrência de Alterações Morfológicas Nucleares (AMNs), e para EC foram analisadas 100 células por espécime. A CL50; 12, 24, 48, 72 e 96 h do R. Transorb® foram de 11.24; 8.55; 6.5; 6.10 e 5.65μl/L, respectivamente, indicando que esta espécie é bastante sensível ao herbicida estudado em relação às demais espécies tropicais analisadas. Esses fatores podem estar relacionados às diferentes formulações dos herbicidas e seus respectivos surfactantes. Verificou-se que a porcentagem de mortalidade dos peixes intoxicados pelo herbicida aumentou à medida que as concentrações de exposição aumentaram. Os valores da CL50; 12- 96 h apresentam tendência de queda ao longo do tempo, sugerindo que em períodos de menor exposição serão necessárias quantidades maiores de herbicida para causar a mortalidade de 50% da população de animais. Os animais expostos ao herbicida apresentaram alterações comportamentais variadas, tais como: agressividade; irritabilidade; perda do reflexo de fuga; escurecimento da superfície corporal e choque contra a parede do aquário. Além disso, o R. Transorb® induziu alterações hitológicas hepáticas prejudicando de forma sensível o funcionamento normal deste órgão. No MN e EC foi possível detectar efeitos mutagênicos e genotóxicos significativos nos eritrócitos e células da brânquia, ocorrendo aumento gradual no número de células com AMNs e com danos ao DNA de acordo com aumento das concentrações, indicando efeito concentração-dependente. Este herbicida apresenta toxidade aguda para guppy, promovendo alterações comportamentais, agindo possivelmente de forma danosa não só no fígado, mas também no sistema nervoso e branquial. Tais resultados sugerem também que a formulação deste herbicida possui ação genotóxica e mutagênica em eritrócitos e células branquiais detectados através dos MN e EC. Por tanto, se confirma o alto risco deste herbicida ao meio ambiente, sua contaminação pode apresentar forte ameaça para as populações de peixes e outros organismos tanto vertebrados como invertebrados e saúde do homem.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Poecilia reticulata;Herbicida;Glifosato;Ensaio cometa;Teste micronúcleo;Pesticides;Glyphosate;Comet assay;Micronucleos test;CNPQ::CIENCIAS BIOLOGICAS,NA,NA
rayyan-1227304931,Impactos neuroendócrinos e comportamentais de um inseticida à base de imidacloprid em zebrafish ; Neuroendocrine and behavioral impacts of an imidacloprid-based insecticide on zebrafish,2022,NA,NA,,,,,,"Soares, Suelen Mendonça",http://repositorio.ufsm.br/handle/1/26472,por,Universidade Federal de Santa Maria ; Brasil ; Farmacologia ; UFSM ; Programa de Pós-Graduação em Farmacologia ; Centro de Ciências da Saúde,,"Zebrafish is a well-established model organism for translational and ecotoxicological research. Despite having the genome completely sequenced and the behavior and physiology well reported, there are some issues related to the housing and management of these animals that are still poorly understood. Considering the issues regarding the housing of the zebrafish, we aimed to investigate whether different cues, used alone or together, would interfere in zebrafish behavior. In this study, we detected that the animals have different behaviors when in the presence of isolated cues and together, therefore, we emphasize the importance of the description and detailing of the conditions of housing of these fish. After the development of this first article, we had the idea of working with imidacloprid (IMI). IMI is an insecticidal pesticide used globally in the treatment of seeds and leaves of crops such as vegetables, sugar beet, cotton and tobacco. The use of IMI is mainly due to its high insecticidal potential and low toxic potential in mammals, acting as a specific nicotinic acetylcholine agonist for invertebrate receptors. However, non-target species have been affected by this compound, which can cause from the mortality of these animals to endocrine and physiological changes in sublethal concentrations, mostly based on the LC50/LD50 (concentration/dose capable of killing 50% of the population tested), in chronic or acute exposures, within 96 hours. However, little is known about the effect that concentrations already detected in the environment and in periods shorter than 96 hours can have on non-target organisms. Therefore, our aim was to analyze whether an IBI (imidacloprid-based insecticide) alters behavior, cortisol levels and redox status in zebrafish, in a 30-minute exposure protocol and at environmentally relevant concentrations. In this second manuscript, we showed that IBI was able to reduce locomotion, social and aggressiveness behaviors of exposed fish, in addition to inducing a mild anxiolytic-like ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Pesticida;Neonicotinoides;Cortisol;Peixe-zebra;Estado redox;Pesticide;Neonicotinoids;Danio rerio;Status redox;CNPQ::CIENCIAS BIOLOGICAS::FARMACOLOGIA;Insecticides,NA,NA
rayyan-1227304935,Response on multistress effects on goldfish (carassius auratus) ; Réponse aux stress multiples chez les poissons : effets croisés de la température et des cocktails de pesticides,NA,NA,NA,,,,,,"Gandar, Allison",https://theses.hal.science/tel-01400793,fr,HAL CCSD,,"Crossed-effects between climate change and chemical pollutions were identified on community structure and ecosystem functioning. Temperature rising affect the toxic properties of pollutants and the sensitiveness of organisms to chemicals stress. Inversely, chemical exposure may decrease the thermal tolerance of ectothermic species, as fish. In this context, we studied the response of a biological model in aquatic toxicology, the goldfish (Carassius auratus), to individual and combined chemical and thermal stresses. In this aim, we exposed the goldfish to environmental relevant concentrations of herbicide and fungicide mixtures at two temperatures for 96 hours or 16 days. The fish responses were assessed from the molecular level to individual endpoints, including omic approaches (proteomic and metabolomic), biochemical analyses (cortisol, antioxidant defenses, cellular energy allocation), indexes (somatic and condition factors) and behavioral assays (sediment reworking, activity, exploration and feeding). Our results showed that individual chemical or thermal stresses induced a general stress response including biochemical, metabolic, physiological and behavioral compensations. The absence of deleterious effect on the global condition of fish suggested the implementation of an efficient and adaptive stress response, while the hypoactivity of fish exposed to pesticide mixtures could entrain a decreased performance and fitness into the wild. At the opposite, the combined chemical and thermal stresses induced reciprocal inactivation of the stress response, with antagonism effect on cortisol secretion, antioxidant defense induction and metabolic compensation. However, increased effect on behavioral traits and decreased global condition of fish were observed. Our study showed that temperature rising sensitized fish to pesticide exposure. Finally, inhibited stress response in fish exposed to pesticide cocktails raises concerns about species conservation an ecosystem under multiple pressures. ; Les changements ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Herbicides;Fungicides;Climate change;Stress response;Carassius auratus;Multi-level study;Fongicides;Changements climatiques;Réponse de stress;Etude multi-échelles;[SDV.EE]Life Sciences [q-bio]/Ecology;environment;Pesticides,NA,NA
rayyan-1227304936,Respostas bioquímicas e comportamentais de peixe-zebra (Danio rerio) expostos a imidacloprido: avaliação do dano oxidativo e perfil antioxidante ; Biochemical and behavioral responses of zebrafish exposed to imidacloprid: assessment of oxidative damage and antioxidant profile,2019,NA,NA,,,,,,"Guerra, Luciana Joner",http://repositorio.ufsm.br/handle/1/21397,por,Universidade Federal de Santa Maria ; Brasil ; Bioquímica ; UFSM ; Programa de Pós-Graduação em Ciências Biológicas: Bioquímica Toxicológica ; Centro de Ciências Naturais e Exatas,,"Pesticides are the biggest polluters of water and soil and can reach non-target organisms such as fish. Indiscriminate application of products has been a serious concern and Brazil is one of the countries that uses the most chemicals to control agricultural pests. Imidacloprid (IMI) is one of the most commonly used insecticides in the world, such as a neonicotinoid. Although already found in several watercourses in the southern region, studies are needed on its toxic potential. Zebrafish (Danio rerio), popularly known as ""paulistinha"", has been the target of a program that can be compared with rodents, we can mention the ease of maintenance, manipulation and a possibility to have their rules of behavior and biochemical. In this context, researches may be performe to avaluete effects of environmental contamination. Present indicator may be related to biochemical and behavioral in zebrafish exposed for 96 h in 3 different concentrations of IMI (0.15, 15 and 45 μg L-1). Effect of S-transferase (GST) activation was increases in zebrafish brains when exposed to IMI in the combinations of 0.15 and 45 μg L-1. Carbonylated protein (CP) levels increased significantly in IMI 15 and 45 μg L-1. Nonprotein protein levels (NPSH) and lipid peroxidation levels measured by the quantification of malondialdehyde (MDA) formation were not alter over time after exposure at the concentrations tested. Exposure to IMI increases freezing time, decreases episodes and time of erratic moviment. In addition, it decreases the distance traveled, such as transitions and time in the area above the high turns used. In conclusion, the results are relevant for the exposure of biochemical and behavioral parameters in zebrafish. ; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - CAPES ; Os pesticidas são um dos maiores poluidores da água e do solo, podendo atingir organismos não alvos, como peixes. A aplicação indiscriminada destes produtos tem levantado sérias preocupações, sendo que um dos países que mais utilizam produtos químicos ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Dano oxidativo;Peixe-zebra;Imidacloprido;Neonicotinóide;Zebrafish;Oxidative stress;Imidacloprid;Behavior;Neonicotinoid;CNPQ::CIENCIAS BIOLOGICAS::BIOQUIMICA,NA,NA
rayyan-1227304951,Investigation on acute toxicity and behavioral changes in Channa punctatus (Bloch) due to organophosphate pesticide profenofos ; Not Available,2011,NA,NA,,,,,,Atindra Kumar Pandey and N. S. Nagpure and S. P. Trivedi and R. Kumar and B. Kushwaha and W. S. Lakra,http://krishi.icar.gov.in/jspui/handle/123456789/4934,English,Taylor & Francis Group,,"Not Available ; Acute toxicity of an organophosphate pesticide profenofos (O-4-bromo-2- chlorophenyl-O-ethyl S-propyl phosphorothioate) to freshwater fish, Channa punctatus (Bloch), was studied in a static bioassay. Estimated 96-hour LC50 of profenofos was found to be 2.68 μgL−1. On the basis of the obtained LC50 values for 96-hour exposure intervals, profenofos can be rated as highly toxic to C. punctatus. Fish exposed to profenofos showed hyper excitability, discoloration, erratic swimming, and secretion of excess amounts of mucus on the body and gills with eventual exhaustion and death. ; Not Available","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Toxicity;Behavioral changes;Bioassay;Channa punctatus;Profenofos;Mortality;Pesticides;Organophosphates,NA,NA
rayyan-1227304954,"Lethal concentration and toxicity stress of Carbosulfan, Glyphosate and Atrazine to freshwater air breathing fish Channa punctatus (Bloch) ; Not Available",2010,NA,NA,,,,,,Christopher Didigwu Nwani and Naresh Sahebrao Nagpure and Ravindra Kumar and Basdeo Kushwaha and Pavan Kumar and Wazir Singh Lakra,http://krishi.icar.gov.in/jspui/handle/123456789/4973,English,ResearchGate,,"Not Available ; The present study was undertaken to evaluate the lethal toxicity and stress of commercial formulations of carbosulfan (Aatank) insecticide, glyphosate (Roundup) and atrazine (Rasayanzine) herbicides toward freshwater air-breathing fish Channa punctatus (Bloch). The 96 h LC50 values, determined in a semi-static system by probit analysis as 0.268, 32.540 and 42.380 mg/l for carbosulfan, glyphosate and atrazine, respectively, indicated that the fish were more sensitive to carbosulfan than the other two herbicides. There were large variations in the safe levels estimated by different methods for the pesticides. In addition to dose and dose-time dependent increase in mortality rate, stress signs in the form of behavioral changes were observed in response to the test pesticides ; Not Available","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Channa punctatus;Pesticides;LC50;Safe level;Toxicity;Respiration,NA,NA
