key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188830,"Effects of the antidepressant fluoxetine on pigment dispersion in chromatophores of the common sand shrimp, Crangon crangon: repeated experiments paint an inconclusive picture",2020,1,1,,9639292,29,9,,"Ford A.T., Feuerhelm E.",,,Springer,,"The effects of antidepressants in the environment are starting to generate considerable interest due to the fact that neurotransmitters influence a range of biological processes. Crypsis is an important behavioural and physiological response in many crustaceans modulated by monoamine and pigment dispersing/concentrating hormones. This study aimed to develop a test methodology and investigate the effects of the selective serotonin reuptake inhibitor (SSRI), fluoxetine, on a chromatophore index and overall carapace ‘darkness’ in the common sand shrimp Crangon crangon. Adult shrimp were exposed for either 1 h, 1 day or 1 week across a range of nominal fluoxetine concentrations (10 ng/L, 100 ng/L and 1000 ng/L) and the chromatophore index or carapace percentage ‘darkness’ was recorded following 30 min on white and black substrates. These experiments were repeated three times using different specimens. Animals became significantly darker (~20%) on darker background and lighter on light backgrounds as one might expect. However, time periods over which the animals were recorded had a significant impact on the colouration suggesting habituation to laboratory conditions. Fluoxetine exposure came up as a significant factor in two of the three trials for the chromatophore index but the results was inconsistent between trials. There was a high degree of correlation between the chromatophore index and the percentage darkness analyses however, there was no significant effects for fluoxetine exposure with the percentage darkness data. We conclude that the effects on antidepressants on colour change remain inconclusive from these experiments and we discuss potential areas to improve the repeatability of the experiments. © 2020, The Author(s).",,10.1007/s10646-020-02272-7,Fluoxetine;Antidepressive Agents,32857222,NA,effects of the antidepressant fluoxetine on pigment dispersion in chromatophores of the common sand shrimp crangon crangon repeated experiments paint an inconclusive picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188832,Behavioural and biochemical alterations by chlorpyrifos in aquatic insects: an emerging environmental concern for pristine Alpine habitats,2020,1,1,,9441344,27,25,,"Di Nica V., González A.B.M., Lencioni V., Villa S.",,,Springer,,"This study aimed to assess how different concentrations of the insecticide chlorpyrifos (1.1, 5.24, 11, 52.4, 110, 262, 524 and 1100 ng L−1) affect the swimming behaviour of Diamesa zernyi larvae following exposure. A video tracking system was employed to analyse two swimming traits (total distance moved and average speed) of the larvae simultaneously after 3 days of exposure to the pesticide at 2 °C. The behavioural results were also interpreted according to biochemical responses to oxidative stress (OS) induced by chlorpyrifos, based on malondialdehyde (MDA) and protein carbonyl (PCC) content. Both distance and speed significantly decreased after 72 h of exposure to chlorpyrifos concentrations of ≥ 110 ng L−1, under which significant OS was detected as lipid peroxidation (level of MDA) and protein carbonylation (level of carbonyl). Analysis of altered swimming behaviour, along with MDA and carbonyl content, indicated that ≥ 110 ng L−1 contamination levels of the insecticide cause the organism to reallocate energy normally used for locomotor activity to repair cell damage, which might explain the strong impairment to locomotor performance. Locomotor performance is an ecologically relevant trait for elucidating the population dynamics of key species, with disturbance to this trait having long-term negative impacts on population and community structure. Therefore, chlorpyrifos insecticides represent a serious ecological risk for mountain aquatic species based on the detrimental effects observed in the current study, as the tested concentrations were those at which the insecticide is found in many Alpine rivers of Italy. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",,10.1007/s11356-019-06467-2,,31630352,NA,behavioural and biochemical alterations by chlorpyrifos in aquatic insects an emerging environmental concern for pristine alpine habitats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188833,Reproduction in a polluted world: Implications for wildlife,2020,1,1,,14701626,160,2,,"Aulsebrook L.C., Bertram M.G., Martin J.M., Aulsebrook A.E., Brodin T., Evans J.P., Hall M.D., O'Bryan M.K., Pask A.J., Tyler C.R., Wong B.B.M.",,,BioScientifica Ltd.,,"Environmental pollution is an increasing problem for wildlife globally. Animals are confronted with many different forms of pollution, including chemicals, light, noise, and heat, and these can disrupt critical biological processes such as reproduction. Impacts on reproductive processes can dramatically reduce the number and quality of offspring produced by exposed individuals, and this can have further repercussions on the ecology and evolution of affected populations. Here, we illustrate how environmental pollutants can affect various components of reproduction in wildlife, including direct impacts on reproductive physiology and development, consequences for gamete quality and function, as well as effects on sexual communication, sexual selection, and parental care. We follow with a discussion of the broader ecological and evolutionary consequences of these effects on reproduction and suggest future directions that may enable us to better understand and address the effects of environmental pollution. © 2020 Society for Reproduction and Fertility",,10.1530/REP-20-0154,,32442963,NA,reproduction in a polluted world implications for wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188834,In situ assessment of health status and heavy metal bioaccumulation of adult Pelophylax ridibundus (Anura: Ranidae) individuals inhabiting polluted area in southern Bulgaria,2020,1,1,,1470160X,115,NA,,"Zhelev Z.M., Arnaudova D.N., Popgeorgiev G.S., Tsonev S.V.",,,Elsevier B.V.,,"In this study an assessment is made of how the marsh frog P. ridibundus individuals, being long-term inhabitants of an anthropogenically polluted habitat, are affected and what changes toxicants induce in the organism of anurans. In situ measurements of several morphophysiological and hematological parameters were performed to assess the health status of frogs, and after that the bioaccumulation of Pb, Cd, Zn and Cu in their bodies (muscles and liver) was determined. Moreover, P. ridibundus individuals were separated by sex to evaluate this mark as an inherent source of variability. The results revealed that the P. ridibundus individuals inhabiting an area polluted with industrial waste were anemic, with suppressed hematopoiesis and weakened immunity. In the tissues of frogs of both sexes inhabiting the polluted site, high levels of heavy metals and metalloids (Pb, Cd, Cu, Zn, As and Se) were found as compared to samples from a reference site. Furthermore, the levels of all metals and metalloids in these frogs were higher in the liver than in the muscles. Quantity differences were ascertained in the bioaccumulation of frogs inhabiting the polluted site: higher values of heavy metals in the tissues of females, and metalloids in the tissues of males. © 2020 Elsevier Ltd",,10.1016/j.ecolind.2020.106413,"Metals, Heavy;Health Status",NA,NA,in situ assessment of health status and heavy metal bioaccumulation of adult pelophylax ridibundus anura ranidae individuals inhabiting polluted area in southern bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188835,Chronic exposure to a pervasive pharmaceutical pollutant erodes among-individual phenotypic variation in a fish,2020,1,1,,2697491,263,NA,,"Tan H., Polverino G., Martin J.M., Bertram M.G., Wiles S.C., Palacios M.M., Bywater C.L., White C.R., Wong B.B.M.",,,Elsevier Ltd,,"Pharmaceutical pollution is now recognised as a major emerging agent of global change. Increasingly, pharmaceutical pollutants are documented to disrupt ecologically important physiological and behavioural traits in exposed wildlife. However, little is known about potential impacts of pharmaceutical exposure on among-individual variation in these traits, despite phenotypic diversity being critical for population resilience to environmental change. Furthermore, although wildlife commonly experience multiple stressors contemporaneously, potential interactive effects between pharmaceuticals and biological stressors—such as predation threat—remain poorly understood. To redress this, we investigated the impacts of long-term exposure to the pervasive pharmaceutical pollutant fluoxetine (Prozac®) on among-individual variation in metabolic and behavioural traits, and the combined impacts of fluoxetine exposure and predation threat on mean metabolic and behavioural traits in a freshwater fish, the guppy (Poecilia reticulata). Using a mesocosm system, guppy populations were exposed for 15 months to one of two field-realistic levels of fluoxetine (nominal concentrations: 30 and 300 ng/L) or a solvent control. Fish from these populations were then tested for metabolic rate (oxygen uptake) and behaviour (activity), both before and after experiencing one of three levels of a predation treatment: an empty tank, a non-predatory fish (Melanotaenia splendida) or a predatory fish (Leiopotherapon unicolor). Guppies from both fluoxetine treatments had ∼70% lower among-individual variation in their activity levels, compared to unexposed fish. Similarly, fluoxetine exposure at the higher dosage was associated with a significant (26%) reduction in individual-level variation in oxygen uptake relative to unexposed fish. In addition, mean baseline metabolic rate was disrupted in low-fluoxetine exposed fish, although mean metabolic and behavioural responses to predation threat were not affected. Overall, our study demonstrates that long-term exposure to a pervasive pharmaceutical pollutant alters ecologically relevant traits in fish and erodes among-individual variability, which may be detrimental to the stability of contaminated populations globally. © 2020 Elsevier Ltd",,10.1016/j.envpol.2020.114450,Phenotype,32283454,NA,chronic exposure to a pervasive pharmaceutical pollutant erodes amongindividual phenotypic variation in a fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188836,Raw and modified clays and clay minerals for the removal of pharmaceutical products from aqueous solutions: State of the art and future perspectives,2020,1,1,,10643389,50,14,,Thiebault T.,,,Taylor and Francis Inc.,,"The occurrence of pharmaceutical products (PPs) within environmental compartments challenges the scientific community and water treatment operators to find suitable and practicable removal solutions. Clay minerals are among the oldest and cheapest adsorbents used for the removal of organic and inorganic pollutants. However, despite their significant adsorption properties, little is known about their potential to remove organic contaminants such as pharmaceutical products from wastewater effluents. Hence, based on the latest published articles this review aims to standardize the adsorption properties of clay minerals for the removal of PPs. Specifically, the charge state of PPs appears to play a key role in their adsorption mechanism. In order to overcome the limitations of batch experiments (i.e. idealized solutions, static conditions) and design of a field solution, the impact of external parameters on the adsorption capacities of clay minerals is reviewed. The effect of thermal treatment and acid activation of clay minerals is also assessed in order to better understand the consequences of such modifications on the adsorption properties of clay-based adsorbents. Finally, even if most authors agree on the potential of clay-based adsorbents for the removal of PPs from wastewater, there remain significant gaps in the existing literature that need to be filled, with the aim of forecasting the real potential of clay-based treatment for the removal of pharmaceutical products at industrial scale. © 2019, © 2019 Taylor & Francis Group, LLC.",,10.1080/10643389.2019.1663065,,NA,NA,raw and modified clays and clay minerals for the removal of pharmaceutical products from aqueous solutions state of the art and future perspectives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188837,Long-Term Pharmaceutical Contamination and Temperature Stress Disrupt Fish Behavior,2020,1,1,,0013936X,54,13,,"Wiles S.C., Bertram M.G., Martin J.M., Tan H., Lehtonen T.K., Wong B.B.M.",,,American Chemical Society,,"Natural environments are subject to a range of anthropogenic stressors, with pharmaceutical pollution being among the fastest-growing agents of global change. However, despite wild animals living in complex multi-stressor environments, interactions between pharmaceutical exposure and other stressors remain poorly understood. Accordingly, we investigated effects of long-term exposure to the pervasive pharmaceutical contaminant fluoxetine (Prozac) and acute temperature stress on reproductive behaviors and activity levels in the guppy (Poecilia reticulata). Fish were exposed to environmentally realistic fluoxetine concentrations (measured average: 38 or 312 ng/L) or a solvent control for 15 months using a mesocosm system. Additionally, fish were subjected to one of three acute (24 h) temperature treatments: cold stress (18 °C), heat stress (32 °C), or a control (24 °C). We found no evidence for interactive effects of fluoxetine exposure and temperature stress on guppy behavior. However, both stressors had independent impacts. Fluoxetine exposure resulted in increased male coercive copulatory behavior, while fish activity levels were unaffected. Under cold-temperature stress, both sexes were less active and males exhibited less frequent reproductive behaviors. Our results demonstrate that long-term exposure to a common pharmaceutical pollutant and acute temperature stress alter fundamental fitness-related behaviors in fish, potentially shifting population dynamics in contaminated ecosystems. © 2020 American Chemical Society.",,10.1021/acs.est.0c01625,Temperature,32551542,NA,longterm pharmaceutical contamination and temperature stress disrupt fish behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188838,Sex Specific Differences Recorded in the Behavior of an Amphipod: Implications for Behavioral Toxicology,2020,1,1,,22967745,7,NA,,"Cherry T.-R., Kohler S.A., Ford A.T.",,,Frontiers Media S.A.,,"Behavior is a useful endpoint in ecotoxicological research; it links the biochemical effects of contamination with physiology of individuals, which can be applied to higher levels of organization with relevance to ecology. Animals exhibit species-specific and sex specific behaviors. Previous experiments within ecotoxicology using amphipods as models have either not separated by sex or have on the assumption that they may create more variability in the results. Therefore, the objectives of this study were to investigate the effect of time (which controlled light conditions), sex, and the interaction of time and sex on the swimming velocity in males and females of the marine amphipod Echinogammarus marinus. E. marinus exhibited a phototactic response to light, as is consistent with previous findings. It was determined that females swim significantly faster than males and that this response was enhanced during periods when the lights were switched off. This suggests that a greater understanding of the baseline unconditioned behaviors of experimental organisms is needed to avoid impacts of unknown variables on results. The results of this study reveal significant sexual differences in the baseline behavior of E. marinus which has implications for future research in ecotoxicology. It is recommended that in future research specimens be separated by sex prior to experimentation, in order to account for possible behavioral differences such as those observed in the present studies. This study also highlights the need for thorough observation of behavior over shorter time intervals as larger intervals may miss short-term variations. © Copyright © 2020 Cherry, Kohler and Ford.",,10.3389/fmars.2020.00370,,NA,NA,sex specific differences recorded in the behavior of an amphipod implications for behavioral toxicology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188839,Psychoactive pharmaceuticals in aquatic systems: A comparative assessment of environmental monitoring approaches for water and fish,2020,1,1,,2697491,261,NA,,"Grabicová K., Grabic R., Fedorova G., Kolářová J., Turek J., Brooks B.W., Randák T.",,,Elsevier Ltd,,"Grab water samples were related to observations from passive samplers; however, passive samplers was not related to tissue specific pharmaceuticals accumulation. © 2020 Elsevier LtdEnvironmental monitoring and surveillance studies of pharmaceuticals routinely examine occurrence of substances without current information on human consumption patterns. We selected 10 streams with diverse annual flows and differentially influenced by population densities to examine surface water occurrence and fish accumulation of select psychoactive medicines, for which consumption is increasing in the Czech Republic. We then tested whether passive sampling can provide a useful surrogate for exposure to these substances through grab sampling, body burdens of young of year fish, and tissue specific accumulation of these psychoactive contaminants. We identified a statistically significant (p < 0.05) relationship between ambient grab samples and passive samplers in these streams when psychoactive contaminants were commonly quantitated by targeted liquid chromatography with tandem mass spectrometry, though we did not observe relationships between passive samplers and tissue specific pharmaceutical accumulation. We further observed smaller lotic systems with elevated contamination when municipal effluent discharges from more highly populated cities contributed a greater extent of instream flows. These findings identify the importance of understanding age and species specific differences in fish uptake, internal disposition, metabolism and elimination of psychoactive drugs across surface water quality gradients. © 2020 Elsevier Ltd",,10.1016/j.envpol.2020.114150,,32062094,NA,psychoactive pharmaceuticals in aquatic systems a comparative assessment of environmental monitoring approaches for water and fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188840,Sulfamethoxazole/Trimethoprim ratio as a new marker in raw wastewaters: A critical review,2020,1,1,,489697,715,NA,,Thiebault T.,,,Elsevier B.V.,,"Global Trimethoprim (TMP) and Sulfamethoxazole (SMX) occurrences in raw wastewaters were systematically collected from the literature (n = 140 articles) in order to assess the relevance of using the SMX/TMP ratio as a marker of the main origin of wastewaters. These two antibiotics were selected due to their frequent use in association (i.e. co-trimoxazole) in a 5:1 ratio (SMX:TMP) for medication purposes, generating a unique opportunity to globally evaluate the validity of this ratio based on concentration values. Several parameters (e.g. sorption, biodegradation) may affect the theoretical SMX/TMP ratio. However, the collected data highlighted the good agreement between the theoretical ratio and the experimental one, especially in wastewater treatment plant influents and hospital effluents. Only livestock effluents displayed a very high SMX/TMP ratio, indicative of the very significant use of sulfonamide alone in this industry. Conversely, several countries displayed low SMX/TMP ratio values, highlighting local features in the human pharmacopoeia. This review provides new insights in order to develop an easy to handle and sound marker of wastewater origins (i.e. human/livestock), beyond atypical local customs. © 2020 Elsevier B.V.",,10.1016/j.scitotenv.2020.136916,,32041046,NA,sulfamethoxazoletrimethoprim ratio as a new marker in raw wastewaters a critical review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
