key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2
rayyan-1227193093,Effects of cadmium on olfactory mediated behaviors and molecular biomarkers in coho salmon (<i>Oncorhynchus kisutch</i>),2013,9,15,AQUATIC TOXICOLOGY,"[""0166-445X"", ""1879-1514     J9  - AQUAT TOXICOL     JI  - Aquat. Toxicol.""]",140,NA,295-302,"Williams, CR and Gallagher, EP",,English,,"Univ Washington, Dept Environm & Occupat Hlth Sci, Seattle, WA 98105 USA","The olfactory system of salmonids is sensitive to the adverse effects of metals such as copper and cadmium. In the current study, we analyzed olfactory-mediated alarm responses, epithelial injury and recovery, and a suite of olfactory molecular biomarkers encoding genes critical in maintaining olfactory function in juvenile coho salmon receiving acute exposures to cadmium (Cd). The molecular biomarkers analyzed included four G-protein coupled receptors (GPCRs) representing the two major classes of odorant receptors (salmon olfactory receptor sorb and vomeronasal receptors svra, svrb, and gpr27), as well as markers of neurite outgrowth (nrn1) and antioxidant responses to metals, including heme oxygenase 1 (hmox1), and peroxiredoxin 1 (prdx1). Coho received acute (8-168 h) exposures to 3.7 ppb and 347 ppb Cd, and a subset of fish was analyzed following a 16-day depuration. Coho exposed to 347 ppb Cd over 48 h exhibited a reduction in freeze responses, and an extensive loss of olfaction accompanied by histological injury to the olfactory epithelium. The olfactory injury in coho exposed to 347 ppb Cd was accompanied at the gene level by significant decreases in expression of the olfactory GPCRs and increased expression of hmoxl. Persistent behavioral deficits, histological injury and altered expression of a subset of olfactory biomarkers were still evident in Cd-exposed coho following a 16-day depuration in clean water. Exposure to 3.7 ppb Cd also resulted in reduced freeze responses and histological changes to the olfactory epithelium within 48 h of Cd exposure, although the extent of olfactory injury was less severe than observed for fish in the high dose Cd group. Furthermore adverse behavioral effects were present in some coho receiving the low dose of Cd following a 16-day depuration. In summary, acute exposures to environmental levels of Cd can cause olfactory injury in coho salmon that may persist following depuration. Mechanism-based biomarkers of oxidative stress and olfactory structures can augment the evaluation of olfactory injury manifested at the physiological level. (C) 2013 Elsevier B.V. All rights reserved.",Times Cited in Web of Science Core Collection:  26     Total Times Cited:  31     Cited Reference Count:  55,10.1016/j.aquatox.2013.06.010     WE  - Science Citation Index Expanded (SCI-EXPANDED),Biomarkers;Coho salmon;Olfaction;Cadmium;G-protein coupled receptors;Oxidative stress;Alarm response;RAINBOW-TROUT;GENE-EXPRESSION;STORMWATER RUNOFF;RECEPTOR NEURONS;HEME OXYGENASE-1;COPPER;EXPOSURE;MECHANISMS;PESTICIDE;PATHWAYS;Biological Markers,NA,NA,effects of cadmium on olfactory mediated behaviors and molecular biomarkers in coho salmon <i>oncorhynchus kisutch<i>
rayyan-1227193095,The <i>Escherichia coli</i> heat shock protease HtrA participates in defense against oxidative stress,1999,9,NA,MOLECULAR AND GENERAL GENETICS,0026-8925     J9  - MOL GEN GENET     JI  - Mol. Gen. Genet.,262,2,342-350,"Skórko-Glonek, J and Zurawa, D and Kuczwara, E and Wozniak, M and Wypych, Z and Lipinska, B",,English,,"[""Univ Gdansk, Dept Biochem, PL-80822 Gdansk, Poland"", ""Med Univ Gdansk, Dept Chem, PL-80211 Gdansk, Poland"", ""Polish Acad Sci, Marine Biol Ctr, Mol Biol Lab, PL-80822 Gdansk, Poland""]","The serine protease Htra (DegP), which is indispensable for cell survival at elevated temperatures, is a peripheral membrane protein, localized on the periplasmic side of the inner membrane in Escherichia coli, and the biochemical and genetic evidence indicates that the physiological role of HtrA is to degrade denatured proteins formed in the cellular envelope during heat shock. The aim of this study was to find out if the HtrA protease contributes to protection of the cell against oxidative stress. We compared the influence of various oxidizing agents on htrA mutant cells with their effects on wild-type bacteria, and found that the htr A mutation did not increase sensitivity to hydrogen peroxide or paraquat but made the cell extremely sensitive to ferrous [Fe(II)] ions, which are known to enhance oxidation of proteins. Treatment with ferrous ions caused a larger increase in the level of protein carbonyl groups in the membrane fraction of the cell than in the periplasm and cytoplasm. Iron-induced oxidation of membrane proteins was enhanced in the htrA mutant relative to wild-type cells. Inhibition of the growth of the htrA mutant by iron could be alleviated more efficiently by a nitroxide antioxidant that localizes in the membranes (A-TEMPO) than by a derivative (40H-TEM-PO) that acts mainly in the soluble fraction of the cell. Inhibition of the growth of the htrA mutant was more pronounced following treatment with cumene hydroperoxide, which partitions into membranes, than with t-butyl hydroperoxide, which forms radical mainly in the cytosol. Both ferrous ions and cumene hydroperoxide, but not hydrogen peroxide, paraquat or t-butyl hydroperoxide, induced synthesis of HtrA. Our results show that HtrA plays a role in defense against oxidative shock and support the hypothesis that HtrA participates in the degradation of oxidatively damaged proteins localized in the cell envelope, especially those associated with the membranes.",Times Cited in Web of Science Core Collection:  73     Total Times Cited:  82     Cited Reference Count:  54,10.1007/s004380051092     WE  - Science Citation Index Expanded (SCI-EXPANDED),HtrA protease;oxidative stress;ferrous ions;nitroxide antioxidants;arthritis;SALMONELLA-TYPHIMURIUM;SERINE-PROTEASE;ELEVATED-TEMPERATURES;DENATURED PROTEINS;LIPID-PEROXIDATION;HYDROGEN-PEROXIDE;CELL-ENVELOPE;GENE;IDENTIFICATION;DEGRADATION;Oxidative Stress;Hot Temperature;Escherichia coli,NA,NA,the <i>escherichia coli<i> heat shock protease htra participates in defense against oxidative stress
rayyan-1227193096,<i>Edwardsiella piscicida</i> virulence effector trxlp promotes the NLRC4 inflammasome activation during infection,2018,10,NA,MICROBIAL PATHOGENESIS,0882-4010     J9  - MICROB PATHOGENESIS     JI  - Microb. Pathog.,123,NA,496-504,"Xu, WT and Gu, ZY and Zhang, LZ and Zhang, YX and Liu, Q and Yang, DH",,English,,"[""East China Univ Sci & Technol, State Key Lab Bioreactor Engn, Shanghai 200237, Peoples R China"", ""Qingdao Natl Lab Marine Sci & Technol, Qingdao 266071, Peoples R China"", ""Shanghai Engn Res Ctr Marine Cultured Anim Vaccin, Shanghai 200237, Peoples R China""]","Edwardsiella piscicida is an important pathogenic bacterium that causes hemorrhagic septicemia in fish. This bacterium could activate NLRC4 and NLRP3 inflammasomes via type III secretion system (T3SS), and inhibit NLRP3 inflammasome via type VI secretion system (T6SS) effector during infection in macrophages. However, the roles of other virulence factors in regulating inflammasome activation during E. piscicida infection remain poorly understood. In this study, we focused on clarification the role of ETAE_RS10155, a thioredoxin-like protein (Trxlp), during bacterial infection in macrophages. We found that mutation of this gene barely influences the bacteria growth and infection capability. Interestingly, the inflammasome activation was reduced in Delta trxlp-infected macrophages, compared with wild-type E. piscicida did. Moreover, Trxlp mainly promotes the NLRC4, but not NLRP3 inflammasome activation during E. piscicida infection. Finally, Trxlp-mediated NLRC4 inflammasome activation is crucial for host surveillance in vivo. Taken together, our results clarify the complex and contextual role of bacterial virulence effector in modulating inflanunasome activation, and offer new insights into the warfare between the fish bacterial weapons and host innate immunological surveillance.",Times Cited in Web of Science Core Collection:  7     Total Times Cited:  9     Cited Reference Count:  35,10.1016/j.micpath.2018.08.016     WE  - Science Citation Index Expanded (SCI-EXPANDED),Edwardsiella piscicida;Virulence effector;Thioredoxin-like protein;NLRC4 inflammasome;III SECRETION;BACTERIAL FLAGELLIN;SYSTEM;RECOGNITION;TARDA;IDENTIFICATION;MECHANISM;LIGANDS,NA,NA,<i>edwardsiella piscicida<i> virulence effector trxlp promotes the nlrc4 inflammasome activation during infection
rayyan-1227193098,Synthesis of Novel Haptens and Development of an Enzyme-Linked Immunosorbent Assay for Quantification of Histamine in Foods,2014,12,24,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"[""0021-8561"", ""1520-5118     J9  - J AGR FOOD CHEM     JI  - J. Agric. Food Chem.""]",62,51,12299-12308,"Luo, L and Xu, ZL and Yang, JY and Xiao, ZL and Li, YJ and Beier, RC and Sun, YM and Lei, HT and Wang, H and Shen, YD",,English,,"[""South China Agr Univ, Guangdong Prov Key Lab Food Qual & Safety, Guangzhou 510642, Guangdong, Peoples R China"", ""Zhongshan Qual Supervis & Inspect Inst Agr Prod, Zhongshan 528403, Peoples R China"", ""ARS, Food & Feed Safety Res Unit, Southern Plains Agr Res Ctr, USDA, College Stn, TX 77845 USA""]","Novel haptens were designed and synthesized to prepare antibodies against free histamine, but none resulted in producing suitable antibodies for developing an enzyme-linked immunosorbent assay (ELISA). However, an antiserum was obtained having high specificity and affinity to p-nitrobenzoylated histamine (NPHA), which can be easily formed from reaction between histamine and p-nitrobenzoic acid N-hydroxysuccinimide ester (PNBA-OSu) under mild conditions. Based on rabbit polyclonal antibodies, a competitive indirect ELISA (ciELISA) for histamine determination in foods was developed. After ciELISA and derivatization optimization, the assay showed good sensitivity, with limits of detection of 1.8 mg/kg, 93.6 mu g/L, and 93.6 mu g/kg in fish, red wine, and yoghurt, respectively, with negligible cross-reactivity with related biogenic amines and amino acids. Average recovery of histamine in fortified food samples ranged from 80.9% to 110.1% with coefficients of variation below 16.3%. Good correlation between the ciELISA and liquid chromatography-tandem mass spectrometry was obtained for spiked food samples.",Times Cited in Web of Science Core Collection:  54     Total Times Cited:  59     Cited Reference Count:  39,10.1021/jf504689x     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Index Chemicus (IC),histamine;haptens;ELISA;BIOGENIC-AMINES;ORGANOPHOSPHORUS PESTICIDES;ANTIBODY;FISH;IMMUNOASSAY;SAMPLES;IDENTIFICATION;RECOGNITION;DERIVATIVES;PRODUCTS;Haptens;Enzyme-Linked Immunosorbent Assay;Food,NA,NA,synthesis of novel haptens and development of an enzymelinked immunosorbent assay for quantification of histamine in foods
rayyan-1227193099,Electrochemical sensing of methyl parathion on magnetic molecularly imprinted polymer,2018,10,30,BIOSENSORS & BIOELECTRONICS,"[""0956-5663"", ""1873-4235     J9  - BIOSENS BIOELECTRON     JI  - Biosens. Bioelectron.""]",118,NA,181-187,"Hassan, AHA and Moura, SL and Ali, FHM and Moselhy, WA and Sotomayor, MDT and Pividori, MI",,English,,"[""Univ Autonoma Barcelona, Dept Quim, Grp Sensors & Biosensors, E-08193 Barcelona, Spain"", ""Beni Suef Univ, Fac Vet Med, Food Hyg & Control Dept, Bani Suwayf 62511, Egypt"", ""Beni Suef Univ, Fac Vet Med, Forens Med & Toxicol Dept, Bani Suwayf 62511, Egypt"", ""Stare Univ Sao Paulo UNESP, Inst Chem, Dept Analyt Chem, BR-14801970 Araraquara, SP, Brazil""]","The electrochemical detection of methyl parathion in fish was performed by preconcentrating the pesticide on magnetic molecularly imprinted polymer and further readout on magneto-actuated electrode by square wave voltammetry. The magnetic molecularly imprinted polymer was synthesized by a magnetic core-shell strategy, using methacrylic acid as a functional monomer, and selected by theoretical calculation using the density functional theory (DFT). The characterization of this material was performed by SEM, TEM and XRD. Moreover, the binding capacity and selectivity towards methyl parathion was studied and compared with the corresponding magnetic non-imprinted polymer. The magneto-actuated electrochemical sensor showed outstanding analytical performance for the detection of methyl parathion in fish, with a limit of detection of as low as 1.22 x 10(-6) mg L-1 and recovery values ranging from 89.4% to 94.7%. The magnetic molecularly imprinted polymer successfully preconcentrated the analyte from the complex samples and paves the way to incorporate this material in other platforms for the detection of this pesticide in the field of environmental control and food safety.",Times Cited in Web of Science Core Collection:  67     Total Times Cited:  72     Cited Reference Count:  30,10.1016/j.bios.2018.06.052     WE  - Science Citation Index Expanded (SCI-EXPANDED),Magnetic molecularly imprinted polymer;Methyl parathion;Fish;Food safety;Electrochemical sensing;ORGANOPHOSPHORUS PESTICIDES;FOODBORNE PATHOGENS;GRAPHENE OXIDE;EXTRACTION;SEPARATION;SENSOR;CHROMATOGRAPHY;RECOGNITION;ADSORPTION;PARTICLES;Polymerization;Polymers,NA,NA,electrochemical sensing of methyl parathion on magnetic molecularly imprinted polymer
rayyan-1227193100,Carbon nanomaterial-based electrochemical biosensors for label-free sensing of environmental pollutants,2016,NA,NA,Chemosphere,00456535 (ISSN),143,NA,85-98,"Ramnani, P. and Saucedo, N.M. and Mulchandani, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951569830&doi=10.1016%2fj.chemosphere.2015.04.063&partnerID=40&md5=7e85cd852e0210cc30d1e064bb5d19cc,English,Elsevier Ltd,"[""Department of Chemical and Environmental Engineering, University of California, Riverside, 92521, CA, United States"", ""Department of Chemistry, University of California, Riverside, 92521, CA, United States""]","Carbon allotropes such as graphene and carbon nanotubes, have been incorporated in electrochemical biosensors for highly sensitive and selective detection of various analytes. The superior physical and electrical properties like high carrier mobility, ambipolar electric field effect, high surface area, flexibility and their compatibility with microfabrication techniques makes these carbon nanomaterials easy to integrate in field-effect transistor (FET)/chemiresistor type configuration which is suitable for portable and point-of-use/field-deployable sensors. This review covers the synthesis of carbon nanostructures (graphene and CNTs) and their integration into devices using various fabrication methods. Finally, we discuss the recent reports showing different sensing platforms that incorporate biomolecules like enzymes, antibodies and aptamers as recognition elements for fabrication of simple, low cost, compact biosensors that can be used for on-site, rapid environmental monitoring of environmental pollutants like pathogens, heavy metals, pesticides and explosives. © 2015 Elsevier Ltd.","Export Date: 01 March 2024; Cited By: 164; Correspondence Address: A. Mulchandani; Department of Chemical and Environmental Engineering, University of California, Riverside, 92521, United States; email: adani@engr.ucr.edu; CODEN: CMSHA",10.1016/j.chemosphere.2015.04.063,"Antibodies;Aptamers;Carbon nanotubes;Electrochemistry;Graphene;Pollutants;Adsorption;Anti-Bacterial Agents;Biosensing Techniques;Endocrine Disruptors;Environmental Monitoring;Environmental Pollutants;Escherichia coli;Explosive Agents;Graphite;Hydrogen-Ion Concentration;Nanotechnology;Nanotubes, Carbon;Pesticides;Trinitrotoluene;Biosensors;Field effect transistors;Heavy metals;Pollution;4,4' isopropylidenediphenol;acetylthiocholine;antibody;aptamer;arsenic;cadmium;carbon nanoparticle;carbon nanotube;endocrine disruptor;enzyme;epoxy resin;explosive;ferricyanide;glutaraldehyde;graphene;graphene oxide;heavy metal;hydrocarbon;lead;mercury;multi walled nanotube;nanomaterial;nanowire;nitrophenol;paraoxon;pesticide;phosphate;polycarbonate;polymer;triazophos;antiinfective agent;graphite;pollutant;trinitrotoluene;Ambipolar electric fields;Carbon Nanostructures;Electrochemical biosensor;Environmental pollutants;Micro-fabrication techniques;biotechnology;carbon;electrochemistry;environmental monitoring;nanoparticle;sensor;anodic stripping potentiometry;Article;biosensor;cyclic potentiometry;decomposition;electric current;electric potential;electrochemical biosensor;electrochemical detection;electrode;Enterobacteria phage T7;enzyme linked immunosorbent assay;Escherichia coli O157;field effect transistor;hydrolysis;microtechnology;nanofabrication;pollution monitoring;polymerase chain reaction;potential difference;Pseudomonas aeruginosa;Rotavirus;Rotavirus A;Salmonella enterica serovar Typhi;signal detection;vapor;adsorption;analysis;chemistry;genetic procedures;nanotechnology;pH;procedures;Electric field effects",NA,NA,carbon nanomaterialbased electrochemical biosensors for labelfree sensing of environmental pollutants
rayyan-1227193103,Recognition of phomopsis vexans in solanum melongena based on leaf disease spot features,2016,NA,NA,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,10026819 (ISSN),32,NA,184-189,"Tian, K. and Zhang, L. and Xiong, M. and Huang, Z. and Li, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957824136&doi=10.11975%2fj.issn.1002-6819.2016.z1.026&partnerID=40&md5=1ccfa49b9645aa8b18f28b95fa8c1aed,Chinese,Chinese Society of Agricultural Engineering,"[""College of Water Conservancy and Civil Engineering, South China Agricultural University, Guangzhou, 510642, China"", ""College of Mathematics and Informatics, South China Agricultural University, Guangzhou, 510642, China""]","Phomopsis vexans is one of the most devastating diseases of Solanum melongena. Early detection and prevention of crop diseases is critical to control the diseases, improve crop yields, reduce the economic losses and control pesticide pollution. Therefore, the research of recognition methods for crop diseases is necessary. This paper proposed a disease recognition method of phomopsis vexans in Solanum melongena, based on leaf disease spot features. In this method, computer vision technology was used as a means of digital image processing and pattern recognition technique, focusing on analysis of the diseased leaf spots of color, shape, texture parameters. Diseased sample image was collected through an image acquisition system which composed of FitPC and server with long-distance point-to-point transmission. The collected diseased leaf images were processed using a series of image pre-processing methods, such as image transforming, smoothing, and segmentation. After removing disturbance of noise with a median filter and excluded non-blade portion with Grabcut algorithm, the preprocessed image was obtained. Since the H-values of preprocessed image in the HSI color space were concentrated within a certain range, the threshold preprocessed image was chosen as the background of the diseased leaf image. The image segmentation method, based on the result of the background and the preprocessed image multiplication, was applied to separate the disease spot images from the diseased leaf images. The twelve color characteristic parameters, eleven shape feature parameters and eight texture feature parameters for each disease spot area, i. e. the 31 disease unions classifying features were extracted by statistical analysis. The feature vectors consisted of twenty strong classification feature parameters, which were selected by the variance and principal component analysis methods. Based on the training set that composed of 35 phomopsis vexans spot feature vectors and feature vectors of 35 other disease of Solanum melongena spot, Fischer discriminant function classification which use to classify the testing set was constructed. The recognition results of the kinds of phomopsis vexans by the proposed method were 90%. Under the premise of not changing the identify objects, to improve the accuracy of recognition, it required to consider of the influence of different classification feature vectors and different samples of training set on the recognition results. The results of control experiment showed that, the identification accuracy rate decreased with the reduction of the training set, and the identification accuracy of Fisher classification discriminant function constructed by feature vectors dropped without characteristic optimization. The causes of these results were that the sample of other disease of Solanum melongena contained phomopsis vexans similar diseases and redundancy parameters were presented in the original classification feature vetor. The analysis and experimental results in this paper demonstrate that before constructing discriminant function, enough training samples should be acquired and it's nesessary to select the effective parameters that identified well from the feature parameters. The proposed method indicated that using computer vision technology could realize the rapid and accurate identification of leaf diseases of Solanum melongena, and provide supporting technology to real-time detection on solanum melongena diseases in open field. This paper only studied crop leaf disease, while diseases of the stem and fruit were not involved, which remains to be further studied. © 2016, Editorial Department of the Transactions of the Chinese Society of Agricultural Engineering. All right reserved.","Export Date: 01 March 2024; Cited By: 18; Correspondence Address: J. Li; College of Water Conservancy and Civil Engineering, South China Agricultural University, Guangzhou, 510642, China; email: jhli@scau.edu.cn; CODEN: NGOXE",10.11975/j.issn.1002-6819.2016.z1.026,Computer vision;Discriminant analysis;Diseases;Image recognition;Phomopsis vexans;Solanum melongena;Color;Crops;Disease control;Image acquisition;Image analysis;Image processing;Image segmentation;Losses;Median filters;Pattern recognition;Plants (botany);Pollution control;Principal component analysis;Processing;Vectors;Computer vision technology;Identification accuracy;Image acquisition systems;Pattern recognition techniques;Phomopsis;Point-to-point transmissions;Principal component analysis method;Classification (of information),NA,NA,recognition of phomopsis vexans in solanum melongena based on leaf disease spot features
rayyan-1227193106,Modulation of adenosine signaling prevents scopolamine-induced cognitive impairment in zebrafish,2015,NA,NA,Neurobiology of Learning and Memory,10747427 (ISSN),118,NA,113-119,"Bortolotto, J.W. and de Melo, G.M. and Cognato, G.D.P. and Vianna, M.R.M. and Bonan, C.D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919686116&doi=10.1016%2fj.nlm.2014.11.016&partnerID=40&md5=5ae31d0c48015c1a0356842d96caa2b4,English,Academic Press Inc.,"[""Laboratório de Neuroquímica e Psicofarmacologia, Departamento de Biologia Celular e Molecular, Pontificia Universidade Catolica do Rio Grande do Sul, Programa de Pós-Graduaçao em Biologia Celular e Molecular, Faculdade de Biociencias, Avenida Ipiranga, 6681, Porto Alegre, RS, 90619-900, Brazil"", ""Programa de Pos-Graduacão em Bioquímica e Bioprospecção, Universidade Federal de Pelotas, Campus Universitário Capão do Leão, CEP, Pelotas, RS, 96010-900, Brazil"", ""Laboratório de Biologia e Desenvolvimento do Sistema Nervoso, Departamento de Ciencias Morfofisiologicas, Pontificia Universidade Catolica do Rio Grande do Sul, Programa de Pos-Graduacão em Biologia Celular e Molecular, Faculdade de Biociencias, Avenida Ipiranga, 6681, Porto Alegre,RS, 90619-900, Brazil"", ""ZebLab - Grupo de Pesquisa em modelos experimentais em zebrafish, Faculdade de Biociências, Pontifícia Universidade Católica do Rio Grande do Sul, Avenida Ipiranga, 6681, Porto Alegre, RS, 90619-900, Brazil""]","Adenosine, a purine ribonucleoside, exhibits neuromodulatory and neuroprotective effects in the brain and is involved in memory formation and cognitive function. Adenosine signaling is mediated by adenosine receptors (A1, A2A, A2B, and A3); in turn, nucleotide and nucleoside-metabolizing enzymes and adenosine transporters regulate its levels. Scopolamine, a muscarinic cholinergic receptor antagonist, has profound amnesic effects in a variety of learning paradigms and has been used to induce cognitive deficits in animal models. This study investigated the effects of acute exposure to caffeine (a non-selective antagonist of adenosine receptors A1 and A2A), ZM 241385 (adenosine receptor A2A antagonist), DPCPX (adenosine receptor A1 antagonist), dipyridamole (inhibitor of nucleoside transporters) and EHNA (inhibitor of adenosine deaminase) in a model of pharmacological cognitive impairment induced by scopolamine in adult zebrafish. Caffeine, ZM 241385, DPCPX, dipyridamole, and EHNA were acutely administered independently via i.p. in zebrafish, followed by exposure to scopolamine dissolved in tank water (200μM). These compounds prevented the scopolamine-induced amnesia without impacting locomotor activity or social interaction. Together, these data support the hypothesis that adenosine signaling may modulate memory processing, suggesting that these compounds present a potential preventive strategy against cognitive impairment. © 2014 Elsevier Inc.",Export Date: 01 March 2024; Cited By: 39; CODEN: NLMEF,10.1016/j.nlm.2014.11.016,"Adenosine;Inhibitory avoidance;Memory;Scopolamine;Zebrafish;Adenine;Adenosine Deaminase Inhibitors;Animals;Avoidance Learning;Cognition Disorders;Dipyridamole;Disease Models, Animal;Motor Activity;Muscarinic Antagonists;Nucleoside Transport Proteins;Purinergic P1 Receptor Antagonists;Scopolamine Hydrobromide;Signal Transduction;Social Behavior;4 [2 [7 amino 2 (2 furyl) 1,2,4 triazolo[2,3 a][1,3,5]triazin 5 ylamino]ethyl]phenol;8 cyclopentyl 1,3 dipropylxanthine;9 (2 hydroxy 3 nonyl)adenine;adenosine;caffeine;dipyridamole;scopolamine;9-(2-hydroxy-3-nonyl)adenine;adenine;adenosine deaminase inhibitor;adenosine receptor blocking agent;muscarinic receptor blocking agent;nucleoside transporter;scopolamine bromide;acute drug administration;adult;amnesia;animal experiment;animal model;Article;cognitive defect;controlled study;locomotion;neuromodulation;neurophysiology;nonhuman;signal transduction;social interaction;zebra fish;analogs and derivatives;animal;antagonists and inhibitors;avoidance behavior;chemically induced;disease model;drug effects;metabolism;motor activity;social behavior;Cognition",NA,NA,modulation of adenosine signaling prevents scopolamineinduced cognitive impairment in zebrafish
rayyan-1227193107,Deltamethrin (AlphaMax™) reveals modulation of genes related to oxidative stress in the ectoparasite Caligus rogercresseyi: Implications on delousing drug effectiveness,2014,NA,NA,Aquaculture,00448486 (ISSN),433,NA,421-429,"Chavez-Mardones, J. and Gallardo-Escárate, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904611322&doi=10.1016%2fj.aquaculture.2014.06.017&partnerID=40&md5=3f90b236784a95a5d113811b07f956b2,English,Elsevier,"Laboratory of Biotechnology and Aquatic Genomics, Interdisciplinary Center for Aquaculture Research (INCAR), University of Concepción, Concepción, P. O. Box 160-C, Chile","Deltamethrin is an insecticide authorized for use against the ectoparasite Caligus rogercresseyi in salmon aquaculture. The biodegradation of this insecticide is principally catalyzed through P450 enzymes, carboxylesterases, and glutathione-S-transferase, increasing the amount of free radicals that could promote the activation of oxidative stress response. The present study identified and evaluated the transcriptomic expression of genes related to the antioxidant system in male and female C. rogercresseyi exposed to deltamethrin (AlphaMax™). Herein, thirty-three transcripts were identified from an EST-database, including CrGST, CrGST-kappa 1, CrSOD, CrCAT, CrSE-GPx, CrPHGP1, CrPHGP2, CrPRX6, CrPRX2, CrPRX4, and CrFERR. The transcription patterns during the life cycle of C. rogercresseyi revealed conspicuous clusters of gene expression, which was composed by CrGST and CrPRX2 associated with the early stages of larval development, and CrSE-GPx and CrPHGP1 mainly related to adults. Moreover, the transcript expression for 11 genes of the antioxidant system exposed to deltamethrin revealed that at 2. ppb the transcriptional activity of CrSOD, CrCAT, CrPRX6, CrPHGP1, and CrPHGP2 was significantly up-regulated. These results suggest that deltamethrin modulates the expression of genes belonging to the antioxidant system in salmon lice, promoting the generation of free radicals for the biodegradation of the insecticide. The implications of this antioxidant activity on the effectiveness of delousing drugs in controlling C. rogercresseyi are discussed. © 2014 Elsevier B.V.","Export Date: 01 March 2024; Cited By: 21; Correspondence Address: C. Gallardo-Escárate; Laboratory of Biotechnology and Aquatic Genomics, Interdisciplinary Center for Aquaculture Research (INCAR), University of Concepción, Concepción, P. O. Box 160-C, Chile; email: crisgallardo@udec.cl; CODEN: AQCLA",10.1016/j.aquaculture.2014.06.017,Deltamethrin;GST;P450 enzymes;QPCR;RNA-seq;ROS;Caligus rogercresseyi;antioxidant;deltamethrin;drug;ectoparasite;enzyme activity;free radical;gene expression;larval development;louse;oxidation;parasite control;pesticide application;polymerase chain reaction;salmonid culture;antipredator defense;aquaculture;biodegradation;catalysis;insecticide;marine ecosystem;Oxidative Stress,NA,NA,deltamethrin alphamax™ reveals modulation of genes related to oxidative stress in the ectoparasite caligus rogercresseyi implications on delousing drug effectiveness
rayyan-1227193110,Synthetic pyrethroids (Type II) and freshwater fish culture: Perils and mitigations,2015,NA,NA,International Aquatic Research,20084935 (ISSN),7,3,163-191,"Prusty, A.K. and Meena, D.K. and Mohapatra, S. and Panikkar, P. and Das, P. and Gupta, S.K. and Behera, B.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938691177&doi=10.1007%2fs40071-015-0106-x&partnerID=40&md5=9f71ed459eccadca961280163c11c370,English,Springer Verlag,"[""Project Directorate for Farming System Research (PDFSR), Modipuram, Meerut, 250110, UP, India"", ""Central Inland Fisheries Research Institute (CIFRI), Barrackpore, Kolkata, 700120, West Bengal, India"", ""Central Institute of Fisheries Education (CIFE), Versova, Andheri (W), Mumbai, 400061, India"", ""CIFRI Regional Centre, Hessarghatta Lake Post, Bangalore, 560089, Karnataka, India"", ""CIFRI Regional Centre, Guwahati, 781006, Assam, India"", ""Directorate of Coldwater Fisheries Research (DCFR), Chhirapani Fish Farm, Champawat, 262523, Uttarakhand, India""]","As a new class of agricultural insecticides, synthetic pyrethroids are widely used to control insect pests. Synthetic pyrethroids have been shown to enter the aquatic environment from agricultural runoff or drift from aerial and ground-based spraying applications posing threat to fishes which are less tolerant to pesticides through direct exposure. These insecticides interfere with the sodium channel of the nervous system resulting in prolonged sodium tail current. Widespread application of these chemicals has warranted the attention of the ecologist to understand the impact of these chemicals on the aquatic environment. In this perspective, an updated account of toxicological evaluation of three type II synthetic pyrethroids, viz. deltamethrin, cypermethrin and fenvalerate in terms of their physico-chemical, metabolic, hematological, histological, behavioral and reproductive aspects with respect to the fishes has been presented which may be useful for policy makers, academics, environmental scientists and agricultural professionals needing ready access to this information. The aim of the present synoptic literature appraisal was to summarize the main effect of current use, type II synthetic pyrethroids (deltamethrin, cypermethrin and fenvalerate) on aquatic environment due to their persistence and accumulation. This article will focus on non-target organisms in inland fresh water environment with special reference to fin fishes and will critically evaluate the toxicity of these pyrethroids in terms of growth inhibition, metabolic disorders, neurotoxicity, reproductive failure, enzymatic dysfunction, haematological alterations, and tissue damages. The rationalized information in this milieu may be useful in ecological risk evaluation and human health management as fish serves as an important bio-indicator for aquatic systems health. © 2015, The Author(s).","Export Date: 01 March 2024; Cited By: 41; Correspondence Address: D.K. Meena; Central Inland Fisheries Research Institute (CIFRI), Kolkata, Barrackpore, 700120, India; email: dkmeenafnb@gmail.com",10.1007/s40071-015-0106-x,Cypermethrin;Deltamethrin;Fenvalerate;Fishes;Pyrethroids;Toxicological assessment;Hexapoda;Pisces,NA,NA,synthetic pyrethroids type ii and freshwater fish culture perils and mitigations
