"","key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"36","rayyan-732627122","Movement analysis of medaka (oryzias latipes) for an insecticide using decision tree",2005,NA,NA,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","03029743 (ISSN); 3540292306 (ISBN); 978-354029230-2 (ISBN)",3735,NA,"150-162","Lee, S. and Kim, J. and Baek, J.-Y. and Han, M.-W. and Ji, C.W. and Chon, T.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745322134&doi=10.1007%2f11563983_14&partnerID=40&md5=0faeb76cdd0618d5d2194c7d0eafbfcd","English","Springer Verlag","[""School of Electrical Engineering, Pusan National University, Geumjeong-gu, 609-735 Busan, Jangjeon-dong, South Korea"", ""Korea Minjok Leadership Academy, Heongseong-gun, Gangwon-do, 225-823, Sosa-ri, Anheung-myeon, South Korea"", ""Division of Biological Sciences, Pusan National University, Geumjeong-gu, 609-735 Busan, Jangjeon-dong, South Korea""]","Behavioral sequences of the medaka (Oryzias latipes) were continuously investigated through an automatic image recognition system in response to medaka treated with the insecticide and medaka not treated with the insecticide, diazinon (0.1 mg/1) during a 1 hour period, The observation of behavior through the movement tracking program showed many patterns of the medaka. After much observation, behavioral patterns were divided into four basic patterns: active-smooth, active-shaking, inactive-smooth, and inactive-shaking. The ""smooth"" and ""shaking"" patterns were shown as normal movement behavior. However, the ""shaking"" pattern was more frequently observed than the ""smooth"" pattern in medaka specimens that were treated with insecticide. Each pattern was classified using a devised decision tree after the feature choice. It provides a natural way to incorporate prior knowledge from human experts in fish behavior and contains the information in a logical expression tree. The main focus of this study was to determine whether the decision tree could be useful for interpreting and classifying behavior patterns of the medaka. © Springer-Verlag Berlin Heidelberg 2005.","Export Date: 01 March 2024; Cited By: 1; Correspondence Address: S. Lee; School of Electrical Engineering, Pusan National University, Geumjeong-gu, 609-735 Busan, Jangjeon-dong, South Korea; email: youandi@pusan.ac.kr; Conference name: 8th International Conference on Discovery Science, DS 2005; Conference date: 8 October 2005 through 11 October 2005; Conference code: 67553 | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Excluded""} | RAYYAN-LABELS: unsure on behaviours measured","10.1007/11563983_14","Image analysis;Insecticides;Tracking (position);Trees (mathematics);Decision tree;Image recognition systems;Logical expression trees;Movement tracking program;Decision theory;Decision Trees;Trees",NA,NA
"37","rayyan-732627123","Butyl benzyl phthalate affects shoaling behavior and bottom-dwelling behavior in threespine stickleback",2002,6,NA,"ENVIRONMENTAL RESEARCH","0013-9351     J9  - ENVIRON RES     JI  - Environ. Res.",89,2,"180-187","Wibe, ÅE and Billing, A and Rosenqvist, G and Jenssen, BM","","English","","[""Norwegian Univ Sci & Technol, Dept Zool, N-7491 Trondheim, Norway"", ""Akvaforsk AS, Inst Aquaculture Res, N-6600 Sunndalsora, Norway""]","In this laboratory experiment, the effects on fish behavior caused by butyl benzyl phthalate (BBP) were of interest. We showed that shoaling behavior and bottom-dwelling behavior in threespine stickleback, Gasterosteus aculeatus, were altered as a result of exposure to 0.1 mg/L BBP. Threespine sticklebacks, collected from a freshwater population in central Norway, were exposed to BBP for 26 days. BBP was administered daily through the water. We found that exposed fish aggregated more into one single shoal than control fish. Further, the exposed fish spent more time at the bottom of the test aquarium than the control fish. From these results we conclude that the behavior traits aggregation and bottom-dwelling activity may be suitable and sensitive in detecting effects of BBP in threespine stickleback. (C) 2002 Elsevier Science (USA).","Times Cited in Web of Science Core Collection:  33     Total Times Cited:  37     Cited Reference Count:  33 | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Jack""=>""Maybe""} | RAYYAN-EXCLUSION-REASONS: not pesticide | USER-NOTES: {""Jack""=>[""pesticide?""]}","10.1006/enrs.2002.4360     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Gasterosteus aculeatus;shoaling behavior;bottom-dwelling behavior;BBP;biomarker;UNDIRECTED LOCOMOTOR BEHAVIOR;SUBLETHAL TOXICITY;MEASUREMENT PARAMETERS;3-SPINED STICKLEBACKS;FISH;ESTERS;STRESS;QUALIFICATION;CONTAMINANTS;VARIABILITY",NA,NA
"38","rayyan-732627124","Responses of the medaka HPG axis PCR array and reproduction to prochloraz and ketoconazole",2008,9,1,"ENVIRONMENTAL SCIENCE & TECHNOLOGY","[""0013-936X"", ""1520-5851     J9  - ENVIRON SCI TECHNOL     JI  - Environ. Sci. Technol.""]",42,17,"6762-6769","Zhang, XW and Hecker, M and Jones, PD and Newsted, J and Au, D and Kong, R and Wu, RSS and Giesy, JP","","English","","[""Michigan State Univ, Dept Zool, E Lansing, MI 48824 USA"", ""Michigan State Univ, Natl Food Safety & Toxicol Ctr, E Lansing, MI 48824 USA"", ""Michigan State Univ, Ctr Integrat Toxicol, E Lansing, MI 48824 USA"", ""ENTRIX Inc, Saskatoon, SK, Canada"", ""Univ Saskatchewan, Toxicol Ctr, Saskatoon, SK, Canada"", ""ENTRIX Inc, Okemos, MI USA"", ""City Univ Hong Kong, Dept Biol & Chem, Hong Kong, Hong Kong, Peoples R China"", ""Univ Saskatchewan, Dept Vet Biomed Sci, Saskatoon, SK, Canada""]","Effects of two model imidazole-type fungicides, prochloraz (PCZ) and ketoconazole (KTC), on the hypothalamic-pituitary-gonadal (HPG) axis of the Japanese medaka (Oryzias latipe) were examined by use of real time PCR (RT-PCR) array. Fourteen-week-old Japanese medaka were exposed for seven days to concentrations of PCZ or KTC from 3.0 to 300 mu g/L. Exposure to KTC or PCZ caused significant reduction of fecundity of Japanese medaka and down-regulated expression of estrogen receptor (ER)-alpha and egg precursors in livers of males and females. However, PCZ was more potent than KTC both in modulating transcription and causing lesser fecundity. Exposure to nominal 30 mu g PCZ/L resulted in 50% less fecundity and significant down-regulation of vitellogenin II expression, but KTC did not cause such effects at this concentration. Exposure to PCZ caused a compensatory up-regulation in cytochrome P450 c17 alpha hydroxylase, 17,20-lyase (CYP17) and aromatase (CYP19) expression in the ovary, while KTC did not. Furthermore, the ecologically relevant end point, fecundity was log-log related to mRNA level of six genes in livers of females.","Times Cited in Web of Science Core Collection:  80     Total Times Cited:  82     Cited Reference Count:  27 | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Jack""=>""Maybe""} | USER-NOTES: {""Jack""=>[""possibly has a correct outcome, not sure if this is adults though at 14 weeks""]}","10.1021/es800591t     WE  - Science Citation Index Expanded (SCI-EXPANDED)","SCREENING METHODS;STEROIDOGENESIS;CHEMICALS;FUNGICIDES;AROMATASE;WORKSHOP;RECEPTOR;ASSAYS;BRAIN;MODEL;Polymerase Chain Reaction;Ketoconazole",NA,NA
"39","rayyan-732627125","Acute toxicity of an organophosphorus insecticide monocrotophos and its effects on behaviour of an air-breathing fish, Anabas testudineus (Bloch)",2000,NA,NA,"Journal of Environmental Biology","02548704 (ISSN)",21,2,"121-123","Santhakumar, M. and Balaji, M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034067089&partnerID=40&md5=22a3585e8decb6f9d1d45224b8d5c11b","English","Triveni Enterprises","Department of Zoology, K.M. Centre for P.G. Studies, Lawspet, Pondicherry - 605 008, India","Acute toxicity of insecticide monocrotophos to the fresh water fish Anabas testudineus was studied using static bioassay method. The 24, 48, 72 and 96 h LC50 were found to be 22.65, 21.2, 19.75 and 19 ppm respectively. The calculated safe concentration of monocrotophos was 0.19 ppm. Decrease in opercular movement, loss of equilibrium, increase in surfacing behaviour, change in body colour, increase in mucus secretion all over the body, irregular swimming activity, increase in nudge, nip and aggressiveness were observed in fish on exposure to monocrotophos.","Export Date: 01 March 2024; Cited By: 17; CODEN: JEBID | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Maybe""} | RAYYAN-LABELS: not sure on behaviours measured","","Acute toxicity;Anabas testudineus;Behaviour;Monocrotophos;Animalia;organophosphate insecticide;behavioral response;insecticide;organophosphate;toxicity;acute toxicity;animal behavior;article;color;fish;mucus secretion;nonhuman;water contamination;Respiration;Insecticides",NA,NA
"40","rayyan-732627126","Diazinon disrupts antipredator and homing behaviors in chinook salmon (Oncorhynchus tshawytscha)",2000,NA,NA,"Canadian Journal of Fisheries and Aquatic Sciences","0706652X (ISSN)",57,9,"1911-1918","Scholz, N.L. and Truelove, N.K. and French, B.L. and Berejikian, B.A. and Quinn, T.P. and Casillas, E. and Collier, T.K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033746403&doi=10.1139%2ff00-147&partnerID=40&md5=23910860700d38fb210c3f2e1052ef09","English","National Research Council of Canada","National Marine Fisheries Service, Environmental Conservation Division, Seattle, WA 98112, 2725 Montlake Boulevard E., United States","Neurotoxic pesticides are known to contaminate surface waters that provide habitat for salmonids, including some listed for protection under the U.S. Endangered Species Act. Despite their widespread use, the impacts of these pesticides on the neurological health of wild salmon are not well understood. Of particular concern are the organophosphate and carbamate insecticides that block synaptic transmission by inhibiting neuronal acetylcholinesterase. Here we assess the effects of diazinon, an organophosphate insecticide, on alarm pheromone induced antipredator responses and homing behavior in chinook salmon (Oncorhynchus tshawytscha). Nominal exposure concentrations (0.1, 1.0, and 10.0 μg·L-1) were chosen to emulate diazinon pulses in the natural environment. In the antipredator study, diazinon had no effect on swimming behavior or visually guided food capture. However, the pesticide significantly inhibited olfactory-mediated alarm responses at concentrations as low as 1.0 μg·L-1. Similarly, homing behavior was impaired at 10.0 μg·L-1. Our results suggest that olfactory-mediated behaviors are sensitive to anticholinesterase neurotoxicity in salmonids and that short-term, sublethal exposures to these insecticides may cause significant behavioral deficits. Such deficits may have negative consequences for survival and reproductive success in these fish.","Export Date: 01 March 2024; Cited By: 184; Correspondence Address: N.L. Scholz; National Marine Fisheries Service, Environmental Conservation Division, Seattle, WA 98112, 2725 Montlake Boulevard E., United States; email: Nathaniel.Scholz@noaa.gov; CODEN: CJFSD | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Included""} | RAYYAN-LABELS: may do other relevant behaviours | USER-NOTES: {""Jack""=>[""\""alarm pheromone induced antipredator responses\"" is conspecific information transfer... not sure if this will count as correct outcome or not""]}","10.1139/f00-147","Oncorhynchus tshawytscha;antipredator defense;behavioral ecology;homing behavior;pesticide;pollution effect;salmonid",NA,NA
"41","rayyan-732627127","Effects of Acrobat MZ® and Tattoo C® on Japanese medaka (Oryzias latipes) development and adult male behavior",2001,NA,NA,"Aquatic Toxicology","0166445X (ISSN)",51,4,"419-430","Teather, K. and Harris, M. and Boswell, J. and Gray, M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035216370&doi=10.1016%2fS0166-445X%2800%2900124-7&partnerID=40&md5=fa700f5602cdd2403822f88e463bf567","English","","[""Department of Biology, University of Prince Edward Island, Charlottetown, PE, C1A 4P3, Canada"", ""Department of Biology, University of New Brunswick, Fredericton, NB, E3B 6E1, Canada""]","Exposure of Japanese medaka (Oryzias latipes) embryos and adult males to sublethal concentrations of two commonly used fungicides, Acrobat MZ and Tattoo C, had varying effects on development and adult male behavior. During embryolarval assays, medaka exposed to Acrobat exhibited decreased heart rates throughout embryonic development and were smaller at hatching than controls. Differences in hatching size were not apparent with Tattoo although some decrease in heart rate was observed at higher concentrations. Tail lesions and abnormal spinal development was a problem common to embryos exposed to Acrobat. Neither time to hatch nor early growth was affected by exposure to either fungicide. Adult males that had been exposed to high concentrations of Acrobat or Tattoo over a 28-day period were less likely to approach females during behavioral trials. The absence of other behavioral effects, particularly those related to reproductive performance, may have been due to females being sexually unreceptive during behavioral trials. No other behavioral modifications were apparent for adult males exposed to either fungicide. Information about developmental and behavioral responses to sublethal concentrations of pesticides is important for establishing environmental guidelines concerning their use. (C) 2001 Elsevier Science B.V.","Export Date: 01 March 2024; Cited By: 21; Correspondence Address: K. Teather; Department of Biology, University of Prince Edward Island, Charlottetown, PEI C1A 4P3, Canada; email: kteather@upei.ca; CODEN: AQTOD | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Included""} | RAYYAN-LABELS: unsure on behaviours measured","10.1016/S0166-445X(00)00124-7","Acrobat;Fungicide;Life cycle test;Medaka (Oryzias latipes);Tattoo;Abnormalities, Drug-Induced;Animals;Behavior, Animal;Carbamates;Copulation;Embryo, Nonmammalian;Female;Fungicides, Industrial;Growth;Heart Rate;Larva;Male;Maneb;Morpholines;Nitriles;Oryzias;Pregnancy;Prenatal Exposure Delayed Effects;Sexual Behavior, Animal;Zineb;Animalia;Cyprinodontiformes;Latipes;Oryzias latipes;chlorothalonil;dimethomorph;fungicide;mancozeb;unclassified drug;embryonic development;male behavior;pollution effect;animal behavior;animal experiment;article;body size;controlled study;embryo development;female;heart rate;male;mating;nonhuman;priority journal;propamocarb;reproduction;spinal cord malformation;tail;toxicokinetics;Tattooing",NA,NA
"42","rayyan-732627128","A study of neurotoxicity of BHC in relation to residual accumulation on the brain tissue of heteropneustes fossilis (Bloch)",2003,NA,NA,"Journal of Environmental Biology","02548704 (ISSN)",24,1,"77-80","Hazarika, R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037276715&partnerID=40&md5=5b78976789709b5ad34686aff946bc10","English","Triveni Enterprises","Department of Zoology, M.C. College, Barpeta-781 301, Assam, India","Neurotoxic effect of BHC, the organochlorine pesticide in Heteropneustes fossilis has been studied exposing at the dose concentrations of 1 ppm, 5 ppm and 10 ppm in lab aquarium for 96 hours over a period of one year. The results showed the behavioural abnormalities in different exposure concentrations such as dysfunction of endocrine gland, excretion of mucus, dispigmentation, sign of restlessness, erratic swimming with rapid jurkey movement, spiralling and convolution showing severe effect in central nervous system. Therefore an attempt has been made for monitoring of BHC residues viz. α, β, γ isomers in the brain tissue exposed to different sublethal concentrations using Gas liquid chromatography. The mean values of isomers were found to be 1.587 μg/gm for 1 ppm, 2.993 μg/gm for 5 ppm and 3.78 μg/gm for 10 ppm test group. Severe behavioural abnormalities were recorded at high dose concentration of pesticides with higher accumulation of pesticide residues in brain tissue.","Export Date: 01 March 2024; Cited By: 1; Correspondence Address: R. Hazarika; Department of Zoology, M.C. College, Barpeta-781 301, Assam, India; email: rranjit96@rediffmail.com; CODEN: JEBID | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Jack""=>""Maybe""} | USER-NOTES: {""Jack""=>[""maybe has one relevant outcome""]}","","Behavioural abnormality;BHC;Neurotoxicity;Organochlorine pesticide;Residual accumulation;Animalia;Heteropneustes fossilis;lindane;organochlorine;pesticide;pollution effect;animal behavior;animal model;animal tissue;article;behavior disorder;biological monitoring;brain tissue;central nervous system;concentration response;controlled study;endocrine gland;fish;fossil;gas liquid chromatography;isomer;mucus secretion;neurotoxicity;nonhuman;restlessness;swimming;Brain",NA,NA
"43","rayyan-732627129","Antiandrogenic pesticides disrupt sexual characteristics in the adult male guppy (Poecilia reticula)",2001,NA,NA,"Environmental Health Perspectives","00916765 (ISSN)",109,10,"1063-1069","Baatrup, E. and Junge, M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035184848&doi=10.1289%2fehp.011091063&partnerID=40&md5=cb78da3f94916706cce2fa366953a086","English","Public Health Services, US Dept of Health and Human Services","[""Institute of Biological Sciences, Department of Zoology, University of Aarhus, Aarhus, Denmark"", ""Institute of Biological Sciences, Department of Zoology, University of Aarhus, DK-8000 Aarhus C, Denmark""]","Environmental contaminants have been identified as endocrine disruptors through their antiandrogenic activity. Thus, as androgen receptor antagonists, the fungicide vinclozolin and the principal DDT metabolite p,p'-DDE have been demonstrated to induce demasculinization in rats. Whether this is also the case in fish remains to be demonstrated. For a period of 30 days, groups of adult male guppies were exposed to vinclozolin, p,p'-DDE, or the therapeutic antiandrogen flutamide (used as positive control) applied to the fodder at concentrations between 0.1 and 100 μg/g fodder. Subsequently, sexual characteristics of relevance to the male reproductive capacity were measured and compared with untreated control fish. All three chemicals caused profound alterations at increasing levels of biological organization, even in these fully matured males. At the cellular level, the three compounds induced a significant reduction in the number of ejaculated sperm cells. At the organ level, the sexually attractive orange-yellow coloration was reduced in area and discolored, and treated fish also had smaller testes. Further, at the organismal level, computer-aided behavior analyses demonstrated a severe disruption in male courtship behavior. We conclude that this demasculinization is consistent with an antiandrogenic action of vinclozolin and p,p'-DDE and is likely to compromise reproductive capability in this fish.","Export Date: 01 March 2024; Cited By: 166; Correspondence Address: E. Baatrup; Institute of Biological Sciences, Department of Zoology, University of Aarhus, DK-8000 Aarhus C, Building 135, Denmark; email: erik.baatrup@biology.au.dk; CODEN: EVHPA | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Excluded""} | RAYYAN-LABELS: unsure if measures behaviour | RAYYAN-EXCLUSION-REASONS: wrong drug | USER-NOTES: {""Jack""=>[""not waterborne""]}","10.1289/ehp.011091063","Antiandrogenic effects;Courtship behavior;Endocrine disruptor;Flutamide;Guppies;p,p-DDE;Poecilia reticulata;Sexual characteristics;Vinclozolin;Animalia;Poecilia;Vertebrata;1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene;antiandrogen;flutamide;pesticide;vinclozolin;animal behavior;animal experiment;animal tissue;article;cell level;color;computer aided design;concentration response;controlled study;courtship;ejaculation;fish;guppy;male;male genital system;masculinity;nonhuman;priority journal;reproductive toxicity;sexual maturity;spermatozoon count;testis;Pesticides;Androgen Antagonists",NA,NA
"44","rayyan-732627130","Alteration in sperm release from zebrafish (Brachydanio rerio) exposed to DDT",2002,NA,NA,"Journal of Health Science","13449702 (ISSN)",48,5,"404-411","Kemadjou Njiwa, J.R. and Müller, P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442449015&doi=10.1248%2fjhs.48.404&partnerID=40&md5=8b0b5fe5f2c1ae0637045ef90594482b","English","","Center of Environmental Research, University of Saarland, D-66123 Saarbrücken, Germany","This study describes a long-term toxicity test within a period of 2 months using zebrafish (Brachydanio rerio) as the test species and concentrations of 0.05, 0.5, 5 and 50 μg/l DDT as a model substance. By collecting and counting the number of sperm released during separate mating events we observed that gametes are released asynchronously. Sperm is released in the form of sperm trails laid on the nest surface; subsequently active spermatozoa leave the trails and move in the water for several minutes. Sperm trails consists of bands of viscous material in which sperm is embedded. The water samples for the estimation of sperm presence were collected gradually within 180 min after 24 hr, 2 weeks, 1 month and 2 months of exposure. It was established that the reduction in count, activity of sperm and the average life span of sperm trails were significant (p < 0.05) at the tested concentrations 5 μg/l and 50 μg/l DDT after 1 month of exposure. In conclusion, this study demonstrates that long exposure time and higher DDT tested levels accelerate the occurrence of negative effect on the number and activity of sperm released as well as the life span of their trails.","Export Date: 01 March 2024; Cited By: 5; Correspondence Address: J.R. Kemadjou Njiwa; Center of Environmental Research, University of Saarland, D-66123 Saarbrücken, Germany; email: kemadjoub@yahoo.com; CODEN: JHSCF | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Excluded""} | RAYYAN-LABELS: may do other reproductive behaviours","10.1248/jhs.48.404","DDT;Fertilization;Insemination;Reproductive behaviour;Sperm;Zebrafish;Danio rerio;chlorphenotane;acceleration;article;concentration response;controlled study;ejaculation;gamete;information processing;lifespan;mating;nonhuman;reduction;toxicity;water sampling;zebra fish",NA,NA
"45","rayyan-732627131","Effects of sublethal concentrations of monocrotophos on the ethological responses of an air-breathing fish, Anabas testudineus (Bloch)",2000,NA,NA,"Ecology, Environment and Conservation","0971765X (ISSN)",6,2,"175-177","Santhankumar, M. and Balaji, M. and Ramudu, K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034529360&partnerID=40&md5=af47e75f2efea15538572a2af3daaf8b","English","","Department of Zoology, K.M. Centre for P.G. Studies, Lawspet, Pondicherry 605 008, India","Fish behaviours are extremely sensitive to toxicants. Healthy and active specimens of Anabas testudineus exposed to the sublethal concentration (1.9 mg/L, 9.5 mg/L) of monocrotophos for 120 h showed changes in respiratory behaviour. Significant increase (P<0.05) in surfacing, ventilation rate, coughing, tail twitching and fanning behaviour was observed in pesticide exposed fish. Frequency of burst swimming also increased in monocrotophos exposed fish but significant decrease (P<0.05) in aggressive behaviour like threat was observed.","Export Date: 01 March 2024; Cited By: 0; CODEN: EECOF | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Jack""=>""Maybe""} | RAYYAN-LABELS: would like to check if other behaviours are present | USER-NOTES: {""Jack""=>[""aggressive behaviour? need to read full article to know if this is interaction or not""]}","","Anabas testudineus;Behaviour;Monocrotophos;Organophosphate;pesticide;pollution effect;respiration;Respiration",NA,NA
