key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-732627087,Chlorpyrifos disrupts social behavior in adult zebrafish,2014,5,NA,NEUROTOXICOLOGY AND TERATOLOGY,"[""0892-0362"", ""1872-9738     J9  - NEUROTOXICOL TERATOL     JI  - Neurotoxicol. Teratol.""]",43,NA,94-94,"Bailey, J and Oliveri, A and Levin, E",,English,,"Duke Univ, Durham, NC USA",,"Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  0 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""} | RAYYAN-LABELS: no abstract but title is relevant",10.1016/j.ntt.2014.04.058     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Social Behavior,NA,NA
rayyan-732627088,"The organophosphorous pesticide, fenitrothion, acts as an anti-androgen and alters reproductive behavior of the male three-spined stickleback, <i>Gasterosteus aculeatus</i>",2009,1,NA,ECOTOXICOLOGY,"[""0963-9292"", ""1573-3017     J9  - ECOTOXICOLOGY     JI  - Ecotoxicology""]",18,1,122-133,"Sebire, M and Scott, AP and Tyler, CR and Cresswell, J and Hodgson, DJ and Morris, S and Sanders, MB and Stebbing, PD and Katsiadaki, I",,English,,"[""Cefas Weymouth Lab, Weymouth DT4 8UB, Dorset, England"", ""Univ Exeter, Sch Biosci, Exeter, Devon, England""]","Fenitrothion (FN) is a widely used organophosphorous pesticide that has structural similarities with the clinical anti-androgen flutamide. The potential for FN to act as an anti-androgen (at exposures of 1, 50, and 200 mu g FN/l over a 26-day period) was assessed in male three-spined sticklebacks, Gasterosteus aculeatus, by measuring kidney spiggin concentration, nest-building, and courtship behavior. Spiggin is the glue protein that male sticklebacks use to build their nests and is directly controlled by androgens. FN exposure significantly reduced spiggin production as well as nest-building activity. It also adversely affected courtship-especially the 'zigzag dance' and biting behavior of the males. FN thus appears to have anti-androgenic effects on both the physiology and behavior of the male stickleback.","Times Cited in Web of Science Core Collection:  36     Total Times Cited:  40     Cited Reference Count:  83 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",10.1007/s10646-008-0265-2     WE  - Science Citation Index Expanded (SCI-EXPANDED),Fenitrothion;Anti-androgen;Stickleback;Spiggin;Nest-building behavior;Courtship behavior;BRAIN ACETYLCHOLINESTERASE ACTIVITY;SECONDARY SEX CHARACTERS;ENVIRONMENTAL ANTIANDROGENS;ENDOCRINE DISRUPTION;MOLECULAR-MECHANISMS;ESTROGENIC CHEMICALS;KIDNEY HYPERTROPHY;MALE-PREFERENCE;SPERM COUNT;ANDROGEN;Pesticides;Reproductive Behavior,NA,NA
rayyan-732627089,DDT CAUSES CHANGES IN ACTIVITY AND SCHOOLING BEHAVIOR IN GOLDFISH,1974,NA,NA,ENVIRONMENTAL RESEARCH,0013-9351     J9  - ENVIRON RES     JI  - Environ. Res.,7,1,68-74,"WEIS, P and WEIS, JS",,English,,"[""COLL MED & DENT NEW JERSEY,DEPT ANAT,NEWARK,NJ 07103"", ""RUTGERS STATE UNIV,DEPT ZOOL & PHYSIOL,NEWARK,NJ 07102""]",,"Times Cited in Web of Science Core Collection:  32     Total Times Cited:  35     Cited Reference Count:  25 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""} | RAYYAN-LABELS: no abstract but title is relevant",10.1016/0013-9351(74)90076-0     WE  - Social Science Citation Index (SSCI)     WE  - Science Citation Index Expanded (SCI-EXPANDED),,NA,NA
rayyan-732627090,Opercular display in male betta splendens can be used as a bioindicator of disulfoton pollution,2019,NA,NA,Fresenius Environmental Bulletin,10184619 (ISSN),28,10,7076-7078,"Alyan, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073058261&partnerID=40&md5=e5aec28a74409c278976fdd39d3ce4f8,English,Parlar Scientific Publications,"United Arab Emirates University, Al Ain, 15551, United Arab Emirates","Opercular display during agonistic encounters between male Betta splendens was previously proposed to be a suitable bioindicator of organophos-phate water pollution. The experiments reported here tested the effect of disulfoton, a notorious and widely banned organophosphate, on the males aggressive opercular expansion display. Male Bettas were placed in water that had disulfoton concentration of 5 mg/l for 24 hr. The males were then paired together in an aquarium for 10 min, and the rate and duration of opercular display was recorded. Experimental males had significantly lower opercular expansion compared to controls that were placed in nonpolluted water. The findings support that use of aggressive male Bettas display to be used as bioindicator of organophosphates' water pollution. © 2019 PSP.","Export Date: 01 March 2024; Cited By: 0; Correspondence Address: S. Alyan; United Arab Emirates University, Al Ain, 15551, United Arab Emirates; email: salyan@uaeu.ac.ae; CODEN: FENBE | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",,Aggression;Betta splendens;Bioindicator;Disulfoton;Pollution;Betta;agonistic behavior;aquarium;bioindicator;concentration (composition);display behavior;organophosphate;pesticide residue;pollution incidence;aggression;fish,NA,NA
rayyan-732627091,Fenpropathrin causes alterations in locomotion and social behaviors in zebrafish<i> (Danio</i><i> rerio)</i>,2023,12,NA,AQUATIC TOXICOLOGY,"[""0166-445X"", ""1879-1514     J9  - AQUAT TOXICOL     JI  - Aquat. Toxicol.""]",265,NA,,"Liu, ST and Horng, JL and Lin, LY and Chou, MY",,English,,"[""Natl Taiwan Univ, Dept Life Sci, Taipei City, Taiwan"", ""Taipei Med Univ, Coll Med, Sch Med, Dept Anat & Cell Biol, Taipei City, Taiwan"", ""Natl Taiwan Normal Univ, Sch Life Sci, Taipei City, Taiwan""]","Fenpropathrin is one of the widely used pyrethroid pesticides in agriculture and is frequently detected in the environment, groundwater, and food. While fenpropathrin was found to have neurotoxic effects in mammals, it remains unclear whether it has similar effects on fish. Here, we used adult zebrafish to investigate the impacts of fenpropathrin on fish social behaviors and neural activity. Exposure of adult zebrafish to 500 ppb of fenpropathrin for 72 h increased anxiety levels but decreased physical fitness, as measured by a novel tank diving test and swimming tunnel test. Fish exposed to fenpropathrin appeared to spend more time in the conspecific zone of the tank, possibly seeking greater comfort from their companions. Although learning, memory, and aggressive behavior did not change, fish exposed to fenpropathrin appeared to have shorter fighting durations. The immunocytochemical results showed the tyrosine hydroxylase antibody-labeled dopaminergic neurons in the teleost posterior tuberculum decreased in the zebrafish brain. According to a quantitative polymerase chain reaction (qPCR) analysis of the brain, exposure to fenpropathrin resulted in a decrease in the messenger (m)RNA expression of monoamine oxidase (mao), an enzyme that facilitates the deamination of dopamine. In contrast, the mRNA expression of the sncga gene, which may trigger Parkinson's disease, was found to have increased. There were no changes observed in expressions of genes related to antioxidants and apoptosis between the control and fenpropathrin-exposed groups. We provide evidence to demonstrate the defect of the neurotoxicity of fenpropathrin toward dopaminergic neurons in adult zebrafish.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  70 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",10.1016/j.aquatox.2023.106756,Fenpropathrin;Locomotion;Zebrafish;Dopaminergic neurons;MONOAMINE-OXIDASE;INSECTICIDES;CALIFORNIA;DOPAMINE;TOXICITY;WATER;PESTICIDE;SEDIMENT;EXPOSURE;VALLEY;Social Behavior,NA,NA
rayyan-732627092,Effects of a pyrethroid pesticide on endocrine responses to female odours and reproductive behaviour in male parr of brown trout (<i>Salmo trutta</i> L.),2007,2,15,AQUATIC TOXICOLOGY,"[""0166-445X"", ""1879-1514     J9  - AQUAT TOXICOL     JI  - Aquat. Toxicol.""]",81,1,01-Sep,"Jaensson, A and Scott, AP and Moore, A and Kylin, H and Olsén, KH",,English,,"[""Sodertorn Univ Coll, Sect Life Sci, SE-14189 Huddinge, Sweden"", ""Cefas Weymouth Lab, Weymouth DT4 8UB, Dorset, England"", ""Cefas Lowestoft Lab, Lowestoft NR33 0HT, Suffolk, England"", ""Swedish Univ Agr Sci, Dept Environm Assessment, SE-75007 Uppsala, Sweden"", ""Norwegian Inst Air Res, Polar Environm Ctr, NO-9296 Tromso, Norway"", ""Uppsala Univ, Evolutionary Biol Ctr, SE-75105 Uppsala, Sweden""]","Reproductive behaviour of brown trout (Salmo trutta L.) from an anadromous stock was Studied in a large stream water aquarium. Four adult males and two ovulated females were placed in the aquarium together with eight mature male parr. Four of the parr were exposed during the previous 4 days to two concentrations (0.1 or 1.0 mu g l(-1)) of the pyrethroid pesticide cypermethrin (a disrupter of olfactory receptor function) and four of the parr to the solvent ethanol. The behaviour of all fish was followed for 24 h and then blood and milt was collected. Exposure to the higher concentration of cypermethrin disturbed the reproductive behaviour of the parr. They displayed fewer courting events, spent less time near the nesting females and had lower volumes of strippable milt. They also had significantly lower amounts of 11-ketotestosterone (11-KT) in the blood plasma than the control roup. The higher cypermethrin group also had significantly lower levels of all these variables than the 9 lower cypermethrin group, apart from strippable milt that showed no significant differences between two groups. No significant differences in non-reproductive behaviours were observed between any of the groups. In the control fish, there were significant positive Correlations between (a) the number of courting events and the amount of time spent near the female, (b) blood plasma levels of 17 alpha,20 beta-dihydroxy-4-pregnen-3-one (17,20 beta-P) and time spent near the female and (c) plasma levels of 17,20 beta-P and the number of courting events. Further, in control fish, higher plasma levels of 17,20 beta-P were observed in part-interacting with a female compared to those with no female contacts. A priming experiment confirmed a previous study that cypermethrin damages olfactory reception. Parr exposed to cypermethrin had significantly lower blood plasma levels of 17,20 beta-P and 11-KT than control males after exposure to ovarian fluid and urine (known to contain reproductive priming pheromones). When ethanol-exposed males were exposed to ovarian fluid and urine they had significantly higher plasma levels of 17,20 beta-P compared to those exposed to water only. (c) 2006 Elsevier B.V. All rights reserved.","Times Cited in Web of Science Core Collection:  68     Total Times Cited:  74     Cited Reference Count:  36 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",10.1016/j.aquatox.2006.10.011     WE  - Science Citation Index Expanded (SCI-EXPANDED),cypermethrin;steroid;sex hormones;courting;spawning;pheromones;F-SERIES PROSTAGLANDINS;SEX-HORMONE LEVELS;ATLANTIC SALMON;RAINBOW-TROUT;SPAWNING BEHAVIOR;ONCORHYNCHUS-MYKISS;PRIMING PHEROMONES;SALAR;URINE;WATER;Pesticides,NA,NA
rayyan-732627093,Use of behavioral endpoints to determine protective concentrations of the insecticide fonofos for bluegill (<i>Lepomis macrochirus</i>),1999,NA,NA,ENVIRONMENTAL TOXICOLOGY AND RISK ASSESSMENT: STANDARDIZATION OF BIOMARKERS FOR ENDOCRINE DISRUPTION AND ENVIRONMENTAL ASSESSMENT: EIGHTH VOLUME,"[""0066-0558"", ""0-8031-2618-2     J9  - AM SOC TEST MATER""]",1364,NA,387-400,"Fairchild, JF and Little, EE",,English,,"US Geol Survey, Columbia Environm Res Ctr, Columbia, MO 65201 USA","This research compared the results of laboratory and mesocosm studies to determine the effectiveness of using behavioral measures of sublethal exposure to define environmental concentration ranges that are protective of free-ranging populations of bluegill (Lepomis macrochirus) exposed to the organophophate insecticide fonofos. Thirty-day laboratory chronic studies were conducted to determine the relative sensitivity of standard (e.g. survival and growth) and non-standard behavioral (e.g. swimming capacity, feeding efficiency, and aggression) endpoints in predicting concentrations of fonofos protective of bluegill growth and survival. The lowest observable effect concentration (LOECs) for the standard measures of survival and growth was 5.6 mu g/L. Two behavioral endpoints were of similar sensitivity to the standard measures: swimming capacity, LOEC of 5.6 mu g/L; and prey strike frequency, LOEC of 5.6 mu g/L. However, aggressive interactions were ten-fold more sensitive than swimming or feeding behavior with a LOEC occurring at 0.6 mu g/L. Lab results were compared to an aquatic mesocosm study which exposed adult and juvenile bluegill to a 9.41 mu g/L concentration of fonofos. The dissipation half-life of fonofos was 5 days in 0.1 hectare aquatic mesocosms. Significant mortality among caged bluegill occurred within 4 days of exposure at 9.41 mu g/L. However, the 9.41 mu g/L concentration of fonofos had no statistically significant effects on survival, growth, reproduction, or total biomass of free-ranging populations of bluegill. We conclude from these studies that laboratory data can accurately estimate concentrations that are Lethal in the field and that the use of behavioral endpoints can provide ecologically relevant, yet conservative estimates of concentrations that are protective of field populations.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  29 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",10.1520/STP15817S     WE  - Conference Proceedings Citation Index - Science (CPCI-S),bluegill;fonofos;insecticide;behavior;sublethal toxicity;mesocosm;ORGANOPHOSPHATE INSECTICIDE;TOXICITY TESTS;RESPONSES;EXPOSURES;HAZARD;FIELD;Endpoint Determination,NA,NA
rayyan-732627094,Gardening behaviour of Sicydium punctatum (Gobioidei: Sicydiinae): in vitro experiments in the context of chlordecone pollution in Guadeloupe Island rivers,2017,NA,NA,Cybium,03990974 (ISSN),41,2,85-92,"Barbeyron, C. and Lefrançois, E. and Monti, D. and Keith, P. and Lord, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025143273&partnerID=40&md5=a601e4ae568f6bcf64afeb765db00bd1,English,Societe Francaise d'Ichtyologie,"[""UMR BOREA UA-MNHN-CNRS7208-IRD207-UPMC-UCBN, Université des Antilles, Pointe-à-Pitre, 97159, Guadeloupe"", ""ASCONIT Consultants, Cap Gamma, ZAC Euromedecine II, 1682 rue de la Valsière, Grabels, 34790, France"", ""UMR BOREA UPMC-UA-MNHN-CNRS7208-IRD207-UCBN, 43 rue Cuvier, CP 26, Paris Cedex 05, 75231, France""]","To fight the banana weevil, organochlorine insecticide was used in Guadeloupe, leading to a contamination of the rivers by chlordecone, for which the molecules are long lasting and persist in the environment although its use was banned in the 90s. In the rivers, Sicydiinae gobies of the genus Sicydium represent key species of the ecosystem. They are herbivorous and feed on the epilithic biofilm by scraping it off the rocks. We undertook in vitro experiments in order to obtain preliminary results on the effect of the pollutant on the behaviour of Sicydium punctatum Perugia, 1896, and on its food source. It seems that the pollutant has no effect on the social behaviour of this species. However, we noted that in polluted conditions, the biofilm composition is altered, depriving S. punctatum of its favoured diatom species, which S. punctatum usually ""grows"" by having a gardening behaviour.","Export Date: 01 March 2024; Cited By: 6; Correspondence Address: C. Lord; UMR BOREA UPMC-UA-MNHN-CNRS7208-IRD207-UCBN, Paris Cedex 05, 43 rue Cuvier, CP 26, 75231, France; email: claralord@mnhn.fr | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",,Chlordecone;Diatom;Gardening behaviour;Guadeloupe;Sicydiinae;Sicydium punctatum,NA,NA
rayyan-732627095,Household based-pyrethroids on adult zebrafish<i> (Danio</i><i> rerio)</i> exert behavioral and cholinergic changes in different brain regions,2023,5,NA,NEUROTOXICOLOGY,"[""0161-813X"", ""1872-9711     J9  - NEUROTOXICOLOGY     JI  - Neurotoxicology""]",96,NA,19-27,"Tamagno, WA and Alves, C and Pompermaier, A and Amaral, FUI and Freddo, N and Soares, SM and Goncalves, TS and Siqueira, L and Fortuna, M and dos Santos, HC and Gorrosterrazu, A and Reolon, GK and Barcellos, LJG",,English,,"[""Univ Fed Santa Maria, Grad Program Pharmacol, Ave Roraima, 1000,Cidade Univ, BR-97105900 Santa Maria, RS, Brazil"", ""Fed Inst Educ Sci & Technol Rio Grande Do Sul, Biochem & Mol Biol Lab Rosilene Rodrigues Kaizer, ERS 135, Km 25, Eng Englert, BR-99170000 Porto Alegre, RS, Brazil"", ""Univ Passo Fundo, Grad Program Bioexperimentat, BR 285, Sao Jose, BR-99052900 Passo Fundo, RS, Brazil"", ""Univ Passo Fundo, Passo Fundo, Brazil""]","Pyrethroid-based insecticides are largely used for mosquito control. These compounds have household and agricultural applications with different formulations. Two important compounds used as household insecticides are prallethrin and transfluthrin, both from the pyrethroid chemical group. With the mode of action centered on sodium channels, pyrethroids keep the ionic sodium channels open for a long time causing the death of the insect by nervous hyperexcitability. Given the increased use of household insecticides by humans and the incidence of disease outbreaks with unknown etiology such as autism spectrum disease, schizophrenia, and Parkinson's disease we investigate some physiological inputs of these compounds on zebrafish. In this study, we evaluated the social interaction, shoaling formation, and anxiety-like behavior of zebrafish exposed chronically to trans- fluthrin-and prallthrin-based insecticides (T-BI and P-BI). In addition, we quantified the activity of the enzyme acetylcholinesterase (AChE) in different brain regions. We observed that both compounds caused anxiolytic behavior and reduced shoaling formation and social interaction. Their behavioral biomarkers indicated a harmful ecological effect on the specie as well as a possible impact of these compounds on autism spectrum disorder (ASD) and schizophrenia (SZP). In addition, the AChE activity would change its activity in different brain regions modulating the anxiety-like behavior and social behavior in zebrafish. We conclude that P-BI and T-BI make us alert about the relationship of these compounds with nervous diseases related to cholinergic signaling.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  59 | RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Aneesh""=>""Included""}",10.1016/j.neuro.2023.02.011,Prallethrin;Transfluthrin;Acetylcholinesterase;Household insecticide;Behavior;AUTISM SPECTRUM DISORDER;NERVOUS-SYSTEM;ACETYLCHOLINESTERASE ACTIVITY;ANXIETY;RECEPTORS;MODULATE;MODELS;Brain,NA,NA
rayyan-732627096,"Acute toxicity and effects of the roundup transorb, a glyphosate-based herbicide, on freshwater teleost matrinxã, brycon amazonicus",2021,NA,NA,International Aquatic Research,20084935 (ISSN),13,1,17-28,"Blasco, F.R. and Monteiro, D.A. and Carvalho, C.S. and Rantin, F.T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103964153&doi=10.22034%2fiar.2021.1910474.1099&partnerID=40&md5=9da3169ea3c832a961715aa6b3a6047a,English,Islamic Azad University of Tonekabon,"[""Departamento de Ciências Fisiológicas (DCF), Universidade Federal de São Carlos (UFSCar), São Carlos, São Paulo, 13565-905, Brazil"", ""Departamento de Biologia (DBio), Universidade Federal de São Carlos (UFSCar), Sorocaba, São Paulo, 18052-780, Brazil""]","The aim of this study was to evaluate the susceptibility of the Neotropical freshwater fish matrinxã, Brycon amazonicus, exposed to Roundup Transorb®, a newer commercial formulation 50% stronger than the ordinary mixtures and with a new technology for quicker absorption and faster translocation. The median lethal concentration (96 h-LC50) was determined, and the effects of a sublethal concentration on oxidative stress biomarkers were evaluated in the liver, gills, white muscle, and heart. During the acute toxicity test, fish mortality progressively increased with RT concentration along with behavioral abnormalities were detected. The calculated 96 h-LC50 value of RT was found as 1.21 mg/L. Fish exposed to 0.5 mg/L of RT (40% of 96 h-LC50) showed a significant increase in the hepatic somatic index (HSI) with a concomitant decrease in Fulton’s condition factor (K). The sublethal exposure also induced significant increases (p < 0.05) in the hepatic lipid peroxidation (LPO) levels, reduced glutathione (GSH) content, and catalase (CAT) activity, with a concomitant decrease in the glutathione S-transferase (GST) activity. In the gills, RT exposure induced significant increases in the GST activity, GSH and LPO levels, whereas CAT activity was inhibited. RT also induced CAT and GST activities together with the content of GSH and LPO levels in the white muscle. On the other hand, significant decreases in the CAT and GST activities were detected in the heart with a marked increase in the GSH content and no changes in LPO levels. Therefore, the exposure to 0.5 mg/L of RT induced oxidative stress in the liver, gills and white muscle with tissue-specific responses related to antioxidant defenses. This study demonstrated that B. amazonicus is sensitive to Roundup Transorb® at sublethal and environmentally relevant concentrations, even at short-term exposures. The use of Roundup Transorb® should be carefully monitored due to its adverse non-target impacts. © The Author(s) 2021.","Export Date: 01 March 2024; Cited By: 2; Correspondence Address: D.A. Monteiro; Departamento de Ciências Fisiológicas (DCF), Universidade Federal de São Carlos (UFSCar), São Carlos, São Paulo, 13565-905, Brazil; email: dianamonteiro@ufscar.br | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Aneesh""=>""Maybe""} | RAYYAN-LABELS: unclear on behaviours measured | USER-NOTES: {""Aneesh""=>[""Unclear from abstract which behaviours were measured and whether they were rigourously examined. But behavioural effects are mentioned in the abstract so best to check the main text.""]}",10.22034/iar.2021.1910474.1099,Antioxidants;Fish;Lipid peroxidation;Median lethal concentration;Oxidative stress,NA,NA
