key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-732627192,The effects of organophosphate exposure on non target terrestrial and aquatic organisms following different exposure regimes : linking biomarker responses and life-cycle effects,2010,NA,NA,,,NA,NA,,"Jordaan, Martine Saskia",http://hdl.handle.net/10019.1/5312,en,,,"Thesis (PhD (Botany and Zoology))--University of Stellenbosch, 2010. ; ENGLISH ABSTRACT: The use of organophosphate pesticides is still an integral part of commercial farming activities and these substances have been implicated as a major source of environmental contamination in South Africa. Evidence exists that many non target animals in and around agricultural areas are at risk of being affected due to the mobile nature of pesticides and the intermittent nature of pesticide application. The extent to which non-target animals are affected by exposure to two organophosphates (azinphos-methyl and chlorpyrifos) was investigated through monitoring selected biomarker responses and life cycle effects under laboratory conditions in two selected test species. A representative species from both the aquatic and terrestrial environment was used as these two compartments of the environment are inevitably linked due to the mobility of pesticides from the area of application to surrounding areas. The earthworm Eisenia fetida was used as test organism in the terrestrial environment while the fish Oreochromis mossambicus served as representative of the aquatic environment. Juvenile life stages of both species were subjected to standard acute toxicity tests which showed that for both species, juvenile life stages were more sensitive to both pesticides than adults. It was also illustrated that azinphos-methyl is more toxic than chlorpyrifos to both species. Both test species were also subjected to an intermittent exposure regime in order to assess the effects of repeated pesticide application on biomarker, life-cycle and behaviour responses. The results indicated that for similar exposure regimes, azinphos-methyl was more toxic to E. fetida than chlorpyrifos and detrimentally affected all endpoints investigated. The present study suggests that exposure concentration may have a more pronounced effect in inducing a toxic response than exposure interval, irrespective of the pesticide used. In addition to this, E. fetida was unable ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Intermittent exposure;Organophosphate pesticides;Environmental aspects;Biomarkers;Fishes;Effect of pesticides on;Aquatic organisms;Life cycle effect;Earthworms;Dissertations;Zoology;Theses;Biological Markers;Organophosphates,NA,NA
rayyan-732627193,"Toxicidade aguda, comportamento e análises anatomopatológicas em diferentes espécies de peixes expostos à formulação comercial contendo deltametrina ; Acute toxicity, behavior and anatomopathological analysis in different species of fish exposed to the commercial formulation containing deltamethrin",2005,NA,NA,,,NA,NA,,"Osti, Sílvio Cesar de",http://www.teses.usp.br/teses/disponiveis/10/10133/tde-11042007-104121/,pt,Biblioteca Digital de Teses e Dissertações da USP ; Universidade de São Paulo ; Faculdade de Medicina Veterinária e Zootecnia,,"A toxicidade da formulação comercial contendo o praguicida piretróide deltametrina foi testada nas espécies de peixe Danio rerio, Hyphessobrycon bifasciatus, Geophagus brasiliensis e Oreochromis niloticus por meio de testes de toxicidade aguda, avaliação de alterações comportamentais e análises anatomopatológicas do fígado e das brânquias. A espécie D. rerio apresentou CL50;48h igual a 0,078µg L-1, a espécie H. bifasciatus apresentou CL50;48h igual a 0,082µg L-1, a espécie G. brasiliensis apresentou CL50;48h igual a 0,594µg L-1 e O. niloticus apresentou CL50;48h igual a 0,954µg L-1. As análises de comportamento realizadas com as espécies D. rerio e H. bifasciatus mostrou ser a segunda mais sensível ao praguicida, revelando alterações significativas nas menores doses de exposição. As análises anatomopatológicas realizadas com a espécie G. brasiliensis quando exposta à concentrações subagudas do praguicida mostrou vacuolização e degeneração nuclear hepática e nas brânquias a ocorrência de hiperplasia lamelar e fusão nas lamelas secundárias que aumentaram em função da concentração do praguicida e do tempo de exposição. Os resultados demonstraram elevada toxicidade do praguicida para todas as espécies testadas. ; The toxicity of the commercial formulation containing the pesticide pirethroid deltamethrin was tested in the species of fish Danio rerio, Hyphessobrycon bifasciatus, Geophagus brasiliensis and Oreochromis niloticus through tests of acute toxicity, evaluation of behavioral alterations and anatomopathological analysis of the liver and of the gills. The species D. rerio presented LC50;48h equals to 0,078µg L-1, the species H. bifasciatus presented LC50;48h equals to 0,082µg L-1, the species G. brasiliensis presented LC50;48h equals to 0,594µg L- 1 and O. niloticus presented LC50;48h equals to 0,954µg L-1. The analysis of behavior accomplished with the species D. rerio and H. bifasciatus showed that the second one was more sensitive to the pesticide, and revealed significant alterations in the exhibition of ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Piretróides em animal;Comportamento animal;Ecotoxicologia;Peixes;Histopatologia animal;Pirethroids in animal;Fish;Ecotoxicology;Animal histopathology;Animal behavior,NA,NA
rayyan-732627194,Neurotoxicity of pesticides to salmon: Physiology to ethology,2007,NA,NA,,,NA,NA,,THES,http://summit.sfu.ca/item/8281,English,,,"Pesticides routinely found in the environment can adversely affect neurological systems of salmon. The major focus of the studies presented here is on the impairment of the relatively exposed olfactory sensory neurons (OSNs), since their functionality is critical to several indispensable behaviours. The responses of OSNs to various behaviourally-relevant odorants were impaired following exposure to several pesticide classes, including triazine (e.g. atrazine), carbamate (e.g. IPBC), organophosphorus (e.g. dimethoate), and phenylurea (e.g. linuron) pesticides, as well as a pesticide formulation (i.e. Roundup). In many cases, within minutes of exposure to environmentally realistic (part per billion) concentrations, impairments of greater than 50% in OSN responses were noted. Pesticides can selectively affect different OSN classes, since one pesticide (linuron) negatively affected amino acid but not bile salt responses. Lengthy (four-day) exposure to a mixture of pesticides modelled after that found in the Nicomekl River (British Columbia) also reduced OSN responses, confirming that pesticide mixtures found in salmon-producing waterways may be injurious. In fact, the ability to discern a change in odorant intensity was reduced by 25%. This may have partially been due to inadequate neuroprotection, as glutathione-S-transferase, an enzyme that protects against cellular damage, was not upregulated to any greater of an extent than it was in fish given a 10-fold lower exposure concentration. To relate changes in OSN responses to behavioural responses, experiments were conducted on two olfactory-mediated behaviours: an amino acid-evoked searching behaviour, and an anti-predator alarm response. In the first case, exposure to three different pesticides disproportionately impacted searching behaviour with respect to neurological impairment, as the searching response was completely eliminated at greater than 60% impairment of neurological response. In the second case, the freezing behaviour salmon perform after detecting harm in a conspecific was progressively reduced with exposure to increasing concentrations of a carbamate. The work here endeavoured to assess how pesticides affect salmon neurophysiology, then relate the effects to altered behaviours, and finally place the findings within a context of environmental realism, regulations, and the status of salmon within Canada and the world.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Pesticides,NA,NA
rayyan-732627195,Behavioral and Physiological consequences of pesticide exposure for estuarine fishes,2014,NA,NA,,,NA,NA,,,https://hdl.handle.net/20.500.11929/sdsu:22730,en_US,,,"Resident fishes in coastal estuaries and bays experience multiple abiotic and biotic stressors, including exposure to chemical pollutants such as pesticides. However, the sub-lethal effects of pesticides on the behavior and ecology of fishes remain poorly understood. Therefore, the broad goal of this dissertation was to explore the behavioral and ecological consequences of sub-lethal pesticides on estuarine fishes, in addition to other environmental factors such as habitat structure and parasites. In Chapter 1, I investigated the separate and combined effects of an acute 4 h exposure of the pyrethroid pesticide esfenvalerate and structural habitat complexity on the behavior and predation risk of larval topsmelt, Atherinops affinis. Larvae were exposed to four nominal esfenvalerate concentrations (control, 0.12, 0.59, 1.18 ppb) before placement into 12 L mesocosms with a predator, the three-spine stickleback, Gasterosteus aculeatus. Artificial eelgrass was manipulated to create a uniform and patchy distribution of vegetative structure at a low (500 shoots per m2 ) and high density (1000 shoots per m2 ), in addition to the absence of eelgrass. The capture success of predators and aggregative behavior of prey was quantified during the first 10 min of each trial, and mortality of prey was recorded after 60 min. I observed an increase in the proportion of swimming abnormalities of larvae exposed to esfenvalerate. Surprisingly, prey mortality did not increase linearly with pesticide exposure but increased with habitat structure (density of eelgrass), which may have been a consequence of compensating predator behavior. The degree of prey aggregation decreased with both habitat structure and iv pesticide exposure, suggesting that anti-predator behaviors by prey may have been hampered by the interactive effects of both of these factors. In addition to behavioral consequences, sub-lethal pesticide exposure can predictably alter different physiological endpoints. Acetylcholinesterase (AChE) inhibition has become a common ...","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Pesticides,NA,NA
rayyan-732627196,Anthropogenic Impacts on Freshwater Organisms: Bioassessments from the Molecular to Community Levels,2021,NA,NA,ProQuest Dissertations and Theses,9.80E+12,NA,28777191,278,"Stinson, Sarah Anne and Connon, Richard E.",https://login.wwwproxy1.library.unsw.edu.au/login?url=https://www.proquest.com/dissertations-theses/anthropogenic-impacts-on-freshwater-organisms/docview/2637143507/se-2?accountid=12763,English,"University of California, Davis     PP  - United States -- California",United States -- California,"This dissertation explores subcellular, organismal and community level effects induced by pesticides of concern in agricultural surface water, and evaluates the use of molecular methods; i.e., environmental DNA (eDNA) metabarcoding, in watershed-wide, multitrophic assessments of freshwater biodiversity. I sought to characterize the impacts of chemical disturbance events occurring at multiple levels of biological organization in anthropogenically impacted freshwater ecosystems.I first evaluated the lethality and sublethal effects of two pesticides: imidacloprid (IMI) and chlorantraniliprole (CHL), as single compounds and binary mixtures, on invertebrates (Daphnia magna) and fish (Pimephales promelas). To explore the effects of complex mixtures, I also conducted exposures as described above on contaminated surface water samples collected near agricultural fields associated with the Salinas River Watershed CA (USA). Analytical chemistry data from surface water samples showed chemicals of emerging concern as common analytes at levels expected to cause detrimental effects on aquatic life. I measured acute toxicity in invertebrates exposed to field-collected surface water, and fish exposed to these water samples had significant changes in expression of genes (RT-qPCR) involved with detoxification and neuromuscular function. Exposure of fish to single compounds or binary mixtures of IMI and CHL led to increased relative gene expression of ryanodine receptors (RyR) in fish. Furthermore, IMI targeted the postsynaptic nicotinic acetylcholine receptor (nAChR) in aquatic invertebrates and CHL caused overactivation of RyR in invertebrates and fish. Overall, high levels of invertebrate toxicity and impacts to neuromuscular health in fish are occurring, and pesticides of emerging concern result in detrimental effects in both invertebrates and fish.Based on these findings, I examined behavioral endpoints in the fathead minnow (Pimephales promelas) after the surface water exposures outlined above. I detected differences in both light-induced startle responses and average total distance moved (mm/s), as well as the duration and/or frequency of cruising, bursting and freezing endpoints. These behaviors directly relate to factors influencing survival, feeding and growth, as well as potential for predator avoidance, and thus changes induced by chemical exposure contribute to ecological risk. I detected sublethal and environmentally relevant effects from exposure to contaminated surface waters, which would likely be missed in standard toxicology assessments based on mortality, illustrating the importance of incorporating sublethal endpoints in risk assessments. I then examined behavioral effects of exposure to contaminated surface water before and after a disturbance event (a “first flush” rainstorm at the end of a dry period). I postulated that the swimming behavior of D. magna would be a sensitive bioindicator of exposure to environmentally relevant concentrations of pesticides of concern (IMI and CHL) under laboratory conditions as well as within complex mixtures in contaminated surface waters. I determined that average total distance moved is a sensitive endpoint for pesticide exposure. Daphnia magna response to light stimulus was the most sensitive endpoint measured. In exposures conducted before the first flush event, I detected strong dose-response patterns, with exposed organisms showing a significantly reduced response compared to controls. After first flush, I measured hypoactivity for all sites. I detected different response patterns to light stimulus for each site tested: negative dose-response, non-monotonic, and positive dose-response patterns, with significantly different responses from controls at all concentrations tested.Having determined sublethal and toxic effects from organismal exposure to water samples collected from the Salinas River Watershed, I sought to evaluate how aquatic biodiversity may be distributed across a chemically impacted watershed, and how diversity estimates obtained from both eDNA metabarcoding and morphological identification would correlate with biotic index scores. I collected eDNA from sediment at sites throughout the Salinas River Watershed, across a range of habitat qualities, and compared the resulting taxonomy with morphological data from a subset of high-diversity sites. I detected sensitive invertebrate taxa (Ephemeroptera, Plecoptera, Trichoptera; EPT) from morphology and eDNA, with significant overlap (> 76.67%) between methods, but some taxa were missing from the sequence database, highlighting the importance of taxonomic database development. Sequencing detected more benthic macroinvertebrate taxa than morphology when compared at the genus and species levels of taxonomic resolution. Metabarcoding of sampled eDNA detected rare species of concern and invasive species. Impacted sites contained greater numbers of species known to be tolerant to poor water quality, whereas I only detected several sensitive EPT taxa from least impacted reference sites. Hydrologic distance (waterbody) and biotic index score both accounted for > 27% of the dissimilarity in taxa measured between sites. These findings suggest that biotic indices obtained from eDNA metabarcoding data can be effectively incorporated into watershed-wide, multitrophic assessments of freshwater biodiversity.Freshwater ecosystems in urban and agriculturally developed watersheds are simultaneously exposed to chemical mixtures often include new and emerging contaminants of concern, for which toxicological data may be limited. As the complexity of mixtures increases, non-targeted, effect-based evaluations become necessary for determining potential detrimental outcomes. Through my dissertation work I demonstrate that subcellular, organismal and community level effects are induced by pesticides of concern present in surface water.","Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2023-06-30 | RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",,Contaminants of concern;Ecotoxicology;Environmental DNA Metabarcoding;Freshwater ecology;Gene expression;Mixture toxicity;Molecular biology;Toxicology;Water resources management;0307:Molecular biology;0383:Toxicology;0595:Water Resources Management,NA,NA
rayyan-732627197,Glyphosate targets fish monoaminergic systems leading to oxidative stress and anxiety.,2021,1,1,Environment international,1873-6750 0160-4120,146,NA,106253,"Faria, Melissa and Bedrossiantz, Juliette and Ramírez, Jonathan Ricardo Rosas and Mayol, Marta and García, Gerardo Heredia and Bellot, Marina and Prats, Eva and Garcia-Reyero, Natàlia and Gómez-Canela, Cristian and Gómez-Oliván, Leobardo Manuel and Raldúa, Demetrio",,eng,,,"Glyphosate is the active ingredient of some of the most highly produced and used herbicides worldwide. The intensive applications of glyphosate-based herbicides  and its half-life in water lead to its presence in many aquatic ecosystems.  Whereas recent studies have reported neurotoxic effects of glyphosate including  autism-related effects, most of them used extremely high (mg/L to g/L)  concentrations, so it is still unclear if chronic, low environmentally relevant  concentrations of this compound (ng/L to μg/L) can induce neurotoxicity. In this  study we analyzed the neurotoxicity of glyphosate in adult zebrafish after  waterborne exposure to environmentally relevant concentrations (0.3 and 3 μg/L)  for two weeks. Our data showed that exposed fish presented a significant  impairment of exploratory and social behaviors consistent with increased anxiety.  The anterior brain of the exposed fish presented a significant increase in  dopamine and serotonin levels, as well as in the DOPAC/dopamine and homovanillic  acid/dopamine turnover ratios. Moreover, the expression of genes involved in the  dopaminergic system, as th1, th2, comtb, and scl6a3 was downregulated. Finally,  the brain of exposed fish presented a significant increase in the catalase and  superoxide dismutase activities, with a concomitant decrease of glutathione  stores. These changes in the antioxidant defense system are consistent with the  observed increase in oxidative stress, reflected by the increase in the levels of  lipid peroxidation in the brain. The presented results show that current  glyphosate concentrations commonly found in many aquatic ecosystems may have  detrimental consequences on fish survival by decreasing exploration of the  environment or altering social interactions. Furthermore, as zebrafish is also a  vertebrate model widely used in human neurobehavioral studies, these results are  relevant not only for environmental risk assessment, but also for understanding  the risk of chronic low-dose exposures on human health.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",10.1016/j.envint.2020.106253,"*Herbicides/toxicity;*Water Pollutants, Chemical/toxicity;Animals;Anxiety/chemically induced;Behavioral impairment;Dopaminergic system;Ecosystem;Glycine/analogs & derivatives;Glyphosate;Humans;Neurotoxicity;Oxidative stress;Oxidative Stress;Zebrafish;Anxiety",NA,NA
rayyan-732627198,Glyphosate and Roundup(®) alter morphology and behavior in zebrafish.,2017,12,1,Toxicology,1879-3185 0300-483X,392,NA,32-39,"Bridi, Daiane and Altenhofen, Stefani and Gonzalez, Jonas Brum and Reolon, Gustavo Kellermann and Bonan, Carla Denise",,eng,,,"Glyphosate has become the most widely used herbicide in the world, due to the wide scale adoption of transgenic glyphosate resistant crops after its  introduction in 1996. Glyphosate may be used alone, but it is commonly applied as  an active ingredient of the herbicide Roundup(®). This pesticide contains several  adjuvants, which may promote an unknown toxicity. The indiscriminate application  poses numerous problems, both for the health of the applicators and consumers,  and for the environment, contaminating the soil, water and leading to the death  of plants and animals. Zebrafish (Danio rerio) is quickly gaining popularity in  behavioral research, because of physiological similarity to mammals, sensitivity  to pharmacological factors, robust performance, low cost, short spawning  intervals, external fertilization, transparency of embryos through larval stages,  and rapid development. The aim of this study was evaluate the effects of  glyphosate and Roundup(®) on behavioral and morphological parameters in zebrafish  larvae and adults. Zebrafish larvae at 3days post-fertilization and adults were  exposed to glyphosate (0.01, 0.065, and 0.5mg/L) or Roundup(®) (0.01, 0.065, and  0.5mg/L) for 96h. Immediately after the exposure, we performed the analysis of  locomotor activity, aversive behavior, and morphology for the larvae and  exploratory behavior, aggression and inhibitory avoidance memory for adult  zebrafish. In zebrafish larvae, there were significant differences in the  locomotor activity and aversive behavior after glyphosate or Roundup(®) exposure  when compared to the control group. Our findings demonstrated that exposure to  glyphosate at the concentration of 0.5mg/L, Roundup(®) at 0.065 or 0.5mg/L  reduced the distance traveled, the mean speed and the line crossings in adult  zebrafish. A decreased ocular distance was observed for larvae exposed at 0.5mg/L  of glyphosate. We verified that at 0.5mg/L of Roundup(®)-treated adult zebrafish  demonstrated a significant impairment in memory. Both glyphosate and Roundup(®)  reduced aggressive behavior. Our data suggest that there are small differences  between the effects induced by glyphosate and Roundup(®), altering morphological  and behavioral parameters in zebrafish, suggesting common mechanisms of toxicity  and cellular response.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Rhiannon""=>""Maybe""}",10.1016/j.tox.2017.10.007,"Aggression/drug effects;Animals;Behavior;Behavior, Animal/*drug effects;Embryo, Nonmammalian/*drug effects;Female;Glycine/*analogs & derivatives/toxicity;Glyphosate;Herbicides/*toxicity;Larva/drug effects;Male;Memory;Memory/drug effects;Roundup(®);Toxicity;Zebrafish;Zebrafish/*physiology",NA,NA
rayyan-732627199,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior.,2022,9,10,The Science of the total environment,1879-1026 0048-9697,838,NA,155610,"Chen, Xiangguang and Zheng, Junyue and Zhang, Jie and Duan, Manman and Xu, Hao and Zhao, Wentian and Yang, Yang and Wang, Chengju and Xu, Yong",,eng,,,"Difenoconazole (DCZ) is a triazole fungicide that negatively affects aquatic organisms and humans. However, data regarding the reproductive toxicity of DCZ  are insufficient. In this study, we used zebrafish (from 2 h post-fertilization  [hpf] to adulthood) as a model to evaluate whether DCZ at environmentally  relevant concentrations (0.1, 1.0, and 10.0 μg/L) induces reproductive toxicity.  After exposure to DCZ, egg production and fertilization rates were reduced by 1.0  and 10.0 μg/L. A significant decrease in gamete frequency (late vitellogenic  oocytes and spermatozoa) was observed at 10.0 μg/L. The concentrations of  17β-estradiol (E2), testosterone (T), and vitellogenin (VTG) were disrupted in  females and males by 1.0 and 10.0 μg/L. Exposure to 10.0 μg/L DCZ significantly  inhibited the contact time between female and male fish, which was mainly  achieved by affecting male fish. The transcription of genes involved in the  hypothalamus-pituitary-gonad (HPG) axis was significantly changed after treatment  with DCZ. Overall, these data show that the endocrine-disrupting effect of DCZ on  the zebrafish HPG axis inhibited gamete maturation and disrupted reproductive  behavior, reducing fertility.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Rhiannon""=>""Maybe""}",10.1016/j.scitotenv.2022.155610,"*Endocrine Disruptors/toxicity;*Reproductive Behavior;*Water Pollutants, Chemical/toxicity;Animals;Difenoconazole;Dioxolanes;Environmental concentrations;Female;Gametogenesis;Germ Cells;Gonads;Male;Reproduction;Reproductive behavior;Reproductive toxicity;Triazoles/toxicity;Vitellogenins;Zebrafish;Reproductive Behavior",NA,NA
rayyan-732627200,Glyphosate-based herbicides affect behavioural patterns of the livebearer Jenynsia multidentata.,2021,6,1,Environmental science and pollution research international,1614-7499 0944-1344,28,23,29958-29970,"Sánchez, Jessica Andrea Albañil and Barros, Daniela Marti and de Los Angeles Bistoni, Maria and Ballesteros, Maria Laura and Roggio, María Angelina and Martins, Camila De Gaspar Martinez",,eng,,,"Roundup® is one of the most widely marketed glyphosate-based herbicides in the world. There are many different formulations of this brand that differ from each  other in glyphosate concentration, salts and adjuvants, including surfactants,  which are labelled as ""inert"" compounds. Several studies have shown that these  formulations are highly toxic to fish, even compared with pure glyphosate.  However, mechanisms underlying this toxicity are not fully understood. In this  context, this study evaluated the effects of exposure to Roundup Original® (RO),  Roundup Transorb® (RT), and Roundup WG® (RWG) on the behavioural patterns of the  livebearer Jenynsia multidentata. This fish naturally inhabits agricultural areas  in southern Brazil and Argentina where glyphosate is used extensively. In the  experiment, animals were exposed to the herbicides for 96 h, at the  environmentally relevant concentration of 0.5 mg/L of glyphosate. Swimming  performance, anxiety, aggressiveness, long-term memory and male sexual activity  were recorded. The formulation RWG negatively affected swimming performance,  thigmotaxia and long-term memory consolidation. Conversely, RT reduced the sexual  performance of males. These results confirm that Roundup® formulations are  extremely harmful and also that they have different targets of toxicity,  affecting behaviours that are essential for fish survival.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Rhiannon""=>""Maybe""} | USER-NOTES: {""Rhiannon""=>[""adults?""]}",10.1007/s11356-020-11958-8,"*Herbicides/toxicity;*Water Pollutants, Chemical/toxicity;Animals;Aquatic environment;Argentina;Behaviour;Brazil;Ecotoxicology;Fish;Glycine/analogs & derivatives;Glyphosate;Male;Neurotoxicity;Roundup",NA,NA
rayyan-732627201,Assessing Anti-Social and Aggressive Behavior in a Zebrafish (Danio rerio) Model of Parkinson's Disease Chronically Exposed to Rotenone.,2022,7,8,Brain sciences,2076-3425,12,7,,"Ilie, Ovidiu-Dumitru and Duta, Raluca and Jijie, Roxana and Nita, Ilinca-Bianca and Nicoara, Mircea and Faggio, Caterina and Dobrin, Romeo and Mavroudis, Ioannis and Ciobica, Alin and Doroftei, Bogdan",,eng,,,"Background: Rotenone (ROT) is currently being used in various research fields, especially neuroscience. Separated from other neurotoxins, ROT induces a  Parkinson’s disease (PD)-related phenotype that mimics the associated clinical  spectrum by directly entering the central nervous system (CNS). It easily crosses  through the blood−brain barrier (BBB) and accumulates in mitochondria.  Unfortunately, most of the existing data focus on locomotion. This is why the  present study aimed to bring novel evidence on how ROT alone or in combination  with different potential ant(agonists) might influence the social and aggressive  behavior using the counterclockwise rotation as a neurological pointer. Material  and Methods: Thus, we exposed zebrafish to ROT—2.5 µg/L, valproic acid (VPA)—0.5  mg/mL, anti-parkinsonian drugs (LEV/CARB)—250 mg + 25 mg, and probiotics  (PROBIO)—3 g for 32 days by assessing the anti-social profile and mirror tests  and counterclockwise rotation every 4 days to avoid chronic stress. Results: We  observed an abnormal pattern in the counterclockwise rotation only in the (a)  CONTROL, (c) LEV/CARB, and (d) PROBIO groups, from both the top and side views,  this indicating a reaction to medication and supplements administered or a normal  intrinsic feature due to high levels of stress/anxiety (p < 0.05). Four out of  eight studied groups—(b) VPA, (c) LEV/CARB, (e) ROT, and (f) ROT + VPA—displayed  an impaired, often antithetical behavior demonstrated by long periods of time on  distinct days spent on the right and the central arm (p < 0.05, 0.005, and  0.0005). Interestingly, groups (d) PROBIO, (g) ROT + LEV/CARB, and (h) ROT +  PROBIO registered fluctuations but not significant ones in contrast with the  above groups (p > 0.05). Except for groups (a) CONTROL and (d) PROBIO, where a  normalized trend in terms of behavior was noted, the rest of the experimental  groups exhibited exacerbated levels of aggression (p < 0.05, 0.005, and 0.001)  not only near the mirror but as an overall reaction (p < 0.05, 0.005, and 0.001).  Conclusions: The (d) PROBIO group showed a significant improvement compared with  (b) VPA, (c) LEV/CARB, and ROT-treated zebrafish (e−h). Independently of the  aggressive-like reactions and fluctuations among the testing day(s) and groups,  ROT disrupted the social behavior, while VPA promoted a specific typology in  contrast with LEV/CARB.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Rhiannon""=>""Maybe""} | USER-NOTES: {""Rhiannon""=>[""adults?""]}",10.3390/brainsci12070898,aggressivity;anti-social;counterclockwise rotation;Danio rerio;Parkinson’s disease;rotenone;zebrafish;Parkinson Disease;Chronic Disease,NA,NA
