Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"ADKINS, EK",,,,"ADKINS, EK",,,EMBRYONIC EXPOSURE TO AN ANTIESTROGEN MASCULINIZES BEHAVIOR OF FEMALE QUAIL,PHYSIOLOGY & BEHAVIOR,,,English,Note,,,,,,,,,"CORNELL UNIV,DEPT PSYCHOL,ITHACA,NY 14853; CORNELL UNIV,SECT NEUROBIOL & BEHAV,ITHACA,NY 14853",Cornell University; Cornell University,,,,,,,,,19,70,71,0,2,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0031-9384,,,PHYSIOL BEHAV,Physiol. Behav.,,1976,17,2,,,,,357,359,,10.1016/0031-9384(76)90088-3,http://dx.doi.org/10.1016/0031-9384(76)90088-3,,,3,"Psychology, Biological; Behavioral Sciences",Science Citation Index Expanded (SCI-EXPANDED),Psychology; Behavioral Sciences,CH842,996168,,,,2024-03-03,WOS:A1976CH84200028,View Full Record in Web of Science
J,"Alanärä, A; Burns, MD; Metcalfe, NB",,,,"Alanärä, A; Burns, MD; Metcalfe, NB",,,Intraspecific resource partitioning in brown trout:: the temporal distribution of foraging is determined by social rank,JOURNAL OF ANIMAL ECOLOGY,,,English,Article,,,,,,antipredator behaviour; competition; diel activity rhythms; salmonid; Salmo trutta,JUVENILE RAINBOW-TROUT; FEEDING-ACTIVITY; ATLANTIC SALMON; COHO SALMON; GROWTH-RATE; SEA BASS; WEIGHT; TEMPERATURE; BEHAVIOR; RHYTHMS,"1. Animals can reduce the competition for a limiting resource by temporal segregation, whereby individuals exploit the resource at different times. However, the pay-offs may vary predictably over time, and it can be predicted that (a) more dominant competitors should gain access to resources at the preferred times and (b) the degree of temporal segregation will vary with the intensity of competition. 2. Here we show experimentally that individual brown trout Salmo trutta (L.) made sequential use of foraging areas, with dominant individuals feeding mainly at the most beneficial times of dusk and the early part of the night while more subordinate fish fed at other times. 3. However, the degree of overlap in foraging times between high-ranking fish was dependent on energetic demands. At low temperatures (when requirements were low) the temporal activity patterns of top-ranking fish were synchronized, with foraging concentrated at the preferred times. In contrast, when temperature was raised to increase energetic requirements, activity patterns showed strong temporal segregation: the most dominant fish remained predominantly nocturnal, whereas second-ranking fish became increasingly diurnal. 4. This is the first experimental demonstration of shifts in the daily pattern of activity caused by varying intensity of intraspecific competition.","Swedish Univ Agr Sci, Dept Aquaculture, SE-90183 Umea, Sweden; Univ Glasgow, Inst Biomed & Life Sci, Div Environm & Evolutionary Biol, Fish Biol Grp, Glasgow G12 8QQ, Lanark, Scotland",Swedish University of Agricultural Sciences; University of Glasgow,,anders.alanara@vabr.slu.se,"Metcalfe, Neil B./C-5997-2009","Metcalfe, Neil B./0000-0002-1970-9349",,,,,29,146,167,3,45,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8790,1365-2656,,J ANIM ECOL,J. Anim. Ecol.,NOV,2001,70,6,,,,,980,986,,10.1046/j.0021-8790.2001.00550.x,http://dx.doi.org/10.1046/j.0021-8790.2001.00550.x,,,7,Ecology; Zoology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Zoology,501NX,,,,,2024-03-03,WOS:000172692500010,View Full Record in Web of Science
J,"Alyan, S",,,,"Alyan, Sofyan",,,Aggressive behaviour in Betta splendens as a bio-indicator of freshwater pollution,FRESENIUS ENVIRONMENTAL BULLETIN,,,English,Article,,,,,,siamese fighting fish; metal pollutants; mercury; azide,SODIUM-AZIDE; FISH BEHAVIOR; TRACE-METAL; TOXICITY; EXPOSURE; CADMIUM; INDICATORS; RESPONSES; SURVIVAL,"Male Betta splendens are known to be highly territorial and aggressive towards conspecifics. The influence of two metal pollutants, mercuric chloride (HgCl2) and sodium azide (NaN3) on specific aggressive behaviours of the male Betta species was investigated. The aim was to determine if aggressive behaviour can be used as a metal pollution bio-indicator. For this purpose, two males were placed in an aquarium (60 x 25 x 25 cm) that was divided into two equal compartments by a clear, perforated Plexiglas wall. The aquarium was filled with untreated water as control, and with polluted water under experimental conditions. After 24 h, one male (intruder) was placed in the other male's (resident) half of the aquarium. The behaviour of both males, particularly, air gulping rate, latency to first bite and to first opercular expansion, were recorded. The results indicate that the males under treatment conditions were less aggressive than those under control conditions. Thus, the male Betta splendens aggressive behaviour can be potentially used as a biological indicator of pollutants in freshwater.","United Arab Emirates Univ, Al Ain, U Arab Emirates",United Arab Emirates University,"Alyan, S (corresponding author), United Arab Emirates Univ, POB 1755, Al Ain, U Arab Emirates.",Salyan@uaeu.ac.ae,,,,,,,43,7,7,2,28,PARLAR SCIENTIFIC PUBLICATIONS (P S P),FREISING,"ANGERSTR. 12, 85354 FREISING, GERMANY",1018-4619,1610-2304,,FRESEN ENVIRON BULL,Fresenius Environ. Bull.,,2007,16,2,,,,,176,181,,,,,,6,Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology,146MA,,,,,2024-03-03,WOS:000244937300011,View Full Record in Web of Science
J,"Amundsen, T; Forsgren, E",,,,"Amundsen, T; Forsgren, E",,,Male mate choice selects for female coloration in a fish,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,English,Article,,,,,,,SEXUAL SELECTION; PARENTAL INVESTMENT; DICHROMATISM; EVOLUTION; IMMUNOCOMPETENCE; STICKLEBACKS; ASTAXANTHIN; COMPETITION; DIMORPHISM; DIRECTION,"Although sexual selection theory has proved successful in explaining a wide array of male ornaments, the function of ornaments occurring in females is largely unknown. Traditionally, female ornaments have been considered nonfunctional, being merely a genetically correlated response to selection for male ornamentation. However, this hypothesis is only relevant to species in which the ornament is basically the same in the two sexes. Alternatively, female ornaments may be influenced by selection acting directly on the females, either through female-female competition or male choice. We tested the latter hypothesis in mate-choice experiments with two-spotted gobies (Gobiusculus flavescens). In this small marine fish, females have bright yellow-orange bellies during the breeding season, a conspicuous trait that is not present in males. We conducted two aquarium experiments to test whether males preferred to mate with more colorful females. In the first experiment, males had a choice between two females that varied in natural coloration (and belly roundness). In the second experiment, we manipulated belly coloration and kept roundness constant. Males spent more time with colorful than with drab females in both experiments and also performed far more courtship displays toward colorful females. our study provides experimental evidence that males prefer ornamented females in a fish that is not sex-role reversed, supporting the hypothesis that female ornamentation is sexually selected.","Norwegian Univ Sci & Technol, Dept Zool, N-7491 Trondheim, Norway; Univ Gothenburg, Dept Marine Ecol, Kristineberg Marine Res Stn, S-45034 Fiskebackskil, Sweden",Norwegian University of Science & Technology (NTNU); University of Gothenburg,"Amundsen, T (corresponding author), Norwegian Univ Sci & Technol, Dept Zool, N-7491 Trondheim, Norway.",trond.amundsen@chembio.ntnu.no,,"Amundsen, Trond/0000-0003-4261-0555",,,,,49,302,352,8,138,NATL ACAD SCIENCES,WASHINGTON,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",0027-8424,,,P NATL ACAD SCI USA,Proc. Natl. Acad. Sci. U. S. A.,NOV 6,2001,98,23,,,,,13155,13160,,10.1073/pnas.211439298,http://dx.doi.org/10.1073/pnas.211439298,,,6,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics,490WM,11606720,Green Published,,,2024-03-03,WOS:000172076800059,View Full Record in Web of Science
J,"Ankley, GT; Jensen, KM; Makynen, EA; Kahl, MD; Korte, JJ; Hornung, MW; Henry, TR; Denny, JS; Leino, RL; Wilson, VS; Cardon, MC; Hartig, PC; Gray, LE",,,,"Ankley, GT; Jensen, KM; Makynen, EA; Kahl, MD; Korte, JJ; Hornung, MW; Henry, TR; Denny, JS; Leino, RL; Wilson, VS; Cardon, MC; Hartig, PC; Gray, LE",,,Effects of the androgenic growth promoter 17-?-trenbolone on fecundity and reproductive endocrinology of the fathead minnow,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,,English,Article,,,,,,17-beta-trenbolone; fathead minnow; reproduction; endocrine function,TRENBOLONE ACETATE; IN-VITRO; ESTROGENIC CHEMICALS; STW EFFLUENT; RIVER WATER; VITELLOGENIN; IDENTIFICATION; HORMONES; ANDROSTENEDIONE; TESTOSTERONE,"Trenbolone acetate is a synthetic steroid that is extensively used in the United States as a growth promoter in beef cattle. The acetate is administered to livestock via slow-release implants; some is converted by the animal to 17-beta-trenbolone, a relatively potent androgen receptor agonist in mammalian systems. Recent studies indicate that excreted 17-beta-trenbolone is comparatively stable in animal waste, suggesting the potential for exposure to aquatic animals via direct discharge, runoff, or both. However, little is known concerning the toxicity of trenbolone to fish. Our goal was to assess the effects of 17-beta-trenbolone on reproductive endocrinology of the fathead minnow (Pimephales promelas). An in vitro competitive binding study with the fathead minnow androgen receptor demonstrated that 17-beta-trenbolone had a higher affinity for the receptor than that of the endogenous ligand, testosterone. Male and female fish were exposed for 21 d to nominal (target) concentrations of 17-beta-trenbolone ranging from 0.005 to 50 mug/L. Fecundity of the fish was significantly reduced by exposure to measured test concentrations greater than or equal to 0.027 mug/ L. The 17-beta-trenbolone was clearly androgenic in vivo at these concentrations, as evidenced by the de novo production in females of dorsal (nuptial) tubercles, structures normally present only on the heads of mature males. Plasma steroid (testosterone and beta-estradiol) and vitellogenin concentrations in the females all were significantly reduced by exposure to 17-beta-trenbolone. The 17-beta-trenbolone also altered reproductive physiology of male fathead minnows, albeit at concentrations much higher than those producing effects in females. Males exposed to 17-beta-trenbolone at 41 mug/L (measured) exhibited decreased plasma concentrations of 11-ketotestosterone and increased concentrations of beta-estradiol and vitellogenin. Overall, our studies indicate that 17-beta-trenbolone is a potent androgen and reproductive toxicant in fish. Given the widespread use of trenbolone acetate as a growth promoter, and relative stability of its metabolites in animal wastes, further studies are warranted to assess potential ecological risk.","US EPA, Natl Hlth & Environm Effects Res Lab, Mid Continent Ecol Div, Duluth, MN 55804 USA; US EPA, Natl Hlth & Environm Effects Res Lab, Expt Toxicol Div, Duluth, MN 55804 USA; Univ Minnesota, Sch Med, Dept Anat & Cell Biol, Duluth, MN 55812 USA; US EPA, Natl Hlth & Environm Effects Res Lab, Reprod Toxicol Div, Res Triangle Pk, NC 27711 USA",United States Environmental Protection Agency; United States Environmental Protection Agency; University of Minnesota System; University of Minnesota Duluth; United States Environmental Protection Agency,"Ankley, GT (corresponding author), US EPA, Natl Hlth & Environm Effects Res Lab, Mid Continent Ecol Div, 6201 Congdon Blvd, Duluth, MN 55804 USA.",ankley.gerald@epa.gov,,"Denny, Jeff/0000-0002-1646-6177; Wilson, Vickie/0000-0003-1661-8481; gray jr, leon earl/0000-0002-1111-4754",,,,,50,326,385,2,113,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0730-7268,1552-8618,,ENVIRON TOXICOL CHEM,Environ. Toxicol. Chem.,JUN,2003,22,6,,,,,1350,1360,,10.1002/etc.5620220623,http://dx.doi.org/10.1002/etc.5620220623,,,11,Environmental Sciences; Toxicology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Toxicology,727CQ,12785594,,,,2024-03-03,WOS:000185639100023,View Full Record in Web of Science
J,"Ankley, GT; Johnson, RD",,,,"Ankley, GT; Johnson, RD",,,Small fish models for identifying and assessing the effects of endocrine-disrupting chemicals,ILAR JOURNAL,,,English,Article,,,,,,comparative endocrinology; development; endocrine-disrupting chemicals; fathead minnow; medaka; reproduction; test methods; zebrafish,MEDAKA ORYZIAS-LATIPES; ZEBRAFISH DANIO-RERIO; DEVELOPMENTAL ESTROGENIC EXPOSURE; SECONDARY SEX CHARACTERISTICS; EARLY-LIFE-STAGES; FATHEAD MINNOW; REPRODUCTIVE-PERFORMANCE; VITELLOGENIN INDUCTION; WATERBORNE EXPOSURE; GONADAL DEVELOPMENT,"Endocrine-disrupting chemicals (EDCs), particularly those that affect the hypothalamic-pituitary-gonadal (HPG) axis of vertebrates, have become a focus of regulatory screening and testing throughout the world. Small fish species, principally the fathead minnow (Pimephales promelas), Japanese medaka (Oryzias latipes), and zebrafish (Danio rerio), are used as model organisms for several of these testing pro-rams. Fish are appropriate models for testing EDCs, not only from the perspective of existing ecological impacts, but also in terms of species extrapolation. Specifically, there is a significant degree of conservation of basic aspects of the HPG axis across vertebrates, which provides a technically robust basis for using results from fish tests to predict likely modes/mechanisms of action of potential EDCs in other vertebrates. Different experimental designs/endpoints for, partial- and full-life cycle tests with fish that enable a consideration of a broad range of EDCs are described. Examples of results with specific chemicals in tests with the fathead minnow, medaka. and zebrafish are presented and discussed in terms of sensitivity and specificity for different classes of EDCs.","Natl Hlth & Environm Effects, Res Lab, US EPA, Off Res & Dev,Mid Continent Ecol Div, Duluth, MN USA",United States Environmental Protection Agency,"Ankley, GT (corresponding author), Natl Hlth & Environm Effects, Res Lab, US EPA, Off Res & Dev,Mid Continent Ecol Div, Duluth, MN USA.",,"Johnson, Rodney/JXN-1278-2024",,,,,,96,201,246,2,82,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",1084-2020,1930-6180,,ILAR J,ILAR J.,,2004,45,4,,,,,469,483,,10.1093/ilar.45.4.469,http://dx.doi.org/10.1093/ilar.45.4.469,,,15,Veterinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Veterinary Sciences,862GZ,15454686,Bronze,,,2024-03-03,WOS:000224480300010,View Full Record in Web of Science
J,"Arukwe, A; Knudsen, FR; Goksoyr, A",,,,"Arukwe, A; Knudsen, FR; Goksoyr, A",,,Fish zona radiata (eggshell) protein: A sensitive biomarker for environmental estrogens,ENVIRONMENTAL HEALTH PERSPECTIVES,,,English,Article,,,,,,aquatic ecotoxicology; biomarkers; eggshell protein; fish; nonylphenol; vitellogenin,ONCORHYNCHUS-MYKISS HEPATOCYTES; RAINBOW-TROUT; GADUS-MORHUA; VITELLOGENIN; INDUCTION; ESTRADIOL-17-BETA; CHEMICALS; ENVELOPE; PELLUCIDA; COD,"Environmental estrogens have recently caused great concern because of their ability to mimic natural hormones and influence vital endocrine functions in humans and wildlife. The induction of vitellogenin (Vtg) synthesis by environmental estrogens in viviparous vertebrates has been proposed as an effective and sensitive biomarker of estrogenicity. Immunochemical analysis of plasma from Atlantic salmon (Salmo salar) exposed to 4-nonylphenol (NP) or to effluent from oil refinery treatment plant (ORTP), shows that NP and ORTP effluent induces Vtg and zona radiata proteins (Zrp) in a dose-dependent manner. However, Zrp-beta cross-reactive proteins are more responsive than Zrp-alpha, Zrp-gamma, and Vtg. The sensitivity of Zrp induction points to the zona radiata proteins as alternate biomarkers of estrogenicity.","UNIV OSLO,DEPT BIOL,OSLO,NORWAY",University of Oslo,"Arukwe, A (corresponding author), UNIV BERGEN,LAB MARINE MOL BIOL,HIB,DEPT MOL BIOL,N-5020 BERGEN,NORWAY.",,"Arukwe, Augustine/H-8497-2014; Goksøyr, Anders/A-2818-2013; Goksøyr, Anders/F-8320-2010; Arukwe, Augustine/ABD-4927-2020","Goksøyr, Anders/0000-0003-4054-9842; Arukwe, Augustine/0000-0002-2134-4799",,,,,37,187,203,2,38,US DEPT HEALTH HUMAN SERVICES PUBLIC HEALTH SERVICE,RES TRIANGLE PK,"NATL INST HEALTH, NATL INST ENVIRONMENTAL HEALTH SERVICES, PO BOX 12233, RES TRIANGLE PK, NC 27709-2233",0091-6765,,,ENVIRON HEALTH PERSP,Environ. Health Perspect.,APR,1997,105,4,,,,,418,422,,10.1289/ehp.97105418,http://dx.doi.org/10.1289/ehp.97105418,,,5,"Environmental Sciences; Public, Environmental & Occupational Health; Toxicology",Science Citation Index Expanded (SCI-EXPANDED),"Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Toxicology",XW502,9189707,"gold, Green Published",,,2024-03-03,WOS:A1997XW50200020,View Full Record in Web of Science
J,"Baganz, D; Siegmund, R; Staaks, G; Pflugmacher, S; Steinberg, CEW",,,,"Baganz, D; Siegmund, R; Staaks, G; Pflugmacher, S; Steinberg, CEW",,,Temporal pattern in swimming activity of two fish species (Danio rerio and Leucaspius delineatus) under chemical stress conditions,BIOLOGICAL RHYTHM RESEARCH,,,English,Article,,,,,,circadian rhythm; cosinor analysis; periodogram; swimming activity; microcystin-LR; stress; fish; Danio rerio; Leucaspius delineatus,CYANOBACTERIUM MICROCYSTIS-AERUGINOSA; RAINBOW-TROUT; PEPTIDE TOXIN; BEHAVIOR; ZEBRAFISH; RHYTHMS; LR; TOXICITY; CATFISH; TIME,"Circadian periodicity of swimming activity was investigated in two fish species, the zebrafish (Danio rerio) and the sunbleak (Leucaspius delineatus) under sublethal long-term exposure to the cyanobacteria toxin microcystin-LR (nominal concentrations of 0.5 mu g l(-1), 5 mu g l(-1), 15 mu g l(-1), 50 mu g l(-1)) in 15-litre tanks. Swimming activity of fish was monitored continuously by using an automated video-monitoring and object-tracing system over a period of 17 days. Influenced by long-term exposure to microcystin-LR, Leucaspius delineatus reversed their significant diurnal swimming activity and the fish became statistically significant nocturnal. Danio rerio remained diurnal active, but a significant phase shift was registered. In both Danio rerio and Leucaspius delineatus analysis of time series by cosinor regression revealed microcystin-LR induced dose-dependent alterations of the mean of oscillation, amplitude, acrophase and period length in a different extent. For Danio rerio the periodogram analysis revealed a significant circadian component of swimming activity for control as well as exposure groups, whereby the spectral amplitude clearly decreased at microcystin-LR concentrations of 15 and 50 mu g l(-1). For Leucaspius delineatus the amplitude of circadian rhythm was decreased at all exposure concentrations of MC-LR. Furthermore the dominance of circadian rhythm was clearly reduced, whereas the rate of ultradian rhythms increased at elevated MC-LR concentrations of 5 mu g l(-1), 15 mu g l(-1) and 50 mu g l(-1). The studied temporal aspects of behaviour clearly indicated stress symptoms in both fish species, therefore it proved to be a relevant method to characterise the impact of toxic substances in the environment and for biomonitoring.","Leibniz Inst Freshwater Ecol & Inland Fisheries, D-12587 Berlin, Germany; Humboldt Univ, Inst Med Anthropol, D-10177 Berlin, Germany; Humboldt Univ, Inst Biol, D-10099 Berlin, Germany",Leibniz Institut fur Gewasserokologie und Binnenfischerei (IGB); Humboldt University of Berlin; Humboldt University of Berlin,"Baganz, D (corresponding author), Leibniz Inst Freshwater Ecol & Inland Fisheries, POB 850119, D-12587 Berlin, Germany.",baganz@igb-berlin.de,"Staaks, Georg/AAR-7862-2021; Steinberg, Christian/O-8572-2019; Pflugmacher, Stephan/AHD-0910-2022","Staaks, Georg/0000-0003-3516-6767; Pflugmacher, Stephan/0000-0003-1052-2905; Steinberg, Christian E.W./0000-0002-3132-8901; Baganz, Daniela/0000-0002-0876-9100",,,,,34,11,12,1,31,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0929-1016,1744-4179,,BIOL RHYTHM RES,Biol. Rhythm Res.,JUL,2005,36,3,,,,,263,276,,10.1080/09291010500103112,http://dx.doi.org/10.1080/09291010500103112,,,14,Biology; Physiology,Science Citation Index Expanded (SCI-EXPANDED),Life Sciences & Biomedicine - Other Topics; Physiology,947DD,,,,,2024-03-03,WOS:000230622700007,View Full Record in Web of Science
J,"Balch, GC; Mackenzie, CA; Metcalfe, CD",,,,"Balch, GC; Mackenzie, CA; Metcalfe, CD",,,Alterations to gonadal development and reproductive success in Japanese medaka (Oryzias latipes) exposed to 17?-ethinylestradiol,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,,,English,Article,,,,,,endocrine disrupters; estrogens; intersex; behavior; medaka,TESTIS-OVA; IN-VIVO; SEXUAL DISRUPTION; SHEEPSHEAD MINNOW; LIFE-CYCLE; INDUCTION; BEHAVIOR; VITELLOGENIN; FISH; ETHYNYLESTRADIOL,"The Japanese medaka (Oryzias latipes) was used as an in vivo model to evaluate the effects of exposure to the synthetic estrogen 17alpha-ethinylestradiol (EE2) on reproductive behavior and reproductive success in fish. Exposures to EE2 began within 2 to 5 d posthatch and continued until medaka were sexually mature, between four and six months of age. Among male and female medaka exposed to EE2 at nominal concentrations of 0.2 and 2 ng/L, mating behavior and reproductive success were normal in reproductive trials. However, reproductive behavior (i.e., copulations) was suppressed in the treatment with 10 ng/L EE2. Among 19 males exposed to 10 ng/L EE2 and placed with unexposed females in reproductive trials, 16 males did not copulate and reproductive success was very low. None of the females exposed to 10 ng/L of EE2 participated in reproductive behavior with unexposed males. The reproductive trials in combination with a histological survey indicated that male fish with gonadal intersex (i.e., testis-ova) were still capable of reproductive behavior and could fertilize eggs. Even though females exposed to 10 ng/L EE2 had poor reproductive success, their ovaries showed normal development and oogenesis. These data are relevant to observations of intersex in feral fish populations. Although intersex in male fish may be an indicator of exposure to estrogenic compounds, it appears that the presence of oocytes in testicular tissue may not directly impact the reproductive capability of the male fish. However, it is clear that concentrations of endocrine disrupting chemicals (EDCs) that cause gonadal intersex are sufficient to reduce reproductive performance.","Trent Univ, Environm & Resource Studies Program, Peterborough, ON K9J 7B8, Canada",Trent University,"Balch, GC (corresponding author), Trent Univ, Environm & Resource Studies Program, Peterborough, ON K9J 7B8, Canada.",gbalch@trentu.ca,"Mackenzie, Constance/GRE-6965-2022",,,,,,42,112,135,1,43,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0730-7268,1552-8618,,ENVIRON TOXICOL CHEM,Environ. Toxicol. Chem.,MAR,2004,23,3,,,,,782,791,,10.1897/02-539,http://dx.doi.org/10.1897/02-539,,,10,Environmental Sciences; Toxicology,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology; Toxicology,776NT,15285373,,,,2024-03-03,WOS:000189122600032,View Full Record in Web of Science
J,"Barber, LB; Keefe, SH; Antweiler, RC; Taylor, HE; Wass, RD",,,,"Barber, LB; Keefe, SH; Antweiler, RC; Taylor, HE; Wass, RD",,,Accumulation of contaminants in fish from wastewater treatment wetlands,ENVIRONMENTAL SCIENCE & TECHNOLOGY,,,English,Article,,,,,,,SEMIPERMEABLE-MEMBRANE DEVICES; ORGANIC-COMPOUNDS; BIOCONCENTRATION FACTORS; PARTITION-COEFFICIENT; CONSTRUCTED WETLANDS; AQUATIC ENVIRONMENT; RIVER; BIOACCUMULATION; CHEMICALS; SEDIMENT,"Increasing demands on water resources in arid environments make reclamation and reuse of municipal wastewater an important component of the water budget. Treatment wetlands can be an integral part of the water-reuse cycle providing both water-quality enhancement and habitat functions. When used for habitat, the bioaccumulation potential of contaminants in the wastewater is a critical consideration. Water and fish samples collected from the Tres Rios Demonstration Constructed Wetlands near Phoenix, Arizona, which uses secondary-treated wastewater to maintain an aquatic ecosystem in a desert environment, were analyzed for hydrophobic organic compounds (HOC) and trace elements. Semipermeable membrane devices (SPMD) were deployed to investigate uptake of HOC. The wetlands effectively removed HOC, and concentrations of herbicides, pesticides, and organic wastewater contaminants decreased 40-99% between inlet and outlet. Analysis of Tilapia, mossambica and Gambusia affinis indicated accumulation of HOC, including p,p'-DDE and trans-nonachlor. The SPMD accumulated the HOC detected in the fish tissue as well as additional compounds. Trace-element concentrations in whole-fish tissue were highly variable, but were similar between the two species. Concentrations of HOC and trace elements varied in different fish tissue compartments, and concentrations in Tilapia liver tissue were greater than those in the whole organism or filet tissue. Bioconcentration factors for the trace elements ranged from 5 to 58 000 and for the HOC ranged from 530 to 150 000.","US Geol Survey, Boulder, CO 80303 USA; Wass Gerke & Assoc Inc, Phoenix, AZ 85014 USA",United States Department of the Interior; United States Geological Survey,"Barber, LB (corresponding author), US Geol Survey, 3215 Marine St, Boulder, CO 80303 USA.",lbbarber@usgs.gov,,"Antweiler, Ronald/0000-0001-5652-6034",,,,,50,52,64,1,48,AMER CHEMICAL SOC,WASHINGTON,"1155 16TH ST, NW, WASHINGTON, DC 20036 USA",0013-936X,,,ENVIRON SCI TECHNOL,Environ. Sci. Technol.,JAN 15,2006,40,2,,,,,603,611,,10.1021/es0514287,http://dx.doi.org/10.1021/es0514287,,,9,"Engineering, Environmental; Environmental Sciences",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Environmental Sciences & Ecology,006SG,16468409,,,,2024-03-03,WOS:000234916700031,View Full Record in Web of Science
