"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3LE7XFY6","thesis","2019","Suárez Alvarado, María Angélica","Degradación de carbofurano, paraquat y clorpirifos por procesos de oxidación avanzada","","","","","http://hdl.handle.net/11634/18698","El agua es un recurso esencial para conservar la vida de todos los seres que habitan el planeta, y se ha visto afectado por el uso indiscriminado de plaguicidas tóxicos. Según las estadísticas de comercialización de plaguicidas químicos de uso agrícola reportadas por el Instituto Colombiano Agropecuario (ICA), en el año 2016 en nuestro país se vendieron en total 57´284.087 litros de pesticidas, dentro de los cuales resaltan el paraquat con 4´471.787, el mancozeb con 2´764.047, el clorpirifos con 2´197.095 y el carbofurano con 126.21 L (Tabla 1); estos plaguicidas presentan alta toxicidad sobre mamíferos y todos los animales no-objetivo presentes en los ecosistemas. El uso desmedido e indiscriminado de pesticidas poco biodegradables usados en el control de plagas en el país, ha incrementado la producción de lixiviados; debido a que gran parte de ellos no permanecen en el cultivo, se filtran por el suelo y contaminan los acuíferos. Es por esto que en la presente investigación se empleó la fotocatálisis heterogénea como método de oxidación avanzada para degradar el carbofurano, el paraquat y el clorpirifos, los cuales son pesticidas empleados ampliamente en diversos cultivos implementados en Colombia, tales como la papa, caña de azúcar, café, cebolla, maíz, entre otros. Durante este proceso se sintetizó y metaló con hierro (III) las tetrafenilporfirina cloro (TClPP) y tetrafenilporfirina metoxi (TMeOPP) por medio de reacciones de condensación y coordinación reportadas en la literatura (Adler et al., 1967; Falvo et al 1999). Luego las porfirinas fueron soportadas en nanotubos de dióxido de titanio (TNT), lo cuales se prepararon por medio de una reacción hidrotermal, la cual se basa en un tratamiento alcalino de un precursor de óxido de titanio (Wu, et al., 2015). Como resultado, las modificaciones realizadas al dióxido de titanio comercial generaron un aumento en la producción de especies oxidantes cuando se sometía a radiación UV-Vis, así como la ampliación de la activación del semiconductor al rango visible. Los ...","2019","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universidad Santo Tomás ; Maestría Ciencias y Tecnologías Ambientales ; Facultad de Química Ambiental","","spa","","","","","","","","","","","Carbofuran; Carbofurano; Chlorpyrifos; Clorpirifos; Fotocatálisis; Fotocatálisis heterogénea; Free porphyrins; Heterogeneous photocatalysis; Metallic porphyrins with iron (III); Nanotubos de dióxido de titanio (TNT); Paraquat; Plaguicidas; Porfirinas; Porfirinas libres; Porfirinas metálicas con hierro (III); Titanium dioxide nanotubes (TNT)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE9NUT7V","thesis","2023","Prada Vásquez, María Angélica","Degradation of pharmaceuticals from municipal wastewater effluents by ozone-based advanced oxidation processes ; Degradación de compuestos farmacéuticos presentes en efluentes de aguas residuales municipales mediante procesos de oxidación avanzada-basados en ozono","","","","","https://repositorio.unal.edu.co/handle/unal/85389","Ilustraciones ; Debido a la creciente preocupación sobre la liberación de contaminantes de preocupación emergente (CECs) en diferentes compartimentos de agua, la necesidad de métodos efectivos y sostenibles de tratamiento de agua se ha convertido en un tema significativo. Estos CECs, que incluyen varios compuestos activos farmacéuticos (PhACs), productos de cuidado personal y otros contaminantes, plantean desafíos a los procesos convencionales de tratamiento de agua. Como resultado, existe una creciente necesidad de implementar soluciones alternativas para abordar este problema apremiante y garantizar la protección de nuestros recursos hídricos. En este contexto, la aplicación de tecnologías avanzadas como los procesos de tratamiento de agua mediante ozonación ha surgido como un enfoque prometedor para abordar la eliminación de compuestos orgánicos recalcitrantes, especialmente PhACs y salvaguardar la calidad de nuestro fuentes de agua. La ozonación se destaca como una tecnología versátil y poderosa capaz de atacar directa y selectivamente compuestos orgánicos, especialmente bajo condiciones de pH ácido. Simultáneamente, bajo condiciones de pH alcalino, el ozono puede sufrir descomposición a través de un mecanismo de reacción en cadena y generar radicales hidroxilo (HO•) altamente reactivos y menos selectivos. A pesar de su alta efectividad como técnica de tratamiento de agua, la ozonación convencional enfrenta dos desventajas principales: la mineralización incompleta y, en consecuencia, acumulación de subproductos de reacción desconocidos, así como limitaciones en la transferencia de masa gas-líquido. Este trabajo de tesis de doctorado se enfoca en contribuir al conocimiento existente sobre los diferentes procesos avanzados de oxidación (AOPs) basados en ozono como estrategias para mejorar o intensificar el rendimiento químico del proceso de ozonación para la eliminación de PhACs. Además, tiene como objetivo ampliar el conocimiento sobre la evaluación del rendimiento de un contactor de membrana para la ...","2023","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universidad Nacional de Colombia ; Medellín - Minas - Doctorado en Ingeniería - Recursos Hidráulicos ; Facultad de Minas ; Medellín, Colombia ; Universidad Nacional de Colombia - Sede Medellín","","eng","","","","","","","","","","","540 - Química y ciencias afines; 600 - Tecnología (Ciencias aplicadas); 660 - Ingeniería química; Contaminantes de preocupación emergente; Contaminants of emerging concern; Oxidación; Ozone; Ozono; Purificación de aguas residuales; Transformación de residuos; Tratamiento de aguas residuales; Wastewater treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ6WPQPR","thesis","2022","Olarte Jimenez, Leonardo Junior","Diseño de una metodología para la selección de sistemas de información logístico que permita mejorar la productividad del almacenamiento en una empresa de tipo agroquímico en la ciudad de Barranquilla","","","","","https://hdl.handle.net/11323/9427","Hoy en día muchas organizaciones buscan ser más eficientes en sus procesos logísticos, pues esto les permite obtener ciertas ventajas frente a sus competidores. Teniendo en cuenta lo anterior, las empresas establecen estrategias que faciliten el cumplimiento de sus objetivos corporativos, por lo cual pretenden ser más agiles en la ejecución de actividades y toma de decisiones, para ello se hace necesario implementar un sistema de información adaptado a las necesidades de cada compañía, considerando la importancia de una gestión efectiva y eficiente de la logística. En medio de esta investigación y revisión de los procesos, se evidenciaron diferentes fallas operacionales que dificultan una buena comunicación entre áreas y obtener una información oportuna, esto debido a factores como; Falta de herramientas sistemáticas y físicas, Falta de entrenamientos, Manualidad de la información, descentralización de la información, procesos basados en la observación y a criterio del operario, entre otros problemas que son mencionados en medio de este proyecto. En consecuente, la investigación tiene como objetivo el desarrollo de una metodología basada en esos aspectos operacionales que permiten identificar el estado actual de la compañía y obtener la información necesaria para la seleccionar un sistemas de información logístico adecuado o que se adapte para mejorar las condiciones de almacenamiento y la productividad en empresas de tipo agroquímico, aportando así al crecimiento y fortalecimiento del sector, para generar a su vez, nuevas estrategias que permitan a futuro otras investigaciones y desarrollos en el campo logístico, no solo para el sector estudiado, sino, para todos las empresas que quieran implementar un SIL ; Today, many organizations seek to be more efficient in their logistics processes, as this allows them to obtain certain advantages over their competitors. Taking into account the above, companies establish strategies that facilitate the fulfillment of their corporate objectives, for which they intend to be ...","2022","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Corporación Universidad de la Costa ; Ingeniería ; Barranquilla, Colombia ; Maestría en Ingeniería","","spa","","","","","","","","","","","Almacenamiento; Information systems; Logística; Logistics; Operaciones; Operations; Procesos; Processes; Productividad; Productivity; Sistemas de información; Warehousing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUG5JY7M","thesis","2016","Bori Dols, Jaume","Ecotoxicological bioassays as complementary tools for the risk assessment of contaminated soils","","","","","http://hdl.handle.net/2117/109817","Versió amb una secció encriptada, per drets de l'editor ; Environmental impacts associated to the unstoppable growth of human population are threatening ecosystems worldwide. Among them, soil ecosystems are becoming increasingly degraded due to their unsustainable use and management, which is leading to the loss of a key resource that is fundamental to life on the planet. As the interface between land, air and water, soil ecosystems perform many cultural, economic, environmental, and social functions that are worthy of protection. During the last decades, several legislative tools have been created with varying success aiming to ensure soil protection. Even so, soils are major sinks of anthropogenic pollutants and, in consequence, human-induced contamination still represents a serious threat for soil ecosystems due to the massive release of metals, hydrocarbons and pesticides (among others). In this context, the application of methodologies for the proper assessment and remediation of contaminated soils has become mandatory if their ability to perform their functions is to be preserved. The risks associated to soil contamination have been traditionally evaluated through chemical quantification of pollutants. Unfortunately, such techniques have proven insufficient to properly assess soil pollution because they can only focus on concentrations of specific contaminants and they obviate the interactions between pollutants, soil matrix and soil inhabiting organisms. Ecotoxicity bioassays, on the other hand, do integrate all these interactions and can become very valuable tools for a better and more realistic assessment of the effects of contaminants in soil ecosystems. In this work, chemical analysis together with terrestrial and aquatic ecotoxicity bioassays are applied to samples from contaminated sites and to artificially-contaminated soils in order to evaluate their associated ecological risks. The suitability of different ecotoxicity tests is assessed according to the nature of the soil contaminant, and the parameters responsible of the toxicity to organisms are analyzed. The selected bioassays include measurements on different endpoints (mortality, reduced growth, etc.), exposure times (acute or chronic), effective responses (lethal or sublethal), and organisms (earthworms, collembolans, plants, bacteria, algae, daphnids and fishes). This study proves that the application of ecotoxicity bioassays is not only useful but also desirable as a complementary tool for a reliable assessment of contaminated soils. In Chapter 1, the problem of soil contamination, the main soil pollutants and the available tools for soil risk assessment are briefly introduced. The hypothesis of this work and its main objectives are also presented. Finally, the methodology applied during the performance of this work is summarized. In Chapter 2, the environmental threats of soils surrounding and abandoned mercury mine in Valle del Azogue (Almería, Spain) are studied. Chapter 3 assesses the risks associated to an abandoned F-Ba-Pb-Zn mining area in Osor (Girona, Spain). Chapter 4 evaluates the ecological impacts of soils from the abandoned mercury mining district of Almadén (Ciudad Real, Spain). In Chapter 5, the remediation procedure of a hydrocarbon-contaminated soil is assessed through ecotoxicity tests and chemical analysis and their suitability as monitoring tools of hydrocarbon degradation is studied. In Chapter 6, the risks that field doses of the (until recently) massively-applied insecticide imidacloprid (commercial formulation Confidor®) pose for the terrestrial and aquatic compartments are studied. Chapter 7 presents an alternative procedure to test the behavioral response of collembolans Folsomia candida in avoidance tests. Chapter 8 includes the most relevant information and presents the main conclusions. ; Els impactes ambientals associats a l’imparable creixement de la població humana estan amenaçant els ecosistemes de tot el món. D’entre ells, els ecosistemes terrestres es veuen cada vegada més degradats degut a un ús i administració insostenibles, els quals estan conduint a la pèrdua d’un recurs fonamental per a la vida al planeta. Com a interfase entre la terra, l’aire i l’aigua, els ecosistemes terrestres realitzen multitud de funcions culturals, econòmiques, ambientals i socials que cal protegir. A tal efecte, durant les últimes dècades s’han creat diverses eines legislatives enfocades a assegurar la protecció dels sòls, les quals han tingut un èxit variable. No obstant això, els sòls són un dels principals destins dels contaminants antropogènics i, en conseqüència, la contaminació induïda per l'home encara representa una seriosa amenaça per als ecosistemes terrestres a causa de l'alliberament massiu de metalls, hidrocarburs i plaguicides (entre d'altres). En aquest context, l’aplicació de metodologies adequades per a l’avaluació i remediació de sòls contaminats ha esdevingut obligatòria si es vol preservar la seva capacitat per a desenvolupar les seves funcions. Tradicionalment els riscs associats a la contaminació del sòl han estat avaluats a través de quantificacions químiques de contaminants. Malauradament, aquestes tècniques han demostrat ser insuficients per a una adequada valoració de la contaminació del sòl ja que només poden centrar-se en les concentracions de contaminants específics i obvien les interaccions entre contaminants, la matriu del sòl i els organismes que l’habiten. D’altra banda, els bioassajos d’ecotoxicitat integren totes aquestes interaccions i poden esdevenir eines valuoses per a una avaluació millor i més realista dels efectes dels contaminants en els ecosistemes terrestres. En aquest treball s’han aplicat anàlisis químics conjuntament amb bioassajos d’ecotoxicitat terrestre i aquàtica a fi d’avaluar els riscs ecològics associats a mostres d’emplaçaments contaminats i a sòls contaminats artificialment. La idoneïtat dels diferents tests d’ecotoxicitat s’ha avaluat d’acord a la naturalesa del contaminant del sòl i s’han analitzat els paràmetres responsables de la toxicitat vers els organismes. Els bioassajos seleccionats inclouen mesures de diferents paràmetres (mortalitat, creixement reduït, etc.), temps d’exposició (aguda o crònica), respostes efectives (letal o subletal), i organismes (cucs de terra, col·lèmbols, plantes, bacteris, algues, dàfnids i peixos). Aquest estudi demostra que l’aplicació de bioassajos d’ecotoxicitat no només és útil sinó desitjable com a eina complementaria per a una avaluació fidedigna dels sòls contaminats. En el Capítol 1 s’introdueix breument la problemàtica de la contaminació del sòl, els seus principals contaminants i els mètodes disponibles per a l’avaluació del risc associats als sòls. També es presenten la hipòtesi d’aquest treball i els seus principals objectius. Finalment es resumeix la metodologia aplicada durant la realització d’aquesta tesi. En el Capítol 2 s’estudia l’amenaça ambiental que representen els sòls situats al voltant d’una mina de mercuri abandonada a la Vall del Azogue (Almeria, Espanya). Al Capítol 3 s’avaluen els riscs associats a una zona minera de F-Ba-Pb-Zn abandonada a l’àrea d’Osor (Girona, Espanya). Al Capítol 4 s’avaluen els impactes ecològics dels sòls del districte miner de mercuri abandonat a Almadén (Ciudad Real, Espanya). En el Capítol 5 s’avalua el procés de remediació d’un sòl contaminat amb hidrocarburs a través d’assajos d’ecotoxicitat i anàlisis químics i se n’estudia la seva idoneïtat com a eines de monitoratge de la degradació d’hidrocarburs. En el Capítol 6 s’estudien els riscs que representen per als ambients terrestres i aquàtics les dosis d’aplicació d’imidacloprid (formulació comercial Confidor®), un insecticida fins fa poc aplicat massivament. El Capítol 7 presenta un procediment alternatiu per a testejar la resposta conductual dels col·lèmbols Folsomia candida en assajos d’allunyament. El Capítol 8 inclou la informació més rellevant i presenta les principals conclusions d’aquesta tesi. ; Postprint (published version)","2016","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universitat Politècnica de Catalunya","","eng","","","","","","","","","","","Àrees temàtiques de la UPC::Enginyeria civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRLZD3NJ","thesis","2023","Ramirez Suarez, Miguelangel","Efectos de la contaminación del aire sobre la salud mental en Colombia ; Effects of Air Pollution on Mental Health in Colombia","","","","","https://repository.urosario.edu.co/handle/10336/42027","Este documento analiza la relación entre los niveles de contaminación y la salud metal en niños en Colombia. Para el análisis se toma como variable de salud mental los resultados del cuestionario SDQ-Cas obtenidos del módulo niños de la ELCA 2016 de forma georreferenciada para las ciudades de Bogotá y Medellín, ciudades con una fuerte tradición industrial, se espera encontrar una relación entre los resultados de la prueba SDQ-Cas y los niveles de contaminación para las dos ciudades. Para la variable contaminación se toman mediciones diarias de los niveles de concentración en el aire de dióxido de nitrógeno y material particulado PM10 Y pm2.5 para cada ciudad; sin embargo, como la variable contaminación es endógena, se construye un instrumento con inversiones térmicas. Los resultados muestran que las inversiones térmicas son un instrumento fuerte en la primera etapa y pequeños impactos de los niveles de contaminación sobre la salud mental en la segunda etapa, pero este resultado no se mantiene cuando se hacen chequeos de robustez. En conclusión, se encuentran indicios de algún efecto de la contaminación sobre la salud mental; no obstante, no se puede concluir de forma contundente la existencia de esta relación en los niños en Colombia. ; This document examines the relationship between pollution levels and mental health in children in Colombia. For the analysis, the mental health variable is taken as the results of the SDQ-Cas questionnaire obtained from the children's module of the 2016 ELCA (Longitudinal Study in Colombia) in a georeferenced manner for the cities of Bogotá and Medellín, cities with a strong industrial tradition. The expectation is to find a correlation between the SDQ-Cas test outcomes and pollution levels for both cities. For the pollution variable, daily measurements of nitrogen dioxide and particulate matter PM10 y PM2.5 concentrations are taken for each city; however, since the pollution variable is endogenous, an instrument is constructed using thermal inversions. The results show that ...","2023","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universidad del Rosario ; Facultad de Economía ; Maestría en Economía","","spa","","","","","","","","","","","Bogotá; Contaminación; Medellín; Mental health; Pollution; Salud mental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9KUW2RA","thesis","2023","Velandia Carvajal, Ximena Alexandra","Estrategias para reducir los impactos ambientales generados por la aplicación de plaguicidas neonicotinoides en los cultivos de arroz en el departamento del Tolima, Colombia","","","","","https://hdl.handle.net/10614/14964","Los neonicotinoides se encuentran dentro de los insecticidas más utilizados actualmente en la práctica agrícola a nivel mundial, y su aplicación supone un riesgo potencial no solo para los organismos objetivos, sino también para el ambiente debido a los impactos que genera sobre los recursos suelo, agua y aire; por ende, se requiere una comprensión detallada de su destino y transporte, el cual es complejo e incluye diversas vías y procesos. El objetivo del presente trabajo fue evaluar el estado actual del arte sobre los efectos de los neonicotinoides en el agua y suelo, y la problemática generada por su uso en la actividad arrocera en el departamento del Tolima. Posteriormente, se procedió a identificar los posibles factores de estrés agrícola que pueden modificar el modo de acción de estos plaguicidas en los cultivos de arroz. Para dar cumplimiento al objetivo planteado, fue necesario realizar una recopilación, priorización y discriminación de la información bibliográfica encontrada en fuentes de datos confiables. Para esto, se realizó una búsqueda de estudios existentes a nivel internacional, nacional y regional. Con base en esta información analizada y procesada, se generaron alternativas para mitigar, corregir o compensar los efectos negativos de las dosis residuales; por lo que se consideraron países con contextos similares al colombiano, como es Brasil y Vietnam. Esto, teniendo en cuenta que Colombia, como país signatario del Protocolo de Kyoto, podría desarrollar en este importante sector, oportunidades en el marco del mecanismo de desarrollo limpio (MDL). Del mismo modo, se proposieron estrategias integrales para la reducción de los impactos ambientales en los sistemas de soporte a la vida (Recursos Naturales), ocasionados por la aplicación de estos plaguicidas en los cultivos de arroz en el departamento del Tolima. ; Neonicotinoids are inside the most commonly used insecticides in agricultural practice worldwide, and their application states a potential risk not only to the target organisms but also to ...","2023","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universidad Autónoma de Occidente ; Maestría en Gestión Ambiental y Desarrollo Sostenible ; Instituto de Estudios para la Sostenibilidad ; Cali","","spa","","","","","","","","","","","Arroz - Cultivo; Arroz - Enfermedades y plagas; Cultivos de arroz; Dosis; Ecosistemas; Ecotoxicidad; Growing - Rice; Impactos ambientales; Maestría en Gestión Ambiental y Desarrollo Sostenible; Neonicotinoides; Organismos; Pesticides - Environmental aspects; Plaguicidas; Plaguicidas - Aspectos ambientales; Rice - Diseases and pests","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBNTTACD","thesis","2020","Moreno Marenco, Astrid Roxanna","Estudio termodinámico de la adsorción de parabenos desde solución acuosa sobre carbones activados modificados con sales metálicas","","","","","https://repositorio.unal.edu.co/handle/unal/78694","Los parabenos son compuestos orgánicos utilizados como conservantes en productos de cuidado personal, productos farmacéuticos, alimenticios e industriales. Siendo considerados como contaminantes emergentes debido a su actividad estrogénica, revelando una problemática ambiental de alto impacto. En esta investigación se prepararon una serie de carbones activados a partir de cuesco de palma africana (Elaeis guineensis) por modificación química con soluciones de CaCl2 y MgCl2 variando la concentración entre 1- 2 % p/v con activación física a 973 K y 1173 K en atmósfera de CO2, con el fin de evaluar su influencia en las propiedades químicas y texturales de la adsorción de parabenos de cadena alifática desde el metil al butilparabeno desde solución acuosa. Las características fisicoquímicas de los sólidos se evaluaron en la adsorción de parabenos alifáticos lineales desde solución acuosa a 281 K y 291 K. Los carbones activados obtenidos son esencialmente microporos, los cuales desarrollaron mayores características texturales con el incremento en la temperatura de activación y la disminución en la concentración de agente activante, lo que favorece la adsorción de los parabenos encontrando capacidades de adsorción entre 76,3 y 269,2 mg.g-1. De igual forma las impregnaciones modificaron la química superficial, cambiando de esta manera las interacciones establecidas entre la superficie del carbón activado con los parabenos y el solvente. Los datos obtenidos del estudio de adsorción fueron complementados con determinaciones calorimétricas encontrando que el proceso de adsorción es de naturaleza exotérmica y física con entalpías de inmersión entre -3,59 y -52,12 J.g-1, que involucra las interacciones parabeno-carbón activado y solvente-carbón activado, mientras que la interacción específica entre el parabeno y el carbón activado es de naturaleza endotérmica que requiere de energía para el desplazamiento del solvente de la superficie del carbón activado, por lo que el proceso de adsorción se favorece con el aumento de la ...","2020","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Bogotá - Ciencias - Doctorado en Ciencias - Química ; Departamento de Química ; Universidad Nacional de Colombia - Sede Bogotá","","spa","","","","","","","","","","","540 - Química y ciencias afines; Activación química; Activated carbon; Adsorción; Adsorption; Calorimetría de inmersión; Carbón activado; Chemical activation; Immersion calorimetry; Parabenos; Parabens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFNRNXNK","thesis","2020","Carrillo Barranco, Mileidis Johana; Jiménez Guzmán, Andrea Carolina","Evaluación ambientales por el uso y manejo de productos agroquímicos","","","","","https://hdl.handle.net/11323/7746","Agrochemicals have become an integral part of today's agriculture and play an important role in increasing agricultural productivity. However, the indiscriminate and extensive use of these represents one of the main environmental and public health problems throughout the world. Once released into the environment, agrochemicals can contaminate rivers, the water table, air, soil and food. Thus, the analysis of environmental risks due to the inadequate use and handling of agrochemicals in crops and their management has become more relevant in recent years. Based on the above, the objective of this study was to evaluate the environmental risks related to the use and handling of agrochemicals, in the sector ""playa zona baja"", in the municipality of Salamina, Magdalena. Additionally, to formulate an action plan focused on the prevention and mitigation of these risks. For the evaluation of the environmental risks in the area of study, the methodology proposed by the UNE 15:0008 standard was used. The results indicated that the active ingredients mostly used were the pesticides chlorpyrifos (66%), Paraquat (31%) and the granular urea fertilizer (70%); the evaluation of the environmental risk in the Lower Zone Beach classified as moderate or medium the risk in the area, directly involving the water and soil component, the use of PPE and the disposal of agrochemical containers. In the formulation of the action plan, the results of the evaluation were taken into account. It was structured on 4 fundamental programs: training, use of PPE, disposal of agrochemical residues and monitoring of farmers' health. ; Los agroquímicos se han convertido en una parte integral de la agricultura actual y juegan un papel importante en el aumento de la productividad agrícola. Sin embargo, el uso indiscriminado y extenso de estos representa uno de los principales problemas ambientales y de salud pública en todo el mundo, una vez liberados en el entorno, los agroquímicos pueden contaminar los ríos, la capa freática, el aire, el suelo y los ...","2020","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Corporación Universidad de la Costa ; Ingeniería Ambiental","","spa","","","","","","","","","","","Action plan; Chlorpyrifos; Clorpirifós; Granular urea; Norma UNE 15:0008; Paraquat; Plan de acción; Standard UNE 15:0008; Urea granular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6HXLTCV","thesis","2020","Quintero, Claudia Sofía","Evaluación de las concentraciones de acetaminofén presentes en la Planta de Tratamiento de Aguas Residuales de la Universidad Pontificia Bolivariana-Seccional Bucaramanga y su efecto tòxico sobre el Allium Cepa","","","","","http://hdl.handle.net/11634/21502","Actualmente, el acetaminofén (ACE) es el analgésico más utilizado en la prevención, diagnóstico y tratamiento de enfermedades en humanos y animales, que finalmente se dispone en el agua al ser excretado en la orina y heces fecales y que finalmente llegan a las plantas de aguas residuales (PTARs) las cuales han sido diseñadas y construidas principalmente para remover materia orgánica y en menor grado nutrientes y microorganismos. Por lo tanto, estimar la concentración la concentración del acetaminofén en la PTAR UPB, constituye un gran avance en la región, ya que la Universidad Pontificia Bolivariana, es la única institución académica que posee un sistema de tratamiento para sus aguas residuales. Adicionalmente, el efluente es vertido en un cuerpo de agua superficial (Quebrada Menzuly), por lo que es de importancia analizar la concentración efectiva del acetaminofén, con el fín de analizar con aproximación su influencia ecotoxicológica. En este estudio se evaluó la concentración del acetaminofén en la planta de tratamiento de aguas residuales de la Universidad Pontificia Bolivariana (PTAR – UPB) en las muestras procendentes del Afluente, Reactor de Flujo a Pistón y Efluente, junto con los lodos utilizando cromatografía de alta resolución (HPLC), adicionalmente se evaluó efecto tóxico empleando como bioindicador el Allium Cepa. Los resultados obtenidos de las matrices extraídas (extracción líquido-líquido) de los lodos y muestras líquidas que fueron analizadas por HPLC, arrojaron datos con un coeficiente de variación entre 0.3% en matrices líquidas y 10% en lodos, porcentajes de recuperación entre 92% -101% en matrices líquidas y y límite de detección de 20 ng/L. Las desviaciones entre los valores obtenidos son pequeños y se deben a la influencia de la matriz y pretratamiento de la muestra. Los resultados muestran concentraciones de acetaminofén entre 460 ng/L y 80 ng/L en el afluente y efluente, respectivamente. En los lodos del reactor de flujo a pistón se obtuvo una concentración 5.2 mg/Kg y en los lechos de ...","2020","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","Universidad Santo Tomás ; Maestría Ciencias y Tecnologías Ambientales ; Facultad de Química Ambiental","","spa","","","","","","","","","","","Acetaminofén; Acetaminophen; Agentes antibacteriales; Allium Cepa test; concentración efectiva; Effective Concentration; Epidemiología; HPLC; Método Allium Cepa; Mosquitos-control; Planta de Aguas Residuales; Salud pública; Waste water treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5JG8QMA","journalArticle","1997","GEN","Farmers Attitudes Towards Information Sources And Their Subsequent Crop Protection Behaviour ...","","","","","https://dx.doi.org/10.21954/ou.ro.0000f5f0","The literature contains many studies of the various factors that could contribute towards the use of pesticide by farmers. However, not all of these factors have been investigated. This research looked into the links between information sources and the use of pesticides; and focused particularly on the attitudes and behaviour of farmers towards both these aspects. A review of several models proposed to explain attitudes and behaviour was undertaken and Fishbein and Ajzen’s model was chosen to investigate farmers attitudes and behaviour towards information sources and pesticide use. The first, preliminary, survey of farmers in West Sussex produced an unexpected result: that they did not apply pesticides as many times as they had indicated at the beginning of the growing season. Systems analysis using the Failures methodology identified areas where anomalies had occurred. It also showed that systems of crop protection were dynamic. ...","1997","2024-03-01 05:29:59","2024-03-01 05:29:59","","","","","","","","","","","","","","","","","","","","","","Publisher: The Open University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
